asin,user_Name,user_Country,reviewText,overall,reviewerID
LONaVUyDWU,Michal,Slovakia,Beautiful place Ak the karaoke around. Every day whole day listening to karaoke from houses around. Crazy loud.,4.0,3415
YP8pjY94l3,Conor,Vương Quốc Anh,"Cannot thank and applaud the staff enough. Very attentive and welcoming. We arrived very early in the morning on a sleeper bus and they kindly let us check in and sleep. Helped up book our bus to the next location securing us a very good price and helping get on. Lovely homestay, comfortable and clean. 100% recommend. Cute dogs too! Only negative was the laundry. Our clothes came back with a strange smell:( A minor issue that does not change our positive view on the place!",5.0,1000
OqxMyixu19,Suk,Hàn Quốc,"Staff helpful, good location, clean",5.0,4667
mNcuTmP9J9,Kevin,Indonesia,"the room is very clean. Well maintained. The owner and the staff are super super friendly and kind. I checked in late around 3 PM and they still waited for us. and even when we checked out, they called the bus provider to pick us up at the hotel. Superb host nothing",5.0,2613
IVy3Ugsw9Z,Lê,Việt Nam,very convenient as the place is in front of the beach,5.0,3061
B3TXP61PU3,Courtney,Úc,Central location in old town whilst still being quiet and hidden in an alley way. Hosts friendly and extremely helpful. Hot water in shower lasted about a minute. Room quite small.,3.5,1013
jDWSwbNIQK,Michael,Malta,The attention shown by the staff was incredible. Everything was taken care of with a smile. Nothing,5.0,3401
aT4918rBN-,Isaac,Vương Quốc Anh,"Friendly staff, the guy who worked there washed our towels and made sure we knew where stuff was, the rooms were big and the price was cheap plus location was decent. Beds are a bit stiff but if you're tired youll pass out quickly",4.5,2043
Q49wOaxbh5,Joe,Việt Nam,"Nice room, clean and comfortable.",5.0,2305
c13j4ULgJO,Claire,Vương Quốc Anh,"This place only cost £13 a night for a double room so it was very cheap for Hanoi. The man behind the desk was helpful. He came up to my room when I couldn't get the air conditioning to work (there is a mains switch you need to turn on before you can use the remote control). He also booked me a taxi for the early hours the next morning to go to the airport, and it was cheaper than Grab. The location is really good, in a side street very close to the historic centre with loads of bars and restaurants on the doorstep. Towels are provided as well as toothbrush, comb, shampoo and shower gel (although it was a whitening one so I avoided). It didn't seem very clean, there were two hairs on the bed that didn't belong to me. The light fittings on the wall were very dusty and one of them didn't work. The bed was not very comfy. The air conditioning did work but the unit looked ancient and it made a lot of noise. The bathroom is in need of replacing, the tiles and taps/shower were all looking very worn/rusty. There is no lift so it is a lot of stairs to walk up with luggage.",3.0,951
sLyAJfMo4x,Monica,Mỹ,"absolutely gorgeous, even better in real life - felt like a boutique-y four seasons. the bar on the top floor was beautiful and all of the food at the restaurant fantastic. whoever designed or built the hotel is clearly a world traveler with impeccable taste. gym was really nice too (did not take advantage of the spa) service was great except at the pool - constantly had to walk all the way to the restaurant or around the (quite large) pool to get attention of servers who would walk around collecting glasses or refilling the water etc but don’t actually pay attention to clients trying to wave them down. It was disappointing that at a place like this after you walk to the restaurant from the other side of the pool to ask for a menu and show the server where you are sitting, you have to walk back again because no one actually comes by to take your order after 15 minutes. Then when food is served and you ask for a condiment, you have to walk back to the restaurant another 15 minutes later to remind them because they forgot (or didn’t understand because of language barrier?). Then by then the food is cold. Frequently saw 2-3 servers standing around the restaurant entrance chatting with each other and not looking around while people at the pool were trying to get their attention. Also, the grass cutting by the pool was super loud and lasted for hours (this was a Monday afternoon) stirring up lots of insects. Why isn’t this done early morning or evening when there are less people trying to enjoy the pool? If it weren’t for the pool experience being unpleasant, I would say this is the perfect place for a staycation. Because of this, I don’t think we would come back again for more than one night because it isn’t enjoyable to sit by the pool. But we still would come back for the rooms, gym and food.",5.0,3509
mV3PQ2gFrm,Jeremy,Pháp,"Staff is incredible. Love them. Always helping me, asking me questions and recommend good things to do. Very friendly people.",5.0,2244
UAz8-fsrLq,Stuart,Vương Quốc Anh,"Extremely great stay at the central of Hanoi Out of expectations and we would highly recommend it!The staff is very friendly and helpful, they always show us how beautiful their smile is and really care for our stay if we need any suggestions.",5.0,4658
taJKEDr_Do,Diana,Úc,"Nik Customer satisfaction zero, staff looked down on me not thinking l have the money for upgrade so disappointing. Manager constantly promise to keep me updated with my enquiries but never does. Being pregnant l was being pushed by a group of people having an event at the hotel waiting at the lift and no1 came to resolve or ask whether l was okay. My suite was not clean for a 5 star hotel very disappointing and l will never return again and would not refer anyone there.",0.5,1202
qEucXCBFsJ,Louise,Vương Quốc Anh,Staff really helpful and answered a lot of questions that I had. Helped us book trips and then helped sort out issues when the tour company had problems. Anna really went above and beyond to help us and we are very grateful.,3.5,2999
PvpetcVWKm,Mikhail,Nga,"Very nice and quite territory. Beach is just 2 min by bicylce (hotel provide) or 10 min walking. Beach is clean and not crowd. If you want to run away from noize - best place. Hotel is new, so rooms are perfectly clean and fresh. It's far from shops and restaurants: 40min walking. You have to rent a bike to be able to move without struggle. It is easy and not expensive (hotel also can help you with this).",4.0,3449
WN-DoUR1yG,Chiara,Ý,Good location. Nice and clean rooms. Superfriendly staff!,4.5,855
jq0kYmDJ5S,Nguyen,Việt Nam,"We adored the Nam An Mama Villa. The location, the hosts, the free bike rentals and accommodations were wonderful. They went out of the way to make sure your visit was enjoyable. We really enjoyed the breakfast menu, the food was delicious and plentiful. I highly recommend the Nam An mama Villa. A great value!! the elevator is a bit small",5.0,3649
lTINriJ-1K,Katja,Đức,It was very clean and the service was great. The staff helped us to book a cooking class and gave us a brief introduction and overview about hoi an.,5.0,2550
l_xLKUCOji,Kesi,Vương Quốc Anh,"Property was clean, well located and the host was lovely. Google translator is your friend! Confortale, great economical option to stay in Hue.",3.5,2610
S4Vj9XoqkC,Dawn,Vương Quốc Anh,All good. Food could be better. Food could be better.,3.5,1144
HLyAdvpUJz,Ashoka,Ấn Độ,"The breakfast was great, vegetarian preferences were catered to very well",5.0,459
UGJGibH0YF,Ngọc,Việt Nam,perfect view,5.0,3657
SrTDZJD5u1,Minh,Việt Nam,- Very friendly and helpful staff. They help us to look for ideas on where to go and what to eat in no time. Service was done in minimum time. - Great location. Middle of Mui Ne allows for travelling to most sites in a short time. Wi Fi could be better,4.5,3466
vy8puuuPQm,Không tên,Đài Loan,"Good location, next to the river. Fresh air. The toilet was block. Little water output from shower. Air conditioner is noisy.",2.5,2663
nlFDZ0j3C7,Pol,Luxembourg,The apartment was very clean and cosy. The staff welcomed us very late at night and put us up in a bigger room than we had booked. Everything was tidy and the AC helped a great deal on 30 degree days. The staff was super friendly and helpful. We were very pleased with our stay.,5.0,3991
ZHSoicG2Fq,David,Đức,"Location is excellant to centre city. The pool was small and the gym very basic (3 pieces of equipment in very small room). Room smelt on entry, cleared up after airing with Ac running.",3.0,1140
4wU1n7pSsn,Olga,Belarus,"everything was good! I liked the this room. Everything is thought out to the smallest detail. curtains, water in glass bottles, im total satisfied. Great deal for this price",5.0,3780
cLQenQ1K3r,Diego,Úc,the guys in the bar are really kind persons!,5.0,1213
KhPP1HyzBR,Jan,Cộng hoà Séc,good location in Dong Van no breakfast (very unusual for Vietnam)the door to the room was open before we arrived and the room was full of mosquitos as a result,1.5,2142
q4rt8YkOHQ,Alexander,Mỹ,Everything! clean spacious rooms. walkable to the city center but just outside to be nice and quiet. Mr bean and Ms Nga were so friendly and welcoming. I had horrible flight issues and they were so responsive wihh the changing my airport pick. great breakfast too! nothing to complain about!,5.0,152
piK4APAZRR,Amandeep,Ấn Độ,awsomeeeee centre of city,5.0,221
mBmICB4ErQ,Không tên,Mỹ,"beautiful property located a short walk from the main street but without any of the noise. the host was so welcoming and helpful and made me feel right at home. clean, comfortable beds with curtains and a hot shower. the lights in the room are a bit dim",5.0,2647
mLC2bwBF0k,Beverley,New Zealand,"Thde pool and the breakfast great. Closeness to the Old Town but away from the crowds. Friendly, helpful staff, attractivesness of the building. Lack of food avainable during the day. Sometimes staff slow at replenishing breakfast foods, though I suspect staff shortages may have been the reason.",4.5,606
ohzXIdzxbB,Snyder,Mỹ,Absolutely beautiful one of the nicest hotels I’ve been to,5.0,4553
kuWKPMeob4,Grandlair,Canada,Very very nice place and people. Good food.,5.0,1734
-bSrMlzqlP,Oscar,Hà Lan,"Beautiful cruise. Nice views and activities. For us there wasn’t a possibility for a quite room. Karaoke till 22. 30h is very loud, but not a problem if you stay up. For food we would have preferred buffet style instead of set course menu’s. Those were way too much for us.",4.0,3816
_NmWuTwfVM,Catalina,Qatar,"Fantastic facilities, housekeeping was really really good and front desk helpful. Apartment was excellent Few tables available for breakfast, I was also asked to sign the bit of paper for checking me off the buffet list twice while I had food in my mouth. Its a good idea to let people finish their mouthful before asking these types of admin things.",4.5,781
DNF5m0Ly94,Shira,Israel,There was a little bit noise from outside the room,4.0,4481
ecYf6o8ndN,Ferdinand,Philippines,breakfast service can be improved. It was hard to get utensils. buffet food was not replenished immediately.,4.0,1530
3pIUTSOzJC,Thor,Na Uy,Very clean and nice apartment. Looks new and had 2 floors which was good since we had 2 kids who enjoyed staying alone. Friendly host. Good coffee Some noice from road in the night even if the apartment not was on the front of the house. Some free space on the sides make us hear the motorbikes clearly.,3.5,4865
DQEFX-9L2y,Kata,Croatia,IT was amazing,5.0,2521
uVE6ertrYq,Wojciech,Ba Lan,"Friendly and open crew, great localization close to the river bank, cafeteria on the ground floor",4.0,5248
XlN328vfOP,Jade,Úc,"Very good location , very helpful staff. Room was clean and comfortable. Breakfast was really good too on top floor. We had a room at the back so it was very quiet. Staff couldn't be more helpful",5.0,2107
DNF5m0Ly94,Gerilin,Estonia,"clean, modern, good location, very nice and helpful staff. good breakfast. at first, we booked another hotel in Sapa but it was so bad we left and went to this one instead and we are very happy we did. very nice and proffesional hotel.",5.0,1671
mgQ_VIW4ZJ,Tom,Vương Quốc Anh,Staff were incredibly welcoming and helpful. the room was lovely and the views from the poolside were amazing.,5.0,4946
J7pmcQDqMr,Jatin,Ấn Độ,Very close to the old town and extremely courteous staff.,5.0,2192
gZYip4SJSv,Hao,Malaysia,"Fantastic location in District 1, being just a short walk away to some good eateries and various point of interests. Comfortable and clean room, great bathroom, friendly helpful staff who greets you with a big smile. The air conditioner does not seem to be working well, barely cool down the room even after an hour. The staff had to give me a spare access card for the card slot to keep the room cooled.",4.0,1811
wD9sp5CCzf,Joseph,Vương Quốc Anh,The hotel is a nice building. The rooms clean and comfortable. For 4 stars the service isn't quite what you expect. The staff are lovely but the access to service from staff isn't quite what's expected from a 4 star hotel. The pool wasn't available when we stayed there which was a shame as Ha long city itself is a bit like the benidorm or Vietnam. So if you aren't into late night beach dance music clubs then maybe stay on a boat or stay to just see the bay and then head somewjere else.,3.5,2384
_vq7uiTs0I,Bob,Úc,great location and rooftop swimming pool. having to go down to the ground floor and find security to get access to floor 21 pool.,4.5,634
