reviewerID,itemID,overall,fine_feature,coarse_feature
A3H7T87S984REU,B0000530HU,5.0,[ 0.     1.5    0.375  5.    -0.25   0.5    1.25   0.     1.125  0.5  ],0.49075761217689606
A3J034YH7UG4KT,B0000530HU,1.0,[0.    0.125 1.375 0.875 0.    0.    0.375 0.    0.375 0.   ],0.5
A2YDF506DAA5W4,B00006L9LC,1.0,[0.    0.125 0.125 2.5   0.    0.    1.75  0.    1.25  0.625],0.5158629978273687
A22V1MD93T2FW9,B00006L9LC,5.0,[5. 5. 5. 5. 5. 5. 5. 0. 5. 5.],0.4969628873078
A15IKO3Q6RSA1V,B00006L9LC,5.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.509412697463745
A31URN5S2Q0UJV,B00006L9LC,5.0,[ 0.     2.375 -0.875  5.     0.     0.     3.75   0.     3.     0.625],0.5
A20Y9PNINSXAE2,B00006L9LC,5.0,[1.375 1.375 0.    2.125 0.    1.375 0.75  0.    1.375 4.25 ],0.5
A24HQ2N7332W7W,B00006L9LC,5.0,[1.375 5.    0.5   5.    2.    1.625 5.    0.    2.75  1.625],0.5031329216766012
A1TEIICSK5IK0V,B00006L9LC,5.0,[ 0.     0.5    5.     2.5   -1.     0.     2.875  0.    -0.125  0.   ],0.512330625556472
A35GLRQ89X0WRD,B00006L9LC,5.0,[0.   2.25 4.5  5.   5.   3.5  5.   0.   5.   0.  ],0.5029834102923267
A2TU781PWGS09X,B00006L9LC,2.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.45752261736550737
ADUKTDKBY4CNP,B00006L9LC,1.0,[ 0.    -1.75  -0.625 -3.     0.     0.25  -3.5    0.    -1.625  0.   ],0.4876203304217952
A2TRMX7KR6IIVA,B00006L9LC,5.0,[2.875 2.875 1.375 2.875 0.    4.375 2.875 0.    4.375 2.875],0.516260066577887
A2V608ILSK1M5R,B00006L9LC,1.0,[0.    0.125 0.125 0.125 0.    0.    0.125 0.    0.25  0.   ],0.496908506549126
A24W4W9E62FZP2,B00006L9LC,2.0,[ 0.     5.     5.     5.     5.     5.     5.     0.    -1.25  -0.875],0.5
A1JJBKKS6FCOQJ,B00006L9LC,5.0,[2.75  2.125 0.75  2.125 0.    2.75  0.125 0.    3.25  2.75 ],0.4913771831598408
A1WGVH160JCIC,B00006L9LC,5.0,[-1.125  0.875 -1.     3.75   2.25  -0.875  1.75   0.    -0.125 -1.125],0.5250612781816446
AX0ZEGHH0H525,B00006L9LC,1.0,[ 0.    -1.625 -1.25  -2.625  0.     0.    -5.     0.    -1.625  0.   ],0.5
A3JMIBCH90HGWG,B00006L9LC,5.0,[-0.5    1.     2.    -5.     0.75  -0.5   -2.    -0.25   1.125  0.   ],0.5095543253760547
A3L40OCWS1W7R7,B00006L9LC,5.0,[0.    0.    0.    1.25  0.    0.    0.625 0.    0.625 0.   ],0.4899031263562032
A34Z0P70GD9Y6Y,B00006L9LC,5.0,[ 0.    -1.375 -0.875 -4.5   -0.25   1.375 -3.375  0.    -2.125  0.625],0.5015302195149225
A1T7DRMZ9A9KEA,B00006L9LC,5.0,[ 0.25  -0.75  -2.25  -5.     0.25  -2.75  -5.     0.    -1.625  0.25 ],0.5
