reviewerID,itemID,overall,fine_feature,coarse_feature
A2CY3ZL67BZKEU,B00006L9LC,5.0,[0.    0.    0.    0.    2.375 0.    0.    0.    0.    0.   ],0.5
A23NSBJ5CGLWAA,B00006L9LC,5.0,[-0.25  0.    0.    0.    0.    2.    5.    0.   -0.25 -0.5 ],0.5120867201049559
AKFUG2XFPPWWM,B00006L9LC,5.0,[0.   0.   0.   0.   0.   0.   0.   0.   0.   2.25],0.5375679137141303
ASPQVBZP025R8,B00006L9LC,5.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.543396923178561
A3C46GBHLVSOEW,B00006L9LC,5.0,[0.    0.    2.75  0.    1.375 0.    0.    0.    0.    0.   ],0.4970951046081127
A37C3532V0OGK4,B00006L9LC,5.0,[-2.75  0.    0.    0.    0.    0.    0.    0.    0.    0.  ],0.5219300350496731
A1118RD3AJD5KH,B00006L9LC,5.0,[0.   0.75 0.   0.   0.   0.   0.   0.   0.   0.  ],0.6021074559623888
A3V6HGWB3AKM8O,B00006L9LC,5.0,[0.  0.  0.  2.5 0.  0.  0.  0.  0.  0. ],0.522040545438695
A2KJR83EUJJNAX,B00006L9LC,5.0,[0.   0.   0.   2.   0.   0.25 0.   0.   5.   0.  ],0.5157371533687274
AV19Z8ZCIQM4G,B00006L9LC,1.0,[0. 0. 0. 0. 0. 4. 2. 0. 0. 0.],0.5126574434349762
