Key,Array
A12HTKLZWLEAF5,"[0.0, 0.0, 0.0, 1.2572356758246657, 0.0, 0.0, 0.6286178379123328, 0.0, 2.5144713516493313, 0.0]"
A14R11HV2H7AVW,"[0.0, 0.9937860455228662, 1.9254604632005532, 2.4844651138071656, 2.4844651138071656, 0.9316744176776871, 2.4844651138071656, 0.0, 0.9316744176776871, 0.0]"
A15IKO3Q6RSA1V,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1C3SRDH9HVEI2,"[0.5590490165320808, 1.0559814756717083, 1.739263606988696, 1.9256132791660563, 0.0, 1.1180980330641617, 1.304447705241522, 0.0, 0.9938649182792548, 0.5590490165320808]"
A1JJBKKS6FCOQJ,"[1.3512872536895622, 1.0441765142146617, 0.3685328873698806, 1.0441765142146617, 0.0, 1.3512872536895622, 0.0614221478949801, 0.0, 1.5969758452694827, 1.3512872536895622]"
A1L0QECT7J93ZP,"[0.1875, 0.1875, 0.375, 0.9375, 0.0, 0.375, 0.4375, 0.0, 0.25, 0.1875]"
A1MZIY3MPR5LRS,"[1.4341039129627347, 1.4341039129627347, 0.7170519564813673, 1.4341039129627347, 0.0, 1.4341039129627347, 0.7170519564813673, 0.0, 1.4341039129627347, 1.4341039129627347]"
A1T7DRMZ9A9KEA,"[0.125, -0.375, -1.125, -2.5, 0.125, -1.375, -2.5, 0.0, -0.8125, 0.125]"
A1TEIICSK5IK0V,"[0.0, 0.256165312778236, 2.56165312778236, 1.28082656389118, -0.512330625556472, 0.0, 1.472950548474857, 0.0, -0.064041328194559, 0.0]"
A1U4MBURSADCDU,"[0.6875, 0.6875, 0.0, 1.375, 0.0, 0.6875, 0.6875, 0.0, 1.375, 1.375]"
A1VN560NNZQIR0,"[0.0, 2.392824932383197, 0.122708970891446, 2.45417941782892, 0.920317281685845, -0.061354485445723, 2.45417941782892, 0.0, 2.331470446937474, 0.0]"
A1WGC9NCI09T3D,"[0.0, -0.31441390372936384, 0.25153112298349106, 0.7545933689504731, -0.06288278074587277, -0.18864834223761828, 2.2637801068514194, 0.0, 0.37729668447523657, 0.0]"
A1WGVH160JCIC,"[-0.5906939379543502, 0.459428618408939, -0.5250612781816446, 1.9689797931811672, 1.1813878759087004, -0.459428618408939, 0.918857236817878, 0.0, -0.06563265977270558, -0.5906939379543502]"
A1WWZ1NKXLFYNG,"[-0.3680522578609541, -0.18402612893047704, -0.061342042976825675, 0.7361045157219082, 0.0, -0.2453681719073027, 1.0428147306060365, 0.0, 1.717577203351119, -0.18402612893047704]"
A1YVFD3TLX6E22,"[0.0, 1.6849466725363644, 2.1385861612961548, 2.5922256500559455, 1.0368902600223782, 0.0, 2.5922256500559455, 0.0, 2.5274200088045466, 0.25922256500559454]"
A1ZN7IP615TNQO,"[0.0, 0.0, -0.36128304433773945, -0.36128304433773945, 0.0, -0.36128304433773945, 0.9634214515673052, 0.0, 0.0, 0.0]"
A20Y9PNINSXAE2,"[0.6875, 0.6875, 0.0, 1.0625, 0.0, 0.6875, 0.375, 0.0, 0.6875, 2.125]"
A22V1MD93T2FW9,"[2.484814436539, 2.484814436539, 2.484814436539, 2.484814436539, 2.484814436539, 2.484814436539, 2.484814436539, 0.0, 2.484814436539, 2.484814436539]"
