Key,Array
A1118RD3AJD5KH,"[0.0, 0.45158059197179157, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A23NSBJ5CGLWAA,"[-0.12802168002623898, 0.0, 0.0, 0.0, 0.0, 1.0241734402099119, 2.56043360052478, 0.0, -0.12802168002623898, -0.25604336005247796]"
A2CY3ZL67BZKEU,"[0.0, 0.0, 0.0, 0.0, 1.1875, 0.0, 0.0, 0.0, 0.0, 0.0]"
A2KJR83EUJJNAX,"[0.0, 0.0, 0.0, 1.0314743067374548, 0.0, 0.12893428834218185, 0.0, 0.0, 2.5786857668436367, 0.0]"
A37C3532V0OGK4,"[-1.4353075963866009, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A3C46GBHLVSOEW,"[0.0, 0.0, 1.36701153767231, 0.0, 0.683505768836155, 0.0, 0.0, 0.0, 0.0, 0.0]"
A3V6HGWB3AKM8O,"[0.0, 0.0, 0.0, 1.3051013635967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AKFUG2XFPPWWM,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.209527805856793]"
ASPQVBZP025R8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AV19Z8ZCIQM4G,"[0.0, 0.0, 0.0, 0.0, 0.0, 2.050629773739905, 1.0253148868699524, 0.0, 0.0, 0.0]"
