Key,Array
A12HTKLZWLEAF5,"[0.0, 0.0, 0.0, 1.3552527156068805e-20, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.235164736271502e-22, 0.0, 0.0, -1.3234889800848443e-23, -1.3234889800848443e-23, 0.0, 2.117582368135751e-22, 2.117582368135751e-22, 0.0, -8.470329472543003e-22, 4.235164736271502e-22, -1.3234889800848443e-23, 1.3234889800848443e-23, 0.0, -2.117582368135751e-22, -8.470329472543003e-22, 0.0, 1.0587911840678754e-22, 1.0587911840678754e-22, 2.6469779601696886e-23, 2.117582368135751e-22, 0.0, 0.0, 2.6469779601696886e-23, 0.0, -1.0587911840678754e-22, -1.0587911840678754e-22, 0.0, 5.293955920339377e-23, 0.0, -3.308722450212111e-24, -1.0587911840678754e-22, 0.0, 0.0, -1.0587911840678754e-22, 8.470329472543003e-22, -1.3234889800848443e-23, 0.0, 0.0]"
A14R11HV2H7AVW,"[0.0, 6.776263578034403e-21, 0.0, -2.6469779601696886e-23, -1.3552527156068805e-20, 0.0, 0.0, 0.0, -6.776263578034403e-21, 0.0, 0.0, 0.0, 0.0, 1.3234889800848443e-23, 0.0, -8.271806125530277e-25, -2.117582368135751e-22, 0.0, 0.0, 4.1359030627651384e-25, 0.0, 5.293955920339377e-23, 0.0, 0.0, -5.293955920339377e-23, 0.0, 5.293955920339377e-23, 1.3234889800848443e-23, 0.0, -5.293955920339377e-23, 0.0, 0.0, 0.0, 0.0, -6.617444900424222e-24, 1.0587911840678754e-22, 0.0, 0.0, -2.117582368135751e-22, 1.0587911840678754e-22, 5.293955920339377e-23, 0.0, 0.0, 2.6469779601696886e-23, 5.293955920339377e-23, -2.6469779601696886e-23, 1.0587911840678754e-22, 0.0, 0.0, 2.117582368135751e-22]"
A15IKO3Q6RSA1V,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.617444900424222e-24, 0.0, 1.3234889800848443e-23, 0.0, 0.0, 0.0, -1.6543612251060553e-24, 5.293955920339377e-23, 0.0, 4.235164736271502e-22, 0.0, -8.470329472543003e-22, 1.6543612251060553e-24, 0.0, 0.0, 1.0587911840678754e-22, 0.0, 5.293955920339377e-23, 0.0, 8.470329472543003e-22, -2.117582368135751e-22, 0.0, 0.0, 4.235164736271502e-22, 0.0, 8.470329472543003e-22, 1.6155871338926322e-27, -1.0339757656912846e-25, 4.235164736271502e-22, -3.308722450212111e-24, 0.0, -3.308722450212111e-24, -2.117582368135751e-22, 2.117582368135751e-22, 0.0, -2.117582368135751e-22, 2.117582368135751e-22, 0.0, 3.308722450212111e-24, -6.617444900424222e-24]"
A1C3SRDH9HVEI2,"[0.0, 0.0, 0.0, -8.470329472543003e-22, 0.0, 1.3552527156068805e-20, 0.0, 0.0, 1.6940658945086007e-21, 0.0, 2.0679515313825692e-25, -6.617444900424222e-24, 0.0, 0.0, 1.6543612251060553e-24, 0.0, 0.0, 0.0, -5.293955920339377e-23, -1.0587911840678754e-22, 0.0, -5.169878828456423e-26, -2.117582368135751e-22, 0.0, -1.3234889800848443e-23, 6.617444900424222e-24, 0.0, -2.6469779601696886e-23, -2.0679515313825692e-25, 0.0, 0.0, -6.617444900424222e-24, 0.0, 0.0, -4.1359030627651384e-25, 0.0, 1.0587911840678754e-22, -2.117582368135751e-22, 4.235164736271502e-22, 0.0, 2.117582368135751e-22, -2.6469779601696886e-23, 0.0, 0.0, 0.0, 2.117582368135751e-22, 0.0, 5.293955920339377e-23, 0.0, 0.0]"
A1JJBKKS6FCOQJ,"[0.0, 0.0, -4.235164736271502e-22, -1.3552527156068805e-20, 0.0, 5.421010862427522e-20, 0.0, 0.0, 4.235164736271502e-22, 2.710505431213761e-20, 0.0, 5.293955920339377e-23, 0.0, -2.6469779601696886e-23, 0.0, 4.235164736271502e-22, 1.0587911840678754e-22, -1.6543612251060553e-24, -4.235164736271502e-22, 0.0, 4.235164736271502e-22, -5.293955920339377e-23, 5.293955920339377e-23, 0.0, 0.0, 0.0, 0.0, -2.117582368135751e-22, 0.0, -1.0587911840678754e-22, 1.3234889800848443e-23, -1.3234889800848443e-23, 0.0, -2.6469779601696886e-23, -1.6940658945086007e-21, 2.6469779601696886e-23, 0.0, 0.0, -6.617444900424222e-24, 1.6940658945086007e-21, 0.0, -4.1359030627651384e-25, 0.0, 2.6469779601696886e-23, 2.117582368135751e-22, 0.0, -6.617444900424222e-24, 0.0, 2.117582368135751e-22, 1.3234889800848443e-23]"
A1L0QECT7J93ZP,"[-2.117582368135751e-22, 0.0, 0.0, 0.0, 0.0, 1.6940658945086007e-21, 0.0, 0.0, 0.0, 0.0, 6.617444900424222e-24, 5.169878828456423e-26, -4.235164736271502e-22, 0.0, 0.0, 0.0, 0.0, 2.6469779601696886e-23, -1.3234889800848443e-23, 6.617444900424222e-24, 0.0, 1.0587911840678754e-22, 0.0, 0.0, 1.6940658945086007e-21, 0.0, -2.117582368135751e-22, -1.3234889800848443e-23, 3.308722450212111e-24, 0.0, 0.0, 4.235164736271502e-22, 0.0, -6.617444900424222e-24, 0.0, 2.117582368135751e-22, 0.0, -2.117582368135751e-22, 0.0, 0.0, -6.617444900424222e-24, 8.470329472543003e-22, 0.0, 2.6469779601696886e-23, -2.6469779601696886e-23, 0.0, 0.0, 2.0679515313825692e-25, 1.6543612251060553e-24, 0.0]"
A1MZIY3MPR5LRS,"[0.0, 6.776263578034403e-21, 3.3881317890172014e-21, 2.117582368135751e-22, 0.0, 0.0, -8.470329472543003e-22, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0587911840678754e-22, 0.0, 0.0, 0.0, -5.293955920339377e-23, -1.6543612251060553e-24, 4.235164736271502e-22, 8.470329472543003e-22, 3.308722450212111e-24, 5.169878828456423e-26, 3.308722450212111e-24, -2.117582368135751e-22, 0.0, 2.117582368135751e-22, 5.169878828456423e-26, 0.0, 0.0, 0.0, 0.0, -1.6543612251060553e-24, 0.0, -2.117582368135751e-22, 0.0, 0.0, 5.293955920339377e-23, 0.0, 4.235164736271502e-22, -1.0587911840678754e-22, 0.0, -1.0587911840678754e-22, 0.0, -3.308722450212111e-24, 0.0, -4.235164736271502e-22, 2.117582368135751e-22, 0.0, 5.293955920339377e-23]"
A1T7DRMZ9A9KEA,"[0.0, 0.0, 2.117582368135751e-22, 2.117582368135751e-22, 0.0, 0.0, 0.0, 0.0, -6.776263578034403e-21, 0.0, 0.0, 2.6469779601696886e-23, 0.0, -1.6940658945086007e-21, 0.0, 0.0, 0.0, 1.0587911840678754e-22, 0.0, 5.293955920339377e-23, -8.470329472543003e-22, -3.308722450212111e-24, 0.0, 0.0, 0.0, 0.0, 1.6940658945086007e-21, -2.0679515313825692e-25, 0.0, 2.117582368135751e-22, 0.0, -4.235164736271502e-22, 5.293955920339377e-23, 6.617444900424222e-24, 0.0, -2.117582368135751e-22, 0.0, 0.0, -5.293955920339377e-23, -4.235164736271502e-22, 0.0, -1.3234889800848443e-23, 0.0, -8.470329472543003e-22, 0.0, 2.6469779601696886e-23, -1.0587911840678754e-22, 0.0, -2.6469779601696886e-23, -5.293955920339377e-23]"
A1TEIICSK5IK0V,"[0.0, 2.117582368135751e-22, 1.0842021724855044e-19, 0.0, -8.470329472543003e-22, 0.0, 0.0, 0.0, 0.0, 0.0, -1.6543612251060553e-24, -1.3234889800848443e-23, 0.0, 0.0, -1.0587911840678754e-22, -6.617444900424222e-24, 0.0, 0.0, 0.0, -1.0587911840678754e-22, -1.0587911840678754e-22, -5.293955920339377e-23, 2.117582368135751e-22, 0.0, 6.617444900424222e-24, -4.235164736271502e-22, 0.0, -3.308722450212111e-24, 0.0, 5.293955920339377e-23, 5.293955920339377e-23, 0.0, -2.6469779601696886e-23, -6.617444900424222e-24, 0.0, -8.271806125530277e-25, 2.117582368135751e-22, 1.3234889800848443e-23, 0.0, 0.0, 0.0, 0.0, 1.0587911840678754e-22, 0.0, 0.0, -4.235164736271502e-22, 0.0, 0.0, 0.0, 0.0]"
A1U4MBURSADCDU,"[0.0, 0.0, 0.0, -4.235164736271502e-22, 0.0, 3.3881317890172014e-21, 0.0, 0.0, 2.117582368135751e-22, 1.3552527156068805e-20, 0.0, 0.0, 0.0, 8.470329472543003e-22, 0.0, -8.470329472543003e-22, 4.235164736271502e-22, -5.293955920339377e-23, -2.117582368135751e-22, -1.0339757656912846e-25, 2.117582368135751e-22, 0.0, 0.0, 5.293955920339377e-23, 3.308722450212111e-24, 2.117582368135751e-22, 0.0, 1.0587911840678754e-22, -1.6543612251060553e-24, 6.617444900424222e-24, -1.0587911840678754e-22, 0.0, 0.0, 2.117582368135751e-22, 0.0, 4.235164736271502e-22, -2.117582368135751e-22, 2.6469779601696886e-23, 0.0, 0.0, 0.0, 1.0587911840678754e-22, 1.0587911840678754e-22, 0.0, -2.117582368135751e-22, 0.0, -1.0587911840678754e-22, 4.1359030627651384e-25, 2.6469779601696886e-23, 1.0587911840678754e-22]"
A1VN560NNZQIR0,"[0.0, 0.0, 5.293955920339377e-23, 5.293955920339377e-23, -6.776263578034403e-21, 5.293955920339377e-23, 0.0, 0.0, 8.470329472543003e-22, 0.0, 1.3234889800848443e-23, 0.0, 4.235164736271502e-22, 0.0, 0.0, -1.0587911840678754e-22, 6.617444900424222e-24, -1.3234889800848443e-23, 0.0, -4.235164736271502e-22, 5.293955920339377e-23, -1.3234889800848443e-23, 0.0, -8.271806125530277e-25, 0.0, 0.0, 0.0, 0.0, -2.6469779601696886e-23, 5.293955920339377e-23, -5.293955920339377e-23, -5.293955920339377e-23, -1.3234889800848443e-23, -1.3234889800848443e-23, -2.117582368135751e-22, -5.293955920339377e-23, 1.0587911840678754e-22, 5.293955920339377e-23, 0.0, -6.617444900424222e-24, -2.117582368135751e-22, 0.0, 0.0, 2.117582368135751e-22, 0.0, 0.0, -2.6469779601696886e-23, 0.0, 4.235164736271502e-22, -4.235164736271502e-22]"
A1WGC9NCI09T3D,"[0.0, -1.0587911840678754e-22, -1.6940658945086007e-21, -6.776263578034403e-21, 1.3234889800848443e-23, 0.0, -3.3881317890172014e-21, 0.0, 0.0, 0.0, -1.3234889800848443e-23, 0.0, 1.3234889800848443e-23, 0.0, -1.6543612251060553e-24, 0.0, 0.0, 4.1359030627651384e-25, -5.293955920339377e-23, 0.0, -5.293955920339377e-23, -2.0679515313825692e-25, -3.308722450212111e-24, 1.3234889800848443e-23, 2.6469779601696886e-23, 8.271806125530277e-25, -1.3234889800848443e-23, 4.1359030627651384e-25, -1.6543612251060553e-24, -5.293955920339377e-23, -5.293955920339377e-23, 0.0, -2.0679515313825692e-25, 3.308722450212111e-24, 0.0, 4.1359030627651384e-25, -3.308722450212111e-24, 0.0, -1.3234889800848443e-23, 0.0, 2.6469779601696886e-23, 0.0, 0.0, -2.6469779601696886e-23, 1.2924697071141057e-26, 3.308722450212111e-24, 5.293955920339377e-23, 0.0, 1.6543612251060553e-24, 2.6469779601696886e-23]"
A1WGVH160JCIC,"[0.0, 0.0, 0.0, 2.710505431213761e-20, -5.421010862427522e-20, 8.470329472543003e-22, 0.0, 0.0, 1.6543612251060553e-24, -1.6940658945086007e-21, -2.6469779601696886e-23, 8.470329472543003e-22, 1.6543612251060553e-24, 1.3234889800848443e-23, 0.0, -1.0587911840678754e-22, 0.0, -1.0587911840678754e-22, 0.0, -5.293955920339377e-23, 0.0, -5.293955920339377e-23, 5.293955920339377e-23, -4.235164736271502e-22, 0.0, 2.6469779601696886e-23, 0.0, 2.117582368135751e-22, 0.0, 2.6469779601696886e-23, 0.0, 1.0587911840678754e-22, -8.470329472543003e-22, -2.117582368135751e-22, 0.0, 0.0, 0.0, 0.0, 1.0587911840678754e-22, 0.0, -3.1763735522036263e-22, -2.6469779601696886e-23, 0.0, -4.235164736271502e-22, 0.0, 0.0, 1.0587911840678754e-22, 2.6469779601696886e-23, -4.235164736271502e-22, 2.117582368135751e-22]"
