Key,Array
A1118RD3AJD5KH,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.293955920339377e-23, 0.0, 0.0, 2.0679515313825692e-25, 0.0, 0.0, 0.0, -5.293955920339377e-23, 0.0, -3.308722450212111e-24, 1.6940658945086007e-21, 0.0, -4.235164736271502e-22, 6.617444900424222e-24, 0.0, -8.470329472543003e-22, 4.235164736271502e-22, 4.1359030627651384e-25, 0.0, 1.0587911840678754e-22, 0.0, 1.3234889800848443e-23, 0.0, 0.0, -1.0587911840678754e-22, -8.271806125530277e-25, -8.470329472543003e-22, 1.0587911840678754e-22, 2.6469779601696886e-23, 1.6543612251060553e-24, -4.1359030627651384e-25, 8.470329472543003e-22, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.235164736271502e-22, 0.0]"
A23NSBJ5CGLWAA,"[-8.271806125530277e-25, 0.0, 0.0, 0.0, 0.0, 0.0, 5.421010862427522e-20, 0.0, 6.617444900424222e-24, -8.470329472543003e-22, -2.6469779601696886e-23, -2.117582368135751e-22, -2.117582368135751e-22, 2.6469779601696886e-23, 0.0, -4.1359030627651384e-25, 2.117582368135751e-22, 0.0, 0.0, 4.235164736271502e-22, 0.0, 6.617444900424222e-24, 0.0, 0.0, -2.117582368135751e-22, 0.0, -5.293955920339377e-23, 0.0, 0.0, 5.293955920339377e-23, -1.0587911840678754e-22, 0.0, 0.0, 0.0, -2.117582368135751e-22, 2.5849394142282115e-26, 8.470329472543003e-22, -4.235164736271502e-22, 0.0, 1.6940658945086007e-21, -4.235164736271502e-22, 0.0, 1.0587911840678754e-22, 0.0, 0.0, 5.293955920339377e-23, -4.235164736271502e-22, 0.0, 0.0, -2.117582368135751e-22]"
A2CY3ZL67BZKEU,"[0.0, 0.0, 0.0, 0.0, -1.6940658945086007e-21, 0.0, 0.0, 0.0, 0.0, 0.0, -2.6469779601696886e-23, 0.0, 8.271806125530277e-25, 0.0, 8.470329472543003e-22, -5.293955920339377e-23, 0.0, 0.0, 5.293955920339377e-23, 8.470329472543003e-22, 4.235164736271502e-22, -1.0587911840678754e-22, 4.235164736271502e-22, 0.0, 0.0, 0.0, -2.117582368135751e-22, -1.3234889800848443e-23, 3.3881317890172014e-21, 1.6940658945086007e-21, 4.235164736271502e-22, -2.117582368135751e-22, 1.0587911840678754e-22, -2.6469779601696886e-23, 5.293955920339377e-23, -8.470329472543003e-22, 8.470329472543003e-22, 0.0, 0.0, -4.235164736271502e-22, 5.293955920339377e-23, 0.0, -2.6469779601696886e-23, 2.117582368135751e-22, -2.117582368135751e-22, 0.0, 0.0, 0.0, -3.308722450212111e-24, -6.617444900424222e-24]"
A2KJR83EUJJNAX,"[0.0, 0.0, 0.0, 0.0, 0.0, -1.0587911840678754e-22, 0.0, 0.0, 5.421010862427522e-20, 0.0, 0.0, -4.235164736271502e-22, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0587911840678754e-22, -1.3234889800848443e-23, -4.1359030627651384e-25, 0.0, -5.293955920339377e-23, 0.0, -5.293955920339377e-23, -2.117582368135751e-22, -4.235164736271502e-22, 0.0, 0.0, -2.6469779601696886e-23, -1.6543612251060553e-24, 1.6940658945086007e-21, 1.0587911840678754e-22, 0.0, 2.117582368135751e-22, 0.0, 0.0, 1.0587911840678754e-22, 0.0, 0.0, 0.0, 0.0, 0.0, 8.470329472543003e-22, 0.0, 0.0, 4.235164736271502e-22, 1.0587911840678754e-22, 0.0, 0.0, -5.293955920339377e-23]"
A37C3532V0OGK4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.117582368135751e-22, -8.470329472543003e-22, 0.0, 0.0, 0.0, -2.6469779601696886e-23, -4.0389678347315804e-28, -2.6469779601696886e-23, 0.0, 0.0, 0.0, -4.235164736271502e-22, -8.470329472543003e-22, 2.6469779601696886e-23, 0.0, 0.0, 1.0587911840678754e-22, 0.0, 8.470329472543003e-22, 0.0, 0.0, -4.235164736271502e-22, 2.117582368135751e-22, -1.3234889800848443e-23, 0.0, 0.0, 0.0, 0.0, 2.117582368135751e-22, -8.470329472543003e-22, -1.0587911840678754e-22, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.293955920339377e-23]"
A3C46GBHLVSOEW,"[0.0, 0.0, 0.0, 0.0, 4.235164736271502e-22, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.6469779601696886e-23, -2.117582368135751e-22, 1.0587911840678754e-22, 0.0, -2.117582368135751e-22, -4.235164736271502e-22, 0.0, 1.0587911840678754e-22, 0.0, 0.0, 2.6469779601696886e-23, 0.0, 4.235164736271502e-22, -5.293955920339377e-23, 0.0, -4.235164736271502e-22, -2.5849394142282115e-26, 0.0, 2.6469779601696886e-23, -4.235164736271502e-22, -3.3881317890172014e-21, 0.0, 0.0, -4.235164736271502e-22, 2.117582368135751e-22, 0.0, -4.235164736271502e-22, 0.0, 0.0, 6.617444900424222e-24, 0.0, 0.0, -3.308722450212111e-24, 0.0, 0.0]"
A3V6HGWB3AKM8O,"[0.0, 0.0, 0.0, 6.776263578034403e-21, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.3234889800848443e-23, 8.470329472543003e-22, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.235164736271502e-22, -2.117582368135751e-22, 8.470329472543003e-22, -1.0587911840678754e-22, 5.293955920339377e-23, 0.0, -5.293955920339377e-23, 0.0, 4.235164736271502e-22, 0.0, 2.117582368135751e-22, 0.0, 0.0, 2.6469779601696886e-23, -8.271806125530277e-25, -1.6543612251060553e-24, 1.3234889800848443e-23, 0.0, 0.0, -1.6940658945086007e-21, -2.6469779601696886e-23, 4.0389678347315804e-28, -8.470329472543003e-22, 0.0, 1.6940658945086007e-21, 1.0587911840678754e-22, 0.0, 0.0, 0.0]"
AKFUG2XFPPWWM,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.6469779601696886e-23, 0.0, -5.293955920339377e-23, 0.0, 0.0, 0.0, -1.0587911840678754e-22, 1.6543612251060553e-24, 2.117582368135751e-22, -6.776263578034403e-21, 4.235164736271502e-22, -8.470329472543003e-22, 0.0, 0.0, 0.0, 0.0, 1.0587911840678754e-22, 0.0, 2.117582368135751e-22, 4.235164736271502e-22, 0.0, -4.235164736271502e-22, -2.117582368135751e-22, -8.470329472543003e-22, 0.0, 8.470329472543003e-22, 0.0, 2.6469779601696886e-23, 1.3234889800848443e-23, -4.235164736271502e-22, -2.117582368135751e-22, -2.117582368135751e-22, 0.0, 8.470329472543003e-22, 0.0, 0.0, 0.0, 0.0, 0.0]"
ASPQVBZP025R8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.470329472543003e-22, 0.0, -4.235164736271502e-22, 0.0, -8.470329472543003e-22, 5.293955920339377e-23, 1.3234889800848443e-23, 0.0, 0.0, 0.0, 8.470329472543003e-22, 0.0, -2.6469779601696886e-23, 1.0587911840678754e-22, -2.6469779601696886e-23, 0.0, -4.1359030627651384e-25, -6.617444900424222e-24, 4.235164736271502e-22, -4.235164736271502e-22, 0.0, 5.293955920339377e-23, 0.0, -4.235164736271502e-22, -5.293955920339377e-23, 0.0, 0.0, -6.617444900424222e-24, -2.117582368135751e-22, -5.293955920339377e-23, 1.6543612251060553e-24, 0.0, -2.6469779601696886e-23, -1.3234889800848443e-23, -4.1359030627651384e-25, -8.470329472543003e-22, -1.3234889800848443e-23, 1.6543612251060553e-24, -2.6469779601696886e-23, 0.0]"
AV19Z8ZCIQM4G,"[0.0, 0.0, 0.0, 0.0, 0.0, 2.117582368135751e-22, -1.6940658945086007e-21, 0.0, 0.0, 0.0, 3.308722450212111e-24, 2.6469779601696886e-23, 0.0, 0.0, 0.0, 0.0, 1.0587911840678754e-22, -2.6469779601696886e-23, -6.617444900424222e-24, -3.308722450212111e-24, 0.0, 2.117582368135751e-22, -4.235164736271502e-22, -1.3234889800848443e-23, -1.3234889800848443e-23, 0.0, 1.3234889800848443e-23, 6.617444900424222e-24, 0.0, 1.0339757656912846e-25, 0.0, 1.0587911840678754e-22, 0.0, 0.0, 3.2311742677852644e-27, 2.6469779601696886e-23, 0.0, 0.0, 0.0, 0.0, 0.0, 3.308722450212111e-24, 0.0, 5.293955920339377e-23, 0.0, 0.0, -1.3234889800848443e-23, 0.0, 1.6155871338926322e-27, 2.0679515313825692e-25]"
