Key,Array
A12HTKLZWLEAF5,"[0.0, 0.0, 0.0, 1.2572356758246657, 0.0, 0.0, 0.6286178379123328, 0.0, 2.5144713516493313, 0.0, 0.17903804918489497, 0.07676033936674481, 0.18299005127810286, 0.1257086634474403, 0.18460961563720435, 0.15602420143461063, 0.07328241479046134, 0.20378118131353837, 0.1570638033028255, 0.12557484714850642, 0.21015765380891047, 0.19917170177647667, 0.09265196742740901, 0.08120029154108249, 0.1960229860979317, 0.1857463100655972, 0.19656211960281508, 0.18505156482484653, 0.08648009470569266, 0.15818457238075692, 0.07816563747087747, 0.13655315609866026, 0.1750483139904306, 0.1945143978735399, 0.15135277757084672, 0.18464416148734014, 0.22636504540932886, 0.12996547570925368, 0.20560414048953976, 0.11579067883204144, 0.12791641030472267, 0.10129686383057881, 0.0829199955616354, 0.1487222213398958, 0.12588423597369724, 0.14067654290197676, 0.16627028598309837, 0.09439646131608499, 0.1535823902559522, 0.09588432371489171]"
A14R11HV2H7AVW,"[0.0, 0.9937860455228662, 1.9254604632005532, 2.4844651138071656, 2.4844651138071656, 0.9316744176776871, 2.4844651138071656, 0.0, 0.9316744176776871, 0.0, 0.14509741600434276, 0.22249661122730283, 0.12303924279399983, 0.22301564109241329, 0.11508310748503721, 0.22824531538171064, 0.1744513452627114, 0.1128294942461669, 0.16618489562172215, 0.09752265151379046, 0.11274904531360223, 0.11345339779154429, 0.17488812371515255, 0.18422446253054037, 0.11711176035494353, 0.23897248496889179, 0.10434862487235923, 0.14995045890313616, 0.17261456349375628, 0.1038600070969118, 0.1541972923236227, 0.07602146630624206, 0.11266648586128052, 0.16165702945761237, 0.10841802697231183, 0.09101414717110495, 0.17793897633326147, 0.16585570041042577, 0.2051736987542826, 0.11453074294158454, 0.09779915118381974, 0.1966942207164936, 0.11611846357051163, 0.10594662945635284, 0.19324477789301792, 0.09630375071706816, 0.22660818478410172, 0.09886999709275951, 0.14808466704681983, 0.12051524735435556]"
A15IKO3Q6RSA1V,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09482646649658172, 0.10784369174994195, 0.11671284602183356, 0.11151928769734265, 0.13121517226308946, 0.16503138987857166, 0.16426760999790607, 0.06515851782797309, 0.0852205488995435, 0.19743012082193953, 0.20072839757061978, 0.2160950933098235, 0.17752434549700408, 0.1392446853214066, 0.1994695619366014, 0.13878877187644614, 0.20121782855773784, 0.10216777160589537, 0.141198728065484, 0.19339214201090102, 0.17302108818837694, 0.16559588276447867, 0.06449607254720002, 0.19334470382797703, 0.1443150568381584, 0.1814121719778116, 0.0915441947485802, 0.08993492598130078, 0.2124688455074541, 0.16020251070068617, 0.1916264081828205, 0.1726916699167882, 0.2031253100006364, 0.13175882774087222, 0.12882245143433818, 0.0966382240445728, 0.1284811693190004, 0.11202948979975311, 0.1682167014597826, 0.11477917178960875]"
A1C3SRDH9HVEI2,"[0.5590490165320808, 1.0559814756717083, 1.739263606988696, 1.9256132791660563, 0.0, 1.1180980330641617, 1.304447705241522, 0.0, 0.9938649182792548, 0.5590490165320808, 0.07166728419275553, 0.09584204924118707, 0.04679654578081146, 0.1390512667366968, 0.11884042718139155, 0.17593172672180418, 0.15516035991204072, 0.09824781637727248, 0.05014288542268555, 0.06879826403720612, 0.12866449333209828, 0.18094522415303096, 0.08306670672554463, 0.07052311155708356, 0.07557117848027378, 0.06559727582726449, 0.15381028042574466, 0.18407967404385203, 0.07873214421258644, 0.12069932676375703, 0.1104871036968733, 0.05491355963028586, 0.08569351674327258, 0.17760946720591061, 0.06032263162914781, 0.0622422150920353, 0.12372347194571129, 0.16142100425827152, 0.1892869456518195, 0.06281179035541655, 0.17554952367258556, 0.1149543968936727, 0.13765060660711634, 0.19565800253947116, 0.07836058818450702, 0.18903191005428427, 0.05118632369146798, 0.1469430821112766, 0.18782474377090144, 0.14545926518667798]"
A1JJBKKS6FCOQJ,"[1.3512872536895622, 1.0441765142146617, 0.3685328873698806, 1.0441765142146617, 0.0, 1.3512872536895622, 0.0614221478949801, 0.0, 1.5969758452694827, 1.3512872536895622, 0.2005059012453043, 0.21357253049490268, 0.1470196746776688, 0.10136376345506748, 0.08903005082522765, 0.1745108035964192, 0.15346995397927762, 0.09327989034928309, 0.17784571963523638, 0.18136771064652127, 0.15228872562252135, 0.09041092957203993, 0.1357871424017858, 0.13230394449542365, 0.20732535112630762, 0.21749849125906742, 0.1560943771077729, 0.14801470812130266, 0.1127127612686547, 0.08260177932910284, 0.0797998035960085, 0.07124435256480588, 0.1311963307230254, 0.12751879384736975, 0.22721984738532505, 0.09822775356605601, 0.07864497477562332, 0.18191331298171312, 0.11378371427386992, 0.22208946138476476, 0.1645046619752322, 0.14748423542453318, 0.12497964292073004, 0.1602569448769349, 0.2014473132122989, 0.13327507780206344, 0.210690291383133, 0.2068142980247689, 0.11333111870012835, 0.1287942889320331]"
A1L0QECT7J93ZP,"[0.1875, 0.1875, 0.375, 0.9375, 0.0, 0.375, 0.4375, 0.0, 0.25, 0.1875, 0.10833859744818836, 0.08359434489786466, 0.21776332559098657, 0.20795807349480533, 0.1310334848677855, 0.11114439433241208, 0.06985587402672194, 0.13302592077507105, 0.1775329752421818, 0.21843511185091394, 0.13165982133764773, 0.23508371667363034, 0.17857292607059136, 0.19105489505521814, 0.17328338238887117, 0.16907290019183466, 0.13386974919260564, 0.08249746646739359, 0.1413550051782486, 0.10719415341858671, 0.1660093235479006, 0.18925964460344424, 0.09168458776857244, 0.08218606315250764, 0.1241515413410925, 0.08380991475853063, 0.1511772030673514, 0.14602844126990444, 0.15404802561200642, 0.14023785970773284, 0.08835658282971087, 0.17595547502682918, 0.17534157057138117, 0.1259621084545894, 0.15254151534207758, 0.15608557492866598, 0.18460973925164362, 0.12961783954921707, 0.16447681537227202, 0.2034081240226151]"
A1MZIY3MPR5LRS,"[1.4341039129627347, 1.4341039129627347, 0.7170519564813673, 1.4341039129627347, 0.0, 1.4341039129627347, 0.7170519564813673, 0.0, 1.4341039129627347, 1.4341039129627347, 0.09061635784998498, 0.15764067453262076, 0.1975025219657227, 0.2417001875427867, 0.17294253709890425, 0.1110571433326949, 0.1806105333948778, 0.18054166412962416, 0.09243010008889223, 0.12166334117251772, 0.20628467199967596, 0.10511523263664004, 0.07184275291155003, 0.14042222753338357, 0.1626969817882124, 0.20538940685488347, 0.22959286280329358, 0.13661532594620204, 0.12057584200463449, 0.07693507424412942, 0.18861680306209921, 0.12093567376080247, 0.14925291123185738, 0.21494610843676504, 0.09696444834795706, 0.09154711868132302, 0.17153076762685865, 0.09505792254733085, 0.16690243141969666, 0.19407520938546036, 0.10268079597883188, 0.08060466330778313, 0.11156741889025525, 0.09860200885280444, 0.12742835418145942, 0.1853723752924975, 0.15376282771105748, 0.12858196700996685, 0.1732556545358612, 0.1889609172172786]"
A1T7DRMZ9A9KEA,"[0.125, -0.375, -1.125, -2.5, 0.125, -1.375, -2.5, 0.0, -0.8125, 0.125, 0.1856126392418178, 0.11998871471262453, 0.14275881880713803, 0.21799996037805036, 0.0992019557898679, 0.17641822016391673, 0.15389169197141253, 0.09746834637349211, 0.11947521491027233, 0.08470582349548234, 0.2168160332708818, 0.10239671854966254, 0.08371535784380418, 0.07147604397317171, 0.19167733423935263, 0.2041988554038608, 0.20333941632226113, 0.07478335184965924, 0.09350510180480262, 0.07035756148080363, 0.15963316275868983, 0.13592574668740065, 0.07756156798535518, 0.1965947092904396, 0.16338114659211553, 0.08481672421383502, 0.17056008136769862, 0.16751166607668866, 0.16680274324160013, 0.105364651370807, 0.17740341933710266, 0.10692124398092165, 0.14833967437681994, 0.13595367391486465, 0.20497315392692664, 0.11384102780709583, 0.1923163717924339, 0.17249269141896154, 0.2076878728346843, 0.21373140854400907]"
A1TEIICSK5IK0V,"[0.0, 0.256165312778236, 2.56165312778236, 1.28082656389118, -0.512330625556472, 0.0, 1.472950548474857, 0.0, -0.064041328194559, 0.0, 0.051597497013532695, 0.09052256623447497, 0.07556330082579947, 0.17856223280492364, 0.1719247293342274, 0.10386244119418185, 0.1671113038993578, 0.08009999910519931, 0.13163130996726155, 0.16360265686582934, 0.19928498309661083, 0.14081153114130243, 0.1342221544066182, 0.05968314015744649, 0.07197200284332705, 0.2114912075670574, 0.10441800283565841, 0.1849717870960965, 0.20394497656934965, 0.1520808864097202, 0.12464087546466672, 0.19026946555237287, 0.17929925519804868, 0.11308340533171823, 0.19013634277686325, 0.19462524072886908, 0.15828980739426415, 0.11273957891086539, 0.14358574431190577, 0.16848278702492986, 0.18178106372034625, 0.17642337246901285, 0.13257286231086365, 0.20833532975190763, 0.20249988626636375, 0.13232329344412463, 0.12511021077622542, 0.17836263777980002, 0.11455154815797067, 0.17777703927915117]"
A1U4MBURSADCDU,"[0.6875, 0.6875, 0.0, 1.375, 0.0, 0.6875, 0.6875, 0.0, 1.375, 1.375, 0.2016265487607604, 0.17935139646711332, 0.1934613213280592, 0.21142260246265285, 0.09296999299987684, 0.21135349732845365, 0.11057239967124344, 0.12339043699925382, 0.18833481924279935, 0.1138094549143875, 0.13186520338400418, 0.20501218610377736, 0.10147006357597403, 0.13116741143390856, 0.1679157976281443, 0.20510631786862676, 0.14973259247692658, 0.1201439264123462, 0.1097819503270565, 0.19678584691001288, 0.08095290574874436, 0.19706838671657667, 0.08883549674627833, 0.19087699313197629, 0.1265258115267232, 0.19821322558320004, 0.09201764958446779, 0.10486563852179863, 0.17429873745641022, 0.11588083622605445, 0.14106543449557832, 0.07032086096689137, 0.21287970138048548, 0.08840898690825451, 0.16471633806599714, 0.17665615904736154, 0.17946858733436458, 0.14054847226013414, 0.09707354468930315, 0.06518808283701615]"
A1VN560NNZQIR0,"[0.0, 2.392824932383197, 0.122708970891446, 2.45417941782892, 0.920317281685845, -0.061354485445723, 2.45417941782892, 0.0, 2.331470446937474, 0.0, 0.07549482460053315, 0.11817802420570113, 0.1752284854848274, 0.18268663634386334, 0.19875703183078053, 0.11014013382424725, 0.1791417971866627, 0.06385700215559488, 0.09172584934842323, 0.17132910687545663, 0.13742859962464643, 0.1676524320035918, 0.08718407662676718, 0.13899890636373669, 0.14159274005812983, 0.12585506078386607, 0.18720671670283334, 0.19586692712647683, 0.21234364238181208, 0.14399838152695918, 0.10414357715190473, 0.06145966991697642, 0.10693044058778146, 0.15489108750574815, 0.2274493641909714, 0.16242676221913954, 0.13949080555445337, 0.11765400414616317, 0.21934109186615175, 0.10129107660135492, 0.13396948928234292, 0.12988773217560862, 0.11619359202041205, 0.1310515137739954, 0.18812095601385423, 0.16096769538402608, 0.20521001017720342, 0.16263868986364596, 0.18531136483967833, 0.11396997242316548]"
A1WGC9NCI09T3D,"[0.0, -0.31441390372936384, 0.25153112298349106, 0.7545933689504731, -0.06288278074587277, -0.18864834223761828, 2.2637801068514194, 0.0, 0.37729668447523657, 0.0, 0.06299241881211692, -0.0055676967373037714, 0.060078308707653516, -0.05367257275477233, -0.034090435132887544, 0.06875109940428882, -0.013482943555031393, 0.014978743004450979, -0.04246665644764243, 0.08901258872089295, 0.055380236656885545, 0.00771325231057895, 0.08549280599863218, -0.024297503428994817, 0.04697921191490922, -0.028040963673658843, 0.0964473718174886, 0.029341212860251493, -0.016679536806554048, 0.04527986067092315, -0.03411951946868134, -0.038217192803744866, 0.013936075870057239, 0.0992757899378451, 0.01891306643029556, 0.071566081918502, 0.05278226168685183, 0.09203791486398555, 0.08731552811338872, -0.02112472461978968, 0.0707770784341266, 0.08821034303671638, 0.0365333155199557, -0.04526564846199486, -0.006362092323083313, 0.08130232714797256, -0.033641074994167956, 0.08084185306704537, 0.08759424343899087, 0.06196857899303996]"
A1WGVH160JCIC,"[-0.5906939379543502, 0.459428618408939, -0.5250612781816446, 1.9689797931811672, 1.1813878759087004, -0.459428618408939, 0.918857236817878, 0.0, -0.06563265977270558, -0.5906939379543502, 0.08985994499318685, 0.17315103658426417, 0.19342834447645751, 0.1270137955045457, 0.1562126371801717, 0.19818306317132928, 0.12864421052197608, 0.05462509660299648, 0.10841689354839872, 0.13198500413858474, 0.1989261035137068, 0.19389958309627997, 0.09033495248919159, 0.19342993816500162, 0.1926499449259691, 0.13703001308735835, 0.1345840753213579, 0.153631670808396, 0.14144665027188755, 0.12354355544254607, 0.17768216614131505, 0.06550444769682137, 0.16833029149920534, 0.21395317070955466, 0.17415738344172899, 0.1379402917467304, 0.11417385882113425, 0.09172653639259479, 0.16942437158568396, 0.1523763143974423, 0.10424151513465472, 0.17883536786986454, 0.11486896223909183, 0.17617215497218663, 0.18727480784932207, 0.13078644307674808, 0.18735545611487478, 0.08879810566246196, 0.1539434699303866, 0.1319473401007894]"
A1WWZ1NKXLFYNG,"[-0.3680522578609541, -0.18402612893047704, -0.061342042976825675, 0.7361045157219082, 0.0, -0.2453681719073027, 1.0428147306060365, 0.0, 1.717577203351119, -0.18402612893047704, 0.044732098102534694, 0.12299305235605376, 0.09661685298305078, 0.09265403160752243, 0.11054360808053298, 0.024257395770093858, 0.0008316015988927838, 0.02377557327794883, 0.08524826861237972, -0.004809193188581086, 0.004325461105625949, 0.05307073174414722, 0.008169990898213372, 0.07047559360091184, -0.00479453424674377, 0.08901324153545187, 0.12562971220268923, -0.0039021131204987746, 0.04685618665742194, 0.09808078831882666, 0.008877793050193813, 0.11510306013344677, 0.0837776949512836, 0.10968641360664655, 0.005492437440030575, 0.08763534824174367, 0.01900541940545504, 0.0947563734331758, 0.11538196569424884, 0.11601900075702729, 0.09586163669613798, -0.0007444610303986632, 0.10348830445119378, 0.01679522810082132, 0.013117091539139234, 0.08524248012834403, 0.12432129810388069, 0.05311827153481781, 0.006360381977508438, -7.2573994186355e-05]"
A1YVFD3TLX6E22,"[0.0, 1.6849466725363644, 2.1385861612961548, 2.5922256500559455, 1.0368902600223782, 0.0, 2.5922256500559455, 0.0, 2.5274200088045466, 0.25922256500559454, -0.007895383153699326, -0.010571350244355123, 0.10522980919176397, 0.010762426699076537, 0.09866256621435313, 0.07922529417475248, 0.08623184589153017, 0.08305851737274932, 0.037877236431978045, 0.03176031220717168, 0.08391868090454767, 0.03503900389367272, 0.09699720400430574, 0.0453225687407698, 0.08110029256748194, -0.04462171567888012, 0.0961187881061958, 0.010000466381837917, -0.031022443633896543, -0.03569535933132141, 0.07787062999459267, 0.055807892808882924, 0.03777678547365357, 0.0031344999041306443, 0.031216762881248, 0.07733807081526452, 0.02127807980708123, -0.01737410515767542, 0.03837545995103894, 0.09424846272735757, 0.05681352645962609, 0.01936396925150123, -0.03224962103840149, -0.03410691600879979, -0.021047864303443877, -0.022285512457321636, 0.06270576597600215, -0.04023947729666003, -0.016529899979872673, -0.01681647642965162]"
A1ZN7IP615TNQO,"[0.0, 0.0, -0.36128304433773945, -0.36128304433773945, 0.0, -0.36128304433773945, 0.9634214515673052, 0.0, 0.0, 0.0, 0.12038220748575434, 0.0973850253423493, 0.17091419263031196, 0.13768744366370517, 0.14756187465115808, 0.1945619372228698, 0.14146628616666893, 0.19847572956663628, 0.20360885289317945, 0.11158527679740401, 0.08525114089276059, 0.15100715193642528, 0.08999000877518436, 0.1335984315308639, 0.09109514004001959, 0.18737128118485133, 0.09454498637456644, 0.19264087014967496, 0.150833380958814, 0.1943666015815, 0.08300069747090787, 0.1280058994549963, 0.14897576125198592, 0.14166353749737676, 0.11691201035167734, 0.16196534728523834, 0.11227302056919948, 0.13692510869994656, 0.12510425035673856, 0.16195110839247515, 0.1918139031415922, 0.17314735073522755, 0.2025266771178271, 0.17975638422187576, 0.12456566456022061, 0.12054034726173067, 0.18891621099891473, 0.16719856197395538, 0.13086134399200142, 0.2185286519542667]"
A20Y9PNINSXAE2,"[0.6875, 0.6875, 0.0, 1.0625, 0.0, 0.6875, 0.375, 0.0, 0.6875, 2.125, 0.08068318440858854, 0.15354685498059803, 0.191051328323548, 0.1526918194028389, 0.18609951251235585, 0.20796224224703638, 0.2002660552631917, 0.07191188995569227, 0.1968687905145466, 0.11758342339688682, 0.16225226883126986, 0.12878219830458457, 0.14699097393816377, 0.2004397997455568, 0.09863678736297221, 0.14540144813487174, 0.19553971485475552, 0.1978805963415041, 0.16415560914576224, 0.1906289486452788, 0.19376566677371537, 0.10581170349921241, 0.06994617294789544, 0.16851402329551735, 0.11630327176188672, 0.1675304816446914, 0.12700220122940936, 0.12192478472838673, 0.14505167873030977, 0.131837185241015, 0.14030749358741518, 0.1904670022174027, 0.13653205457022569, 0.08362090922531902, 0.09834541853276614, 0.1836535514735508, 0.06137071608249404, 0.09234047273494184, 0.20991766135907056, 0.14246453840427917]"
A22V1MD93T2FW9,"[2.484814436539, 2.484814436539, 2.484814436539, 2.484814436539, 2.484814436539, 2.484814436539, 2.484814436539, 0.0, 2.484814436539, 2.484814436539, 0.11858195534473272, 0.19471151782571694, 0.14917757122245673, 0.22440803873113846, 0.13985992971391994, 0.20847470252614286, 0.09235737094112473, 0.0737209827915483, 0.11683799115252005, 0.08614319099439155, 0.20638020562134674, 0.20557951663906263, 0.12390332040830211, 0.1003296350656521, 0.1720504249180418, 0.15205727496350135, 0.08088247810471541, 0.11113362822598921, 0.17867283870452463, 0.16537490489537088, 0.19410834735129215, 0.11340244098711963, 0.0922514987246653, 0.10671091910770195, 0.17236160064257622, 0.14966275261838027, 0.10701826347504535, 0.16379671187705824, 0.21529132115927044, 0.1795944280242642, 0.19318055123657815, 0.0601264464127095, 0.11036468429756627, 0.19878661441916065, 0.1797077627739595, 0.1894908989441552, 0.1250794441651232, 0.09362398613272217, 0.10917680850418243, 0.15790206625614192]"
A24HQ2N7332W7W,"[0.6918077673053267, 2.515664608383006, 0.2515664608383006, 2.515664608383006, 1.0062658433532023, 0.8175909977244769, 2.515664608383006, 0.0, 1.3836155346106533, 0.8175909977244769, 0.08402926828366632, 0.17366892507066084, 0.21491702555815861, 0.15189135310906454, 0.10900785648151612, 0.23110419815943636, 0.075430608244539, 0.09512700779449992, 0.16102147133030806, 0.21979045864821817, 0.09815895867295991, 0.14569100390431214, 0.08774282018309529, 0.1338918550580967, 0.10137235244019682, 0.18827860368619334, 0.13575430059167862, 0.20333496633067505, 0.18104274430304673, 0.16236617067234632, 0.14250781464035228, 0.18329919297589312, 0.0910911486700812, 0.09952423798785666, 0.1658771557873038, 0.16297346611823985, 0.08623410177662634, 0.11293876962214722, 0.08910497465733799, 0.23144732654881775, 0.1621426007570133, 0.14202314677860323, 0.1697619570417199, 0.20599574943975255, 0.22095576419446047, 0.10520380591171587, 0.07777516894678069, 0.110037044073598, 0.13509127513641941, 0.20527296574918988]"
