Key,Array
A1118RD3AJD5KH,"[0.0, 0.45158059197179157, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1076666278202793, 0.22750459191812472, 0.10958809010976595, 0.22238380353999024, 0.2964768758106507, 0.1739772447687613, 0.15300645375744712, 0.21634604377727643, 0.10967288075051902, 0.2382037390431045, 0.26941829086197183, 0.17307914702941127, 0.20666152917712274, 0.19311258135203394, 0.13693796210448136, 0.20833744831043205, 0.2639402233533923, 0.18562338406290088, 0.20345010312616657, 0.18002809761389582, 0.16722727137247978, 0.19868088755578095, 0.14237701074315007, 0.17077763078826047, 0.19608268084032568, 0.18246634858028865, 0.24392042667464078, 0.15703384140041923, 0.3349998361431777, 0.2601520294343465, 0.17034639734498222, 0.23255295231200646, 0.2850495576052888, 0.2322066512694903, 0.2753092550647541, 0.23411154121942135, 0.19680505239769658, 0.2516785810796792, 0.21569301624976678, 0.1277744999707273]"
A23NSBJ5CGLWAA,"[-0.12802168002623898, 0.0, 0.0, 0.0, 0.0, 1.0241734402099119, 2.56043360052478, 0.0, -0.12802168002623898, -0.25604336005247796, 0.15834561184368925, 0.24761284947966747, 0.220742284920159, 0.2305542720229438, 0.25023886921211363, 0.1958107483587177, 0.2277876319731881, 0.309366673351891, 0.13712467859141292, 0.16884078014192125, 0.29637740272485047, 0.11429344677930196, 0.24482879822161646, 0.2545862707230904, 0.19183378829993317, 0.1807660204866113, 0.23705104701008928, 0.09015948016405041, 0.29265259503885743, 0.22376300957287923, 0.14875611456441348, 0.286603164362705, 0.1837059606154431, 0.12326470103458302, 0.20257740777829383, 0.16464909734204275, 0.13330371868796254, 0.13876646691499012, 0.2901667958997603, 0.16407770190536097, 0.26163192310681, 0.160603459452361, 0.20443275470529604, 0.2130856826985347, 0.24174662443813233, 0.24492371352811204, 0.19451812956207654, 0.2830592385885984, 0.16541984512120098, 0.12338642028313401]"
A2CY3ZL67BZKEU,"[0.0, 0.0, 0.0, 0.0, 1.1875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17547465780146615, 0.1964825156606966, 0.1060677639288825, 0.2039139024634089, 0.3227806989102021, 0.10926295612564525, 0.15278527259440686, 0.2585492092010385, 0.19138161903085446, 0.2701352724054819, 0.1957246007211562, 0.17937388439344243, 0.284004850871118, 0.17733681512297203, 0.13912014236520562, 0.26837178194439615, 0.15855705016340418, 0.09157449862884655, 0.2800303187473489, 0.1725841988471582, 0.2873746154271109, 0.18565430263040508, 0.1824611124313724, 0.14062418558122822, 0.20515923617826587, 0.1487776953280505, 0.17982725332393484, 0.22671263940523084, 0.1920824893282494, 0.2445321445808672, 0.1540745623665439, 0.22688655044172834, 0.24806746828998913, 0.2580763832248263, 0.2969984831693474, 0.2479926659715133, 0.24197207487377803, 0.2837485387544963, 0.17759275868489402, 0.07323844776836543]"
A2KJR83EUJJNAX,"[0.0, 0.0, 0.0, 1.0314743067374548, 0.0, 0.12893428834218185, 0.0, 0.0, 2.5786857668436367, 0.0, 0.1352121697784654, 0.1389084305910467, 0.20392025558223423, 0.2721153567332356, 0.250294199511169, 0.240296955991098, 0.17611689305040265, 0.18568766851820998, 0.13324398405348709, 0.295157102137749, 0.30576100879521917, 0.11833385879195192, 0.23157374847751838, 0.18689000008664453, 0.17923103689125858, 0.16704873761098968, 0.19168231429046653, 0.1177887617078969, 0.25527966647207256, 0.17629076048414694, 0.18717651834173796, 0.277960765022032, 0.12058551376216825, 0.20125636632159666, 0.26772438349289196, 0.2349883491718011, 0.15186429569886428, 0.15748593461878152, 0.29307186308530747, 0.2155673204642489, 0.17089951920735386, 0.2840975147983368, 0.20810903904632874, 0.2884843051934849, 0.18727342570418726, 0.21875241488586572, 0.24906864413408844, 0.1584816934098005, 0.22929673139020815, 0.07806891240792141]"
A37C3532V0OGK4,"[-1.4353075963866009, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19622299214357433, 0.16272864520935018, 0.1261988674638458, 0.26166526924760464, 0.33007268847842614, 0.22156286233158407, 0.18266032167850108, 0.3013746756021723, 0.11234358383704224, 0.182962018286327, 0.21084755371977376, 0.08086999522850101, 0.23539762023376162, 0.1448816148767784, 0.1766707952577219, 0.14722697511929136, 0.207540474388798, 0.13236539908625375, 0.28463982700080376, 0.1492082593956047, 0.17583499507024916, 0.17538072366949573, 0.16811699499231642, 0.20368212212999773, 0.30513116548334074, 0.19092135013928632, 0.11513687042294497, 0.10826687497684427, 0.2970636979935814, 0.27166899653693866, 0.26469046167569465, 0.27943022191854744, 0.23212326357749835, 0.17745852890397046, 0.2600488572161248, 0.2286357481855658, 0.2912456147033908, 0.14811652160698416, 0.24231694544176613, 0.11431352630561165]"
A3C46GBHLVSOEW,"[0.0, 0.0, 1.36701153767231, 0.0, 0.683505768836155, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2164663954596921, 0.13793718350873097, 0.22604829193065706, 0.123731878432429, 0.32917496055780143, 0.13748415679741335, 0.13754928012669515, 0.2588971443969349, 0.12472998954371875, 0.24923363619249883, 0.22920509638312514, 0.19142541817094194, 0.202011985037305, 0.13076648821676495, 0.2432571078098217, 0.28041134386403166, 0.23465887338206282, 0.11257562590431906, 0.26157840431226226, 0.2392805582080087, 0.20748642554188249, 0.18411244315393183, 0.1037308736102198, 0.09472609043661145, 0.2560764123879264, 0.23970594574906068, 0.2378409364913507, 0.18129392137977474, 0.29408965229476197, 0.14931118884091205, 0.12431541884139952, 0.1950239452448154, 0.16430032483952328, 0.29346933928492613, 0.17055661252254944, 0.24457516926300446, 0.30350195821787007, 0.23776284239312992, 0.24595162560794556, 0.15340312620411706]"
A3V6HGWB3AKM8O,"[0.0, 0.0, 0.0, 1.3051013635967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19222124138219315, 0.10635001358007244, 0.09971638635270962, 0.12445633909069535, 0.28577975062427874, 0.11176436225672587, 0.23752717827614758, 0.29350827828486187, 0.1753116066339647, 0.2527404867541331, 0.3061903938968876, 0.15329173612735372, 0.15459112134471817, 0.20343472460861578, 0.16479627405037087, 0.14135768151214415, 0.21545337038653486, 0.1959558618873983, 0.17117837361193097, 0.20829167363461962, 0.20454248142358616, 0.17851783297456528, 0.1295710752842593, 0.1743160421850599, 0.16974899715532746, 0.23159930936234002, 0.2600026524647653, 0.2277163275510792, 0.2253178687758444, 0.1660219094545674, 0.20688409862662577, 0.26628945472518667, 0.2737535215026581, 0.29520469331118837, 0.25909058420155073, 0.2578409827769861, 0.2416898655982357, 0.262818009843904, 0.2553557315036959, 0.09477587498113048]"
AKFUG2XFPPWWM,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.209527805856793, 0.22008687337189578, 0.14236240416602783, 0.10034010966656698, 0.2332229888766369, 0.3236902867583426, 0.09919890518675802, 0.16697154872623718, 0.2506508294205547, 0.1950000654913935, 0.17805841249827564, 0.2724071776348567, 0.20118193219968927, 0.2299875493379997, 0.2361151017669573, 0.10791147224667208, 0.25743411093689156, 0.22434829722131056, 0.21012681553886692, 0.2377783295531572, 0.1864672433642185, 0.19952812621923, 0.21149289971613439, 0.18084839958479287, 0.1327735442835109, 0.22120483064755364, 0.15623226302467938, 0.20950453153391282, 0.11200039589605851, 0.3020628727546458, 0.17077280125881567, 0.17942114544052556, 0.2690809179946834, 0.21329314678865752, 0.260651150077603, 0.28397640663387974, 0.20356956176859284, 0.235490857094867, 0.175525782548419, 0.24279399558648485, 0.0953814399311253]"
ASPQVBZP025R8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2384619593559096, 0.12379355409209523, 0.169023473781467, 0.21388699478429374, 0.20847033553162156, 0.18710696003735533, 0.10758579039480179, 0.17073708282509403, 0.18916194295073094, 0.17193471110734196, 0.3121708590607553, 0.08456277519539922, 0.24859299442747085, 0.13830759057111375, 0.1445398203532435, 0.2269566975489705, 0.21642256264709642, 0.18747445041020572, 0.2408940588034501, 0.24015838992019017, 0.2856953266565605, 0.1564908235235777, 0.18559912748374083, 0.15016479806193536, 0.29981460964917606, 0.16230737333187037, 0.2288641264960346, 0.08849949759036455, 0.29605541309760175, 0.23673575356802035, 0.1582516709700413, 0.18482708737705122, 0.2816594323892292, 0.21792932806771634, 0.2350088099678844, 0.26983178263727314, 0.3060679169332814, 0.2510838546897645, 0.23079410425887945, 0.07442765962089604]"
AV19Z8ZCIQM4G,"[0.0, 0.0, 0.0, 0.0, 0.0, 2.050629773739905, 1.0253148868699524, 0.0, 0.0, 0.0, -0.018994084033366915, 0.0493439861269727, 0.05287846133408642, 0.036918948385274535, 0.09297673100569186, 0.051626012245354194, 0.06389004792904426, 0.08951141684887055, 0.032788965444560586, -0.018013496433385, 0.041339705710705305, 0.06414480867261876, 0.08737832772482108, 0.05084161041020039, 0.10482985450422184, 0.014703239223143715, 0.08441589034657218, 0.06955264021423214, 0.006134942508048288, 0.03787414913568399, -0.015295038587416968, 0.07707944251336256, 0.048620104097989135, 0.0923421798545612, -0.026168042987446204, 0.034979773820986236, 0.07588784227224224, -0.014583492581287069, -0.026267800781149053, -0.026999359485060093, 0.031218719359182405, 0.025668088032461168, 0.1064933017613412, 0.024689470935401664, 0.08885674557744358, 0.08765744621074646, 0.07466169782992756, 0.034446535198585836, -0.0006642224705508665, 0.022975192677095854]"
