reviewerID,itemID,overall,fine_feature,coarse_feature
A2UEO5XR3598GI,B0000530HU,5,[0. 0. 5. 0. 0. 0. 0. 0. 0. 0.],0.5
A3H7T87S984REU,B0000530HU,5,[5. 5. 0. 0. 0. 0. 0. 0. 0. 0.],0.4969806211690804
A3J034YH7UG4KT,B0000530HU,1,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],0.5
A2YDF506DAA5W4,B00006L9LC,1,[0.   0.   0.   0.   0.   0.   0.   0.   0.   4.25],0.49701060529752805
A22V1MD93T2FW9,B00006L9LC,5,[0. 0. 0. 5. 0. 0. 0. 0. 0. 0.],0.49694802301655105
A15IKO3Q6RSA1V,B00006L9LC,5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.5
A31URN5S2Q0UJV,B00006L9LC,5,[5. 0. 0. 0. 0. 0. 5. 0. 0. 0.],0.5
A20Y9PNINSXAE2,B00006L9LC,5,[0. 5. 0. 0. 0. 0. 0. 0. 0. 0.],0.5
A24HQ2N7332W7W,B00006L9LC,5,[0. 0. 0. 0. 5. 0. 0. 0. 0. 0.],0.5058575935866758
A1TEIICSK5IK0V,B00006L9LC,5,[0.   0.   4.75 0.   4.75 0.   0.   0.   0.   0.  ],0.5
A35GLRQ89X0WRD,B00006L9LC,5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 5.],0.5
A2TU781PWGS09X,B00006L9LC,2,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.5
ADUKTDKBY4CNP,B00006L9LC,1,[ 0.    -3.375  0.     0.     0.     0.     0.     0.     0.     0.   ],0.5
A2TRMX7KR6IIVA,B00006L9LC,5,[5. 5. 5. 5. 5. 5. 5. 5. 5. 5.],0.5
A2V608ILSK1M5R,B00006L9LC,1,[ 0.   0.   0.   0.   0.  -1.5  0.   0.   0.   0. ],0.5
A24W4W9E62FZP2,B00006L9LC,2,[0. 5. 0. 0. 0. 0. 0. 0. 0. 0.],0.4970463085368225
A1JJBKKS6FCOQJ,B00006L9LC,5,[0.    0.    0.    0.    0.    0.    0.    0.    0.    4.125],0.5
A1WGVH160JCIC,B00006L9LC,5,[0.    0.    0.    3.125 0.    0.    0.    0.    0.    0.   ],0.5
AX0ZEGHH0H525,B00006L9LC,5,[-5.  0.  0.  0.  0.  0.  0.  0.  0.  0.],0.5
A3JMIBCH90HGWG,B00006L9LC,5,[ 0.    -3.875  0.     0.     0.     0.     0.     0.     0.     0.   ],0.5
A3L40OCWS1W7R7,B00006L9LC,5,[0.625 0.    0.    0.    0.    0.    0.625 0.625 0.625 0.   ],0.5
A34Z0P70GD9Y6Y,B00006L9LC,5,[-3.  0. -3.  0.  0.  0.  0.  0.  0.  0.],0.49688127673014876
A1T7DRMZ9A9KEA,B00006L9LC,5,[ 0.  0.  0.  0.  0. -1.  0.  0.  0.  0.],0.4970383082323801
AYY463Q7V3LTU,B00006L9LC,5,[0.   0.   0.   3.75 0.   0.   0.   0.   0.   0.  ],0.5
ADW00ZRLWD3KG,B00006L9LC,5,[ 0.  0.  0.  0.  0.  0.  0.  0.  0. -5.],0.49700708423413914
A1DFI14L1LBOPJ,B00006L9LC,2,[ 0.  0.  0.  0. -5.  0.  0.  0.  0.  0.],0.5
A7ID5H7FWLJHC,B00006L9LC,1,[0. 0. 0. 0. 0. 5. 0. 0. 0. 0.],0.5
AKQ9DH3HRPHW3,B00006L9LC,5,[0.    0.    3.625 0.    0.    0.    0.    0.    0.    0.   ],0.5
A2G90R2ZU6KU5D,B00006L9LC,5,[ 0.  0.  0.  0.  0.  0. -3.  0.  0.  0.],0.5
A2ABCUIYJETG6Q,B00006L9LC,5,[0. 0. 0. 5. 0. 0. 0. 0. 0. 0.],0.5
A3IOV1NJ4IM2HC,B00006L9LC,1,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.5
A1MZIY3MPR5LRS,B00006L9LC,5,[2.75 2.75 2.75 2.75 2.75 2.75 2.75 2.75 2.75 2.75],0.5
A12HTKLZWLEAF5,B00006L9LC,5,[0.   3.75 0.   0.   0.   0.   0.   0.   0.   0.  ],0.5
A14R11HV2H7AVW,B00006L9LC,5,[5. 5. 5. 5. 5. 5. 5. 5. 5. 5.],0.5
A39AEA8OFO8JT,B00006L9LC,5,[ 0.    0.    0.    0.    0.    0.    0.    0.    0.   -3.25],0.49098707700103345
A28G6HAG3I755Y,B00006L9LC,5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.5
A28MZ2SOOHMOZW,B00006L9LC,1,[-5.  0.  0. -5.  0.  0.  0.  0.  0.  0.],0.4967467375900198
A2GBIFL43U1LKJ,B00006L9LC,5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.5
A1YVFD3TLX6E22,B00006L9LC,4,[0. 0. 0. 0. 0. 5. 0. 0. 0. 0.],0.4940441061614497
A309W2EPFGXK7P,B00006L9LC,5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.4993238868847625
A37XI9VKWZWZKO,B00006L9LC,5,[0. 0. 0. 0. 0. 0. 5. 0. 0. 0.],0.49702531337981026
A1ZN7IP615TNQO,B00006L9LC,5,[0. 0. 0. 0. 0. 2. 0. 0. 0. 0.],0.5
A10ZJZNO4DAVB,B00006L9LC,5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.5189234345957074
A1WGC9NCI09T3D,B00006L9LC,1,[ 0.  0.  0.  0.  0. -5.  0.  0.  0.  0.],0.4939930645790974
AT9SW0VOLAKQD,B00006L9LC,5,[0.    2.875 0.    0.    0.    0.    0.    0.    0.    0.   ],0.4970232363898723
A27PPA3O7PX0OH,B00006L9LC,1,[0.    0.    0.    0.    2.125 0.    0.    0.    0.    0.   ],0.496980913187103
A2N4OUX2ORC859,B00006L9LC,5,[0.   0.   0.   0.   0.   0.   1.75 0.   0.   0.  ],0.5
A2D9MTWHD2BFUG,B00006L9LC,5,[0. 0. 0. 0. 0. 4. 0. 0. 0. 0.],0.5
A3P7FOLR5SGXYN,B00006L9LC,5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.5156540563809374
A1WWZ1NKXLFYNG,B00006L9LC,2,[0.  0.  0.  0.  0.  3.5 0.  0.  0.  0. ],0.5
A36CT6022EC8KS,B00006L9LC,5,[ 0.   0.   0.   0.   0.   0.  -0.5  0.   0.   0. ],0.5485871641118532
A1U4MBURSADCDU,B00006L9LC,5,[2.75 2.75 2.75 2.75 2.75 2.75 2.75 2.75 2.75 2.75],0.5
ASJX5CT07ZCE3,B00006L9LC,5,[ 0.     0.     0.     0.     0.     0.     0.     0.     0.    -1.375],0.5
A2RWJPXMBFGCF0,B00006L9LC,5,[5. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.5
