reviewerID,itemID,overall,fine_feature,coarse_feature
A2CY3ZL67BZKEU,B00006L9LC,5,[2.375 2.375 2.375 2.375 2.375 2.375 2.375 2.375 2.375 2.375],0.49078903972741156
A23NSBJ5CGLWAA,B00006L9LC,5,[0. 0. 0. 0. 0. 5. 0. 0. 0. 0.],0.4996972291671377
AKFUG2XFPPWWM,B00006L9LC,5,[0.   0.   0.   0.   0.   0.   0.   0.   0.   2.25],0.4725579380928695
ASPQVBZP025R8,B00006L9LC,5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.5031400437846817
A3C46GBHLVSOEW,B00006L9LC,5,[0.   0.   0.   0.   0.   0.   0.   2.75 0.   0.  ],0.5181075801941093
A37C3532V0OGK4,B00006L9LC,5,[ 0.    0.    0.    0.    0.    0.    0.   -3.75  0.    0.  ],0.5153249308084038
A1118RD3AJD5KH,B00006L9LC,5,[0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75],0.5126043374087044
A3V6HGWB3AKM8O,B00006L9LC,5,[0.  0.  0.  0.  0.  0.  0.  0.  0.  2.5],0.5
A2KJR83EUJJNAX,B00006L9LC,5,[5. 0. 5. 0. 0. 0. 0. 0. 0. 0.],0.5189152102091796
AV19Z8ZCIQM4G,B00006L9LC,4,[4. 4. 4. 4. 4. 4. 4. 4. 4. 4.],0.49419528859710565
