Key,Array
A10ZJZNO4DAVB,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A12HTKLZWLEAF5,"[0.0, 1.875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A14R11HV2H7AVW,"[2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5]"
A15IKO3Q6RSA1V,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1C3SRDH9HVEI2,"[1.625, 0.0, 0.0, 0.0, 0.0, 1.625, 0.0, 0.0, 0.0, 0.0]"
A1DFI14L1LBOPJ,"[0.0, 0.0, 0.0, 0.0, -2.5, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1JJBKKS6FCOQJ,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0625]"
A1L0QECT7J93ZP,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1MZIY3MPR5LRS,"[1.375, 1.375, 1.375, 1.375, 1.375, 1.375, 1.375, 1.375, 1.375, 1.375]"
A1T7DRMZ9A9KEA,"[0.0, 0.0, 0.0, 0.0, 0.0, -0.4970383082323801, 0.0, 0.0, 0.0, 0.0]"
A1TEIICSK5IK0V,"[0.0, 0.0, 2.375, 0.0, 2.375, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1U4MBURSADCDU,"[1.375, 1.375, 1.375, 1.375, 1.375, 1.375, 1.375, 1.375, 1.375, 1.375]"
A1VN560NNZQIR0,"[0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5]"
A1WGC9NCI09T3D,"[0.0, 0.0, 0.0, 0.0, 0.0, -2.469965322895487, 0.0, 0.0, 0.0, 0.0]"
A1WGVH160JCIC,"[0.0, 0.0, 0.0, 1.5625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1WWZ1NKXLFYNG,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.75, 0.0, 0.0, 0.0, 0.0]"
A1YVFD3TLX6E22,"[0.0, 0.0, 0.0, 0.0, 0.0, 2.4702205308072487, 0.0, 0.0, 0.0, 0.0]"
A1ZN7IP615TNQO,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
A20Y9PNINSXAE2,"[0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A22V1MD93T2FW9,"[0.0, 0.0, 0.0, 2.484740115082755, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A24HQ2N7332W7W,"[0.0, 0.0, 0.0, 0.0, 2.529287967933379, 0.0, 0.0, 0.0, 0.0, 0.0]"
A24W4W9E62FZP2,"[0.0, 2.4852315426841125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A27PPA3O7PX0OH,"[0.0, 0.0, 0.0, 0.0, 1.056084440522594, 0.0, 0.0, 0.0, 0.0, 0.0]"
A2813CU4C11BIE,"[0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A28G6HAG3I755Y,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A28MZ2SOOHMOZW,"[-2.483733687950099, 0.0, 0.0, -2.483733687950099, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A29GCQQLNLUJGG,"[0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A2ABCUIYJETG6Q,"[0.0, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A2D9MTWHD2BFUG,"[0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0]"
A2G90R2ZU6KU5D,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.5, 0.0, 0.0, 0.0]"
A2GBIFL43U1LKJ,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A2IGYO5UYS44RW,"[2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A2N0CVZO3GPQ45,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A2N4OUX2ORC859,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.875, 0.0, 0.0, 0.0]"
A2RWJPXMBFGCF0,"[2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A2TRMX7KR6IIVA,"[2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5]"
A2TU781PWGS09X,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A2UEO5XR3598GI,"[0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A2V608ILSK1M5R,"[0.0, 0.0, 0.0, 0.0, 0.0, -0.75, 0.0, 0.0, 0.0, 0.0]"
A2YDF506DAA5W4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.112295072514494]"
A2YNPGFDPBKZ3L,"[0.0, 0.0, 0.0, 0.0, -0.4295555217699565, 0.0, 0.0, 0.0, 0.0, 0.0]"
A309W2EPFGXK7P,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A31MET9QVHSWD9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 0.0]"
A31URN5S2Q0UJV,"[2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0]"
A324UOF43Y43WY,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A34Z0P70GD9Y6Y,"[-1.490643830190446, 0.0, -1.490643830190446, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A35GLRQ89X0WRD,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5]"
A36CT6022EC8KS,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.2742935820559266, 0.0, 0.0, 0.0]"
A37XI9VKWZWZKO,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.485126566899051, 0.0, 0.0, 0.0]"
A39AEA8OFO8JT,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.5957080002533586]"
A39IK7T2K2V2KA,"[0.0, 0.0, 0.0, 0.0, -2.5, 0.0, 0.0, 0.0, 0.0, 0.0]"
A3H7T87S984REU,"[2.4849031058454023, 2.4849031058454023, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A3IJDWW3VVLF3G,"[-2.4852746466769444, 0.0, 0.0, -2.4852746466769444, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A3IOV1NJ4IM2HC,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A3J034YH7UG4KT,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A3JJ3GK8Q39TDE,"[1.75, 1.75, 1.75, 1.9375, 1.75, 1.75, 1.75, 1.9375, 1.9375, 1.75]"
A3JMIBCH90HGWG,"[0.0, -1.9375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
