Key,Array
A1118RD3AJD5KH,"[0.3844532530565283, 0.3844532530565283, 0.3844532530565283, 0.3844532530565283, 0.3844532530565283, 0.3844532530565283, 0.3844532530565283, 0.3844532530565283, 0.3844532530565283, 0.3844532530565283]"
A23NSBJ5CGLWAA,"[0.0, 0.0, 0.0, 0.0, 0.0, 2.4984861458356886, 0.0, 0.0, 0.0, 0.0]"
A2CY3ZL67BZKEU,"[1.1656239693526023, 1.1656239693526023, 1.1656239693526023, 1.1656239693526023, 1.1656239693526023, 1.1656239693526023, 1.1656239693526023, 1.1656239693526023, 1.1656239693526023, 1.1656239693526023]"
A2KJR83EUJJNAX,"[2.594576051045898, 0.0, 2.594576051045898, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A37C3532V0OGK4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.9324684905315141, 0.0, 0.0]"
A3C46GBHLVSOEW,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4247958455338006, 0.0, 0.0]"
A3V6HGWB3AKM8O,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.25]"
AKFUG2XFPPWWM,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0632553607089563]"
ASPQVBZP025R8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AV19Z8ZCIQM4G,"[1.9767811543884224, 1.9767811543884224, 1.9767811543884224, 1.9767811543884224, 1.9767811543884224, 1.9767811543884224, 1.9767811543884224, 1.9767811543884224, 1.9767811543884224, 1.9767811543884224]"
