Key,Array
A10ZJZNO4DAVB,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4931537548749512, 0.34446357065129946, 0.26246046250072597, 0.27954771858859223, 0.6113702908876253, 0.5371945256454628, 0.43404157037682284, 0.2310539144633978, 0.163370285955059, 0.39554936472637536]"
A12HTKLZWLEAF5,"[0.0, 1.875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3685972922690171, 0.5655326712378728, 0.39437246255734476, 0.2064961398542895, 0.19478892868450903, 0.6077791115902196, 0.20680359697490594, 0.14581883219639863, 0.5530990768197044, 0.4473458648805128]"
A14R11HV2H7AVW,"[2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 0.3776038268080037, 0.18562297739404682, 0.5983147336758872, 0.4128897653647683, 0.2624178949882927, 0.5306437906427626, 0.3612513517765881, 0.2874091218718404, 0.284329258121344, 0.39534316617939075]"
A15IKO3Q6RSA1V,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12784776949609522, 0.6200053918026436, 0.45602334175511616, 0.06466064976498634, 0.41105693099872015, 0.6678298116035352, 0.07915421178571333, 0.4875516068936387, 0.5150748783349663, 0.2132050276399985]"
A1C3SRDH9HVEI2,"[1.625, 0.0, 0.0, 0.0, 0.0, 1.625, 0.0, 0.0, 0.0, 0.0, 0.5671291527747322, -0.012060794763498544, 0.35496799099265236, 0.1432653615327474, 0.5559968516338224, 0.5514416006613846, 0.4281585817016923, 0.026659565293996174, 0.40302834154332967, 0.04417785474068845]"
A1DFI14L1LBOPJ,"[0.0, 0.0, 0.0, 0.0, -2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08821699612494119, 0.22561903070749367, 0.13676902789717768, 0.30611757404660617, -0.004924152181401345, 0.15612093991156678, 0.3980513598995812, 0.11602325163037347, 0.18101662689573073, 0.09348163621228937]"
A1JJBKKS6FCOQJ,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0625, 0.522500194118514, 0.1520323183532162, 0.6193385932269369, 0.13383929559523394, 0.6581404241814772, 0.06906821320984675, 0.12244070258743962, 0.4449561202265761, 0.22128183652285563, 0.6137980455092297]"
A1L0QECT7J93ZP,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1897881314964479, 0.260459619519619, 0.3342852754758843, 0.36103661813108734, 0.7641958906763734, 0.360777377028406, 0.1589597842088, 0.7028468675627848, 0.36878634246822284, 0.2421334658641266]"
A1MZIY3MPR5LRS,"[1.375, 1.375, 1.375, 1.375, 1.375, 1.375, 1.375, 1.375, 1.375, 1.375, 0.1451909883915618, 0.42468583469195065, 0.5198449738666391, 0.4671012218305703, 0.36025250676343223, 0.4708287887854988, 0.3505067658894102, 0.22693062325063898, 0.3305560887232392, 0.401967084796789]"
A1T7DRMZ9A9KEA,"[0.0, 0.0, 0.0, 0.0, 0.0, -0.4970383082323801, 0.0, 0.0, 0.0, 0.0, 0.352738110275068, 0.33274653364928236, 0.11931065658970377, 0.511956487192456, 0.4741240112384018, 0.37395552807176663, 0.5880263346592696, 0.5114621065786521, 0.3409491089932301, 0.38318822640662986]"
