Key,Array
A1118RD3AJD5KH,"[0.3844532530565283, 0.3844532530565283, 0.3844532530565283, 0.3844532530565283, 0.3844532530565283, 0.3844532530565283, 0.3844532530565283, 0.3844532530565283, 0.3844532530565283, 0.3844532530565283, 0.37356152462786324, 0.23328639189457523, 0.5896930161217208, 0.3873198885583981, 0.24090046261056378, 0.5222188739594599, 0.7131210190287642, 0.45645701308900444, 0.712478064635532, 0.1910366614753573]"
A23NSBJ5CGLWAA,"[0.0, 0.0, 0.0, 0.0, 0.0, 2.4984861458356886, 0.0, 0.0, 0.0, 0.0, 0.3272822094066491, 0.2147006705673805, 0.3389171582480414, 0.4595873562966641, 0.2187907593842725, 0.775398676394693, 0.5062586419672365, 0.22108312891810725, 0.5444379278527272, 0.6695120317724866]"
A2CY3ZL67BZKEU,"[1.1656239693526023, 1.1656239693526023, 1.1656239693526023, 1.1656239693526023, 1.1656239693526023, 1.1656239693526023, 1.1656239693526023, 1.1656239693526023, 1.1656239693526023, 1.1656239693526023, 0.6739119056135472, 0.6060950910962717, 0.15703816098172482, 0.7758545327330528, 0.35997914684062093, 0.28363522277746417, 0.31382180153635997, 0.2458359188611807, 0.5664493838906879, 0.42302888996877913]"
A2KJR83EUJJNAX,"[2.594576051045898, 0.0, 2.594576051045898, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.362025583121651, 0.5998843634311857, 0.1554911005271388, 0.3732079826762861, 0.3766848184482483, 0.4047160038326971, 0.6682982224003634, 0.4114593664068592, 0.6199896416527679, 0.5005035533761384]"
A37C3532V0OGK4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.9324684905315141, 0.0, 0.0, 0.4757190323815403, 0.18957592481893423, 0.3439779435862138, 0.49484971772816877, 0.07794889874787136, 0.7231049873800539, 0.4165880079175743, 0.6851606675072905, 0.6664125537960282, 0.23010600194445543]"
A3C46GBHLVSOEW,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4247958455338006, 0.0, 0.0, 0.3876025072936427, 0.1520223318197183, 0.625697365326764, 0.39859199391684413, 0.6149428244360604, 0.6720917772503201, 0.5148969924221963, 0.411474005588573, 0.1581559436360077, 0.593800381349858]"
A3V6HGWB3AKM8O,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.25, 0.41359210543327785, 0.6799385385220308, 0.33236486772027746, 0.47475786795785513, 0.6033290297770885, 0.36895976407651787, 0.7457116553518465, 0.3438103952576182, 0.3442074400901116, 0.2680152671921818]"
AKFUG2XFPPWWM,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0632553607089563, 0.6985905050642733, 0.23750578367651212, 0.5645798769150917, 0.6242791635154524, 0.5127874013252746, 0.5592130531176344, 0.6141018050604744, 0.09033929382272544, 0.09852798615463139, 0.3811788347646752]"
ASPQVBZP025R8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6465408540464895, 0.4461461314567533, 0.578063789765459, 0.36958917191447266, 0.2787971573106611, 0.7269167851661531, 0.23469331641006957, 0.27511228902795354, 0.5135959409491786, 0.37320954712861887]"
AV19Z8ZCIQM4G,"[1.9767811543884224, 1.9767811543884224, 1.9767811543884224, 1.9767811543884224, 1.9767811543884224, 1.9767811543884224, 1.9767811543884224, 1.9767811543884224, 1.9767811543884224, 1.9767811543884224, 0.4626030988267552, 0.44043368433833585, 0.24158010383101583, 0.44686399816956845, 0.3062991181721634, 0.327696612802762, 0.5548054826444974, 0.24963178643300685, 0.4925517093044663, 0.010949577727735733]"
