reviewerID,itemID,overall,Udeep,Ideep
584,0,5.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -5.169878828456423e-26, 0.0, 0.0, 1.0339757656912846e-25, 1.2924697071141057e-26, 1.6543612251060553e-24, -2.5849394142282115e-26, 0.0, 6.462348535570529e-27, 0.0]","[0.0, 2.6469779601696886e-23, -2.0679515313825692e-25, 8.271806125530277e-25, 0.0, -6.617444900424222e-24, -6.617444900424222e-24, 8.271806125530277e-25, -5.169878828456423e-26, 0.0, 0.0, 0.0, -6.462348535570529e-27, 0.0, 1.0097419586828951e-28, 3.2311742677852644e-27, -1.6543612251060553e-24, -8.271806125530277e-25, 0.0, 0.0]"
616,0,5.0,"[0.0, -2.117582368135751e-22, 0.0, -6.617444900424222e-24, 0.0, 1.3234889800848443e-23, 6.617444900424222e-24, -3.308722450212111e-24, 1.0339757656912846e-25, 0.0, 2.5849394142282115e-26, 8.077935669463161e-28, 3.308722450212111e-24, 0.0, -8.077935669463161e-28, 0.0, 0.0, -5.169878828456423e-26, 0.0, 0.0]","[0.0, 2.6469779601696886e-23, -2.0679515313825692e-25, 8.271806125530277e-25, 0.0, -6.617444900424222e-24, -6.617444900424222e-24, 8.271806125530277e-25, -5.169878828456423e-26, 0.0, 0.0, 0.0, -6.462348535570529e-27, 0.0, 1.0097419586828951e-28, 3.2311742677852644e-27, -1.6543612251060553e-24, -8.271806125530277e-25, 0.0, 0.0]"
635,0,1.0,"[0.0, -1.6543612251060553e-24, 0.0, 0.0, -1.0339757656912846e-25, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2924697071141057e-26, 4.1359030627651384e-25, 4.0389678347315804e-28, 4.0389678347315804e-28, 0.0, -2.0679515313825692e-25, -1.0339757656912846e-25, 0.0, 0.0, -1.0339757656912846e-25]","[0.0, 2.6469779601696886e-23, -2.0679515313825692e-25, 8.271806125530277e-25, 0.0, -6.617444900424222e-24, -6.617444900424222e-24, 8.271806125530277e-25, -5.169878828456423e-26, 0.0, 0.0, 0.0, -6.462348535570529e-27, 0.0, 1.0097419586828951e-28, 3.2311742677852644e-27, -1.6543612251060553e-24, -8.271806125530277e-25, 0.0, 0.0]"
521,1,5.0,"[0.0, 4.235164736271502e-22, 0.0, 0.0, -1.0587911840678754e-22, -2.6469779601696886e-23, 0.0, 4.235164736271502e-22, -2.524354896707238e-29, 0.0, -4.0389678347315804e-28, 3.308722450212111e-24, 0.0, -8.271806125530277e-25, 0.0, 0.0, 0.0, 0.0, 3.2311742677852644e-27, -4.1359030627651384e-25]","[1.3877787807814457e-17, 1.734723475976807e-18, 8.673617379884035e-19, 0.0, 0.0, -6.938893903907228e-18, 0.0, 6.938893903907228e-18, 8.673617379884035e-19, 0.0, 0.0, 0.0, 5.293955920339377e-23, -1.0587911840678754e-22, 0.0, 0.0, 2.117582368135751e-22, -5.293955920339377e-23, 0.0, 0.0]"
51,1,5.0,"[-1.6940658945086007e-21, 0.0, 6.617444900424222e-24, -2.6469779601696886e-23, 0.0, -8.470329472543003e-22, 0.0, -2.6469779601696886e-23, -1.0587911840678754e-22, 0.0, 0.0, 1.0339757656912846e-25, 0.0, -1.2924697071141057e-26, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.3877787807814457e-17, 1.734723475976807e-18, 8.673617379884035e-19, 0.0, 0.0, -6.938893903907228e-18, 0.0, 6.938893903907228e-18, 8.673617379884035e-19, 0.0, 0.0, 0.0, 5.293955920339377e-23, -1.0587911840678754e-22, 0.0, 0.0, 2.117582368135751e-22, -5.293955920339377e-23, 0.0, 0.0]"
46,1,5.0,"[0.0, 8.470329472543003e-22, 0.0, 0.0, 2.6469779601696886e-23, 8.470329472543003e-22, 1.6940658945086007e-21, 1.0587911840678754e-22, -8.470329472543003e-22, 0.0, 1.0097419586828951e-28, -4.1359030627651384e-25, 1.6543612251060553e-24, 0.0, 8.077935669463161e-28, 8.271806125530277e-25, -6.462348535570529e-27, 0.0, 0.0, -8.271806125530277e-25]","[1.3877787807814457e-17, 1.734723475976807e-18, 8.673617379884035e-19, 0.0, 0.0, -6.938893903907228e-18, 0.0, 6.938893903907228e-18, 8.673617379884035e-19, 0.0, 0.0, 0.0, 5.293955920339377e-23, -1.0587911840678754e-22, 0.0, 0.0, 2.117582368135751e-22, -5.293955920339377e-23, 0.0, 0.0]"
777,1,5.0,"[3.3881317890172014e-21, 0.0, 5.293955920339377e-23, 0.0, -8.470329472543003e-22, 2.6469779601696886e-23, 0.0, 8.470329472543003e-22, 0.0, 0.0, -8.271806125530277e-25, 3.308722450212111e-24, 6.462348535570529e-27, 1.3234889800848443e-23, 0.0, -2.0679515313825692e-25, 0.0, 0.0, 0.0, 0.0]","[1.3877787807814457e-17, 1.734723475976807e-18, 8.673617379884035e-19, 0.0, 0.0, -6.938893903907228e-18, 0.0, 6.938893903907228e-18, 8.673617379884035e-19, 0.0, 0.0, 0.0, 5.293955920339377e-23, -1.0587911840678754e-22, 0.0, 0.0, 2.117582368135751e-22, -5.293955920339377e-23, 0.0, 0.0]"
563,1,5.0,"[0.0, 6.617444900424222e-24, 0.0, 0.0, 3.308722450212111e-24, 0.0, 3.308722450212111e-24, 0.0, 0.0, 0.0, 0.0, 0.0, -2.0679515313825692e-25, -1.0339757656912846e-25, -1.0339757656912846e-25, 0.0, 0.0, -8.271806125530277e-25, 0.0, -2.0194839173657902e-28]","[1.3877787807814457e-17, 1.734723475976807e-18, 8.673617379884035e-19, 0.0, 0.0, -6.938893903907228e-18, 0.0, 6.938893903907228e-18, 8.673617379884035e-19, 0.0, 0.0, 0.0, 5.293955920339377e-23, -1.0587911840678754e-22, 0.0, 0.0, 2.117582368135751e-22, -5.293955920339377e-23, 0.0, 0.0]"
910,1,5.0,"[-5.293955920339377e-23, 0.0, 0.0, -5.293955920339377e-23, 0.0, -4.235164736271502e-22, 0.0, -1.6543612251060553e-24, 0.0, 0.0, 4.1359030627651384e-25, 4.1359030627651384e-25, 0.0, -5.169878828456423e-26, 0.0, 0.0, 0.0, 4.1359030627651384e-25, 0.0, 4.1359030627651384e-25]","[1.3877787807814457e-17, 1.734723475976807e-18, 8.673617379884035e-19, 0.0, 0.0, -6.938893903907228e-18, 0.0, 6.938893903907228e-18, 8.673617379884035e-19, 0.0, 0.0, 0.0, 5.293955920339377e-23, -1.0587911840678754e-22, 0.0, 0.0, 2.117582368135751e-22, -5.293955920339377e-23, 0.0, 0.0]"
633,1,5.0,"[-1.0339757656912846e-25, -1.3234889800848443e-23, 1.3234889800848443e-23, 0.0, 0.0, 1.6543612251060553e-24, 0.0, -1.6543612251060553e-24, 0.0, 0.0, 0.0, 0.0, -1.0339757656912846e-25, -2.0679515313825692e-25, 0.0, 5.169878828456423e-26, 0.0, -8.271806125530277e-25, 1.2924697071141057e-26, 0.0]","[1.3877787807814457e-17, 1.734723475976807e-18, 8.673617379884035e-19, 0.0, 0.0, -6.938893903907228e-18, 0.0, 6.938893903907228e-18, 8.673617379884035e-19, 0.0, 0.0, 0.0, 5.293955920339377e-23, -1.0587911840678754e-22, 0.0, 0.0, 2.117582368135751e-22, -5.293955920339377e-23, 0.0, 0.0]"
