reviewerID,asin,predictRating,T_v,overall,overall_new,reviewText,filteredReviewText
AX0ZEGHH0H525,B00006L9LC,-1,1,5,1,Suffered from itchiness under my hair for couple of years. This product cured the itchiness completely. I took some 4-5 drops of it and then massaged my wet head for a minute approximately. After 2 uses noticed a considerable difference. It definitely gets the job done!,Suffered from itchiness under my hair for couple of years . It definitely gets the job done !
AV19Z8ZCIQM4G,B00006L9LC,-1,1,4,1,Good but kind of drying,Good but kind of drying
A1YVFD3TLX6E22,B00006L9LC,-1,1,4,1,"I've used a chemical shampoo for too long and my hair started breaking off! So with a lot of research I bought this! It has made my hair (which is thin with oily roots and dry ends) way stronger and shinny without being oily! It's really fantastic. I took a star away for 2 reasons, one is because the price is a bit outrages, and two is because if I use it every day my hair starts to get buildup so I have to find a clean shampoo that washes away the build up to use twice a week..","and my hair started breaking off ! and dry ends ) way stronger It 's really fantastic . because the price is a bit outrages , so I have to find a clean shampoo that washes away the build up to use twice a week .."
A39AEA8OFO8JT,B00006L9LC,-1,1,5,1,"I was using this shampoo from six years and found helpful restoring hair and reducing dryness of psoriasis.
But it was discontinued from three years .Why I don't know .Then I used other psoriasis  shampoos ,which didn't help .scalp still dry and hair falling down. I bought on line but came in small bottle and was costly, and was looks like doublicate not the real.","and found helpful restoring hair But it was discontinued from three years .Why I used other psoriasis   shampoos , which did n't help .scalp still dry and hair falling down . and was costly , and was looks like doublicate not the real ."
AJ61AXPLR0WYY,B00006L9LC,-1,1,5,1,"It's Bare Escentuals, 'nuff said!",
A10ZJZNO4DAVB,B00006L9LC,-1,1,5,1,What the hubby wanted,
A2N4OUX2ORC859,B00006L9LC,-1,1,5,1,Wife uses this cream always. Hard to get.,Hard to get .
AM6VM4AHB7CG4,B00006L9LC,-1,1,5,1,I can't live without this shampoo!,
A1S7I4K5PNOUDD,B00006L9LC,-1,1,5,1,Google the uses and you will be a buyer.,
A2PUZMHH482FU7,B00006L9LC,-1,1,5,1,Love this stuff - i'm on my second order. Started to get thinning hair. now there's whisps where there wasn't any and hair feels thicker all over.,Love this stuff - and hair feels thicker all over .
A80A8PCDT0NFB,B00006L9LC,-1,1,5,1,"Used for years, it has DHT blocker",
A327QPYID8TDAA,B00006L9LC,-1,1,5,1,This keeps my silver hair looking silvery (rather than yellow).  I reorder this on a regular basis.,
A17B1H60A6A96P,B00006L9LC,-1,1,5,1,All of the different colognes and the price.,
A1DAE86MWE6OMW,B00006L9LC,-1,1,5,1,as advertised,
