reviewerID,itemID,overall,fine_feature,coarse_feature
A3CIUOJXQ5VDQ2,B0000530HU,5.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.4875015692928428
A3H7T87S984REU,B0000530HU,5.0,[0.625 1.75  0.75  0.5   1.375 0.875 1.5   2.875 0.125 0.   ],0.5093729176163972
A3J034YH7UG4KT,B0000530HU,1.0,[0.625 0.875 0.25  0.    0.875 0.875 0.875 0.625 0.125 0.   ],0.5
A325V83PQAIH80,B00006L9LC,5.0,[1.625 2.375 1.25  0.75  1.5   2.375 1.625 2.5   0.125 0.   ],0.5
A193RG4GIJ5OLM,B00006L9LC,5.0,[3.625 3.625 2.875 1.875 3.625 2.875 2.875 2.875 1.875 0.   ],0.4875061945557813
A18EJ6MMSR1GGA,B00006L9LC,5.0,[5.    5.    4.    0.875 5.    5.    5.    5.    3.25  0.   ],0.5
AB4T4E0AGMKRA,B00006L9LC,5.0,[5.  5.  5.  5.  5.  5.  5.  5.  4.5 0. ],0.5031239066745217
A39JMSWQA06ZN6,B00006L9LC,5.0,[0.75 0.75 0.75 0.   0.75 0.75 0.75 0.75 0.   0.  ],0.55293007890683
ATCQ2K4QG03T4,B00006L9LC,5.0,[3.75  3.75  1.    1.125 2.75  3.75  3.75  3.75  0.625 0.   ],0.49687582303283706
A3IYF2TNOC0XYO,B00006L9LC,5.0,[-0.25  -0.25  -1.375  0.    -0.25  -0.25  -0.25  -0.25   0.     0.   ],0.5156182340005082
A1ZH9XEBQIPLWT,B00006L9LC,5.0,[1.375 2.75  2.75  1.375 2.75  1.375 2.75  2.75  1.375 0.   ],0.5062498085719854
A1BR2MY80R6CX4,B00006L9LC,5.0,[1.375 5.    3.25  3.    5.    4.625 4.375 4.375 1.375 0.   ],0.5031269782834327
A2SU85PYAB6M67,B00006L9LC,5.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.50312452492427
A3DLYCA3TUHOZM,B00006L9LC,5.0,[2.75  2.625 2.125 1.125 2.375 2.25  2.625 2.75  1.625 0.   ],0.49999935984473104
ARZQ7AEFUXNPN,B00006L9LC,5.0,[4.125 5.    3.25  1.625 2.125 3.75  4.5   4.5   1.875 0.   ],0.47813806027816375
