reviewerID,itemID,overall,fine_feature,coarse_feature
A22V1MD93T2FW9,B00006L9LC,5.0,[5. 5. 5. 5. 5. 5. 5. 5. 5. 5.],0.49687486787747287
AIWVB6601DJOO,B00006L9LC,4.0,[1.375 0.    1.75  0.875 0.875 1.375 1.75  1.75  1.75  1.75 ],0.496875016886383
A1D3RMFWUWRASV,B00006L9LC,5.0,[ 0.    -0.375  1.625  0.     0.     0.     0.    -0.375  1.375  1.625],0.49687482309767483
A2O23K583MS6RI,B00006L9LC,1.0,[-0.25   0.25  -0.875 -0.25  -1.    -1.    -1.    -0.875 -1.625 -0.875],0.5
AGXW8BFME8048,B00006L9LC,5.0,[2.5   1.5   4.    1.875 2.375 2.5   1.875 4.    3.    3.75 ],0.4968751462032643
A35TPYOPNIDM7,B00006L9LC,5.0,[4. 4. 5. 5. 5. 5. 5. 5. 5. 5.],0.5
A2XFY9IT8UVY9E,B00006L9LC,5.0,[0.375 0.    2.125 3.125 5.    5.    4.125 1.375 3.125 2.125],0.4968750284529737
A1VOA3CU9XRDDS,B00006L9LC,5.0,[0.   0.   2.5  1.75 2.   0.25 0.25 2.5  5.   5.  ],0.49687504003905303
AWXM25EMPKYKW,B00006L9LC,5.0,[5.    4.125 5.    4.75  5.    5.    4.375 5.    5.    5.   ],0.49687506480579746
A2813CU4C11BIE,B00006L9LC,5.0,[2.125 2.    5.    2.875 3.    2.875 2.25  5.    5.    5.   ],0.5
A153D6FAV4L389,B00006L9LC,5.0,[5. 4. 5. 5. 5. 5. 5. 5. 5. 5.],0.496874951881487
AAP5XCA30G532,B00006L9LC,5.0,[5.   4.75 5.   5.   5.   5.   5.   5.   5.   5.  ],0.5
A1UMO57A3IQGT7,B00006L9LC,5.0,[0.625 0.    0.25  0.    0.25  0.    0.25  0.25  0.    0.   ],0.49687481662204247
A1E9D6RGEDFT2O,B00006L9LC,1.0,[0.25  0.    1.875 0.    0.375 1.    0.5   1.875 1.5   4.375],0.493750049379398
AH89QE41D1PRP,B00006L9LC,5.0,[0.   0.   3.5  2.75 3.5  2.75 2.75 4.25 3.5  3.5 ],0.5
A1BRNOD64VZ1GP,B00006L9LC,5.0,[4.25  0.    5.    3.75  5.    3.75  4.375 5.    5.    5.   ],0.4968749574138379
A2CA0MJP6O4ZZL,B00006L9LC,5.0,[0.    0.    1.25  1.25  0.625 0.625 1.25  1.25  1.25  1.25 ],0.4968749699489697
A2CY3ZL67BZKEU,B00006L9LC,5.0,[0.    0.    0.625 0.625 0.    0.875 0.625 0.625 2.375 2.375],0.503124989480989
A11L1TI883AOSV,B00006L9LC,5.0,[1.25  1.625 4.875 3.75  3.5   2.    3.25  5.    4.875 4.125],0.4968749369065088
A3RQS9GT66TEB8,B00006L9LC,5.0,[-1.    -0.5   -0.875 -0.25  -1.    -0.25  -0.25  -2.25  -3.    -0.875],0.4906262232904089
A3INQL95YAY6OW,B00006L9LC,5.0,[0.5 0.  1.  0.5 3.  0.5 0.  1.  1.  1. ],0.5031248193572115
ASWLL1VJA7WOG,B00006L9LC,5.0,[0.    0.    0.375 0.375 0.375 0.75  0.375 0.75  0.75  0.75 ],0.5
A222BBVJ75BTFE,B00006L9LC,1.0,[2.    0.    4.    4.25  4.25  3.75  3.875 4.25  4.5   4.25 ],0.4984374870705047
A1CEDYAX0NG4BU,B00006L9LC,3.0,[ 0.     0.    -0.875 -0.375  0.    -1.375 -0.375 -0.875 -0.875 -1.375],0.49687502418781493
A1ZIN388IVCX6Z,B00006L9LC,5.0,[2. 2. 2. 2. 2. 2. 2. 2. 2. 2.],0.4968750116713871
AHR6RFGXARWNX,B00006L9LC,5.0,[ 0.     0.    -0.25  -0.25  -0.875  0.     0.    -0.25  -0.25  -0.25 ],0.5312090931557292
A2I3TOK508FLX0,B00006L9LC,5.0,[0.625 0.    1.25  1.25  1.25  0.625 0.625 1.25  0.625 1.25 ],0.4968750159002314
A2N52EPR60UCHN,B00006L9LC,5.0,[3.25 3.25 5.   4.5  4.5  3.25 4.5  5.   5.   5.  ],0.4968750510645546
A3RTXSWBBPBU15,B00006L9LC,5.0,[1.875 0.625 2.875 1.75  3.75  1.125 1.5   2.625 2.25  3.   ],0.5
A3KHIT48AYHC0L,B00006L9LC,4.0,[0.625 0.    1.125 0.625 1.25  1.25  1.25  1.125 2.75  1.625],0.5
A1C8LL1BBQ7GTO,B00006L9LC,5.0,[0.    0.625 1.25  0.    1.875 1.875 0.625 1.25  0.625 1.25 ],0.4968749875690835
A1D82V07WELVCE,B00006L9LC,5.0,[0.  3.  0.  4.5 0.  0.  1.5 1.5 3.  1.5],0.4968750680932742
A125PSVY71Q7KZ,B00006L9LC,5.0,[1.375 0.    4.125 4.625 2.75  3.125 1.375 5.    3.125 3.875],0.49687495976141144
A2RWJPXMBFGCF0,B00006L9LC,5.0,[2.    0.125 4.375 0.125 0.125 2.75  2.    3.25  4.375 4.875],0.5
