Key,Array
B00006L9LC,"[-3.469446951953614e-18, 0.0, 0.0, 4.336808689942018e-19, -3.469446951953614e-18, 1.734723475976807e-18, 6.938893903907228e-18, 0.0, 1.3877787807814457e-17, 0.0, 0.0, 0.0, -1.6940658945086007e-21, 1.6940658945086007e-21, 0.0, -3.3881317890172014e-21, 1.3552527156068805e-20, -2.117582368135751e-22, -6.776263578034403e-21, -3.3881317890172014e-21]"
B0006O10P4,"[0.0, 0.0, -1.6940658945086007e-21, 3.308722450212111e-24, 0.0, 0.0, 1.6543612251060553e-24, 0.0, -2.117582368135751e-22, -3.3881317890172014e-21, 0.0, 4.1359030627651384e-25, -1.0587911840678754e-22, -4.235164736271502e-22, 0.0, 0.0, -1.6940658945086007e-21, -8.470329472543003e-22, -8.470329472543003e-22, -1.0339757656912846e-25]"
B0009RF9DW,"[4.336808689942018e-19, 1.734723475976807e-18, -3.469446951953614e-18, 0.0, 1.3877787807814457e-17, 0.0, 0.0, 0.0, 2.168404344971009e-19, -4.336808689942018e-19, 0.0, 5.421010862427522e-20, -4.235164736271502e-22, 0.0, 0.0, 0.0, -4.235164736271502e-22, 0.0, 4.235164736271502e-22, -1.6940658945086007e-21]"
B000FI4S1E,"[-3.469446951953614e-18, 0.0, 0.0, -6.938893903907228e-18, -6.938893903907228e-18, 0.0, -1.3877787807814457e-17, 1.3877787807814457e-17, 5.551115123125783e-17, -2.710505431213761e-20, 1.6940658945086007e-21, 0.0, 0.0, 0.0, 6.776263578034403e-21, 0.0, -3.3881317890172014e-21, 6.776263578034403e-21, -6.776263578034403e-21, 8.470329472543003e-22]"
B000GLRREU,"[0.0, 0.0, 0.0, 2.168404344971009e-19, 2.168404344971009e-19, -5.421010862427522e-20, 0.0, 0.0, 6.776263578034403e-21, -2.710505431213761e-20, 0.0, 0.0, 5.293955920339377e-23, 0.0, 0.0, -2.117582368135751e-22, 0.0, 1.0587911840678754e-22, 0.0, 0.0]"
B000NKJIXM,"[2.710505431213761e-20, 0.0, 0.0, 0.0, -4.235164736271502e-22, -5.421010862427522e-20, 2.117582368135751e-22, 1.0842021724855044e-19, 0.0, 0.0, -4.235164736271502e-22, 1.6940658945086007e-21, 5.293955920339377e-23, 0.0, 0.0, -1.3234889800848443e-23, 0.0, -1.0587911840678754e-22, 0.0, 0.0]"
B000URXP6E,"[0.0, 6.938893903907228e-18, 2.220446049250313e-16, -2.168404344971009e-19, -3.469446951953614e-18, 2.7755575615628914e-17, -1.1102230246251565e-16, -1.1102230246251565e-16, 0.0, 0.0, -5.293955920339377e-23, 0.0, -6.776263578034403e-21, 0.0, -5.293955920339377e-23, 0.0, 0.0, 0.0, 0.0, 2.117582368135751e-22]"
B0010ZBORW,"[0.0, 1.0587911840678754e-22, 0.0, 1.0587911840678754e-22, -3.3881317890172014e-21, -1.6940658945086007e-21, 0.0, -2.6469779601696886e-23, -3.3881317890172014e-21, -1.0587911840678754e-22, 4.235164736271502e-22, 1.3234889800848443e-23, 2.117582368135751e-22, 0.0, 3.3881317890172014e-21, -4.235164736271502e-22, 0.0, -1.3234889800848443e-23, -8.470329472543003e-22, 0.0]"
B0011FYB5I,"[0.0, 1.3552527156068805e-20, 1.0587911840678754e-22, 1.0587911840678754e-22, 0.0, 0.0, 1.6940658945086007e-21, 0.0, 0.0, -6.776263578034403e-21, 0.0, 2.117582368135751e-22, -6.617444900424222e-24, 1.3234889800848443e-23, 1.6543612251060553e-24, 0.0, 0.0, 1.6940658945086007e-21, 4.235164736271502e-22, 6.776263578034403e-21]"
B00126LYJM,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0587911840678754e-22, 0.0, 6.617444900424222e-24, -8.470329472543003e-22, 8.470329472543003e-22, 1.3234889800848443e-23, 5.293955920339377e-23, 8.470329472543003e-22, 1.0587911840678754e-22, 0.0, 1.3234889800848443e-23, 5.293955920339377e-23, 0.0, 3.3881317890172014e-21]"
