Key,Array
B0000530HU,"[0.6308580735102483, 1.3289026058286952, 0.507029688212298, 0.2546864588081986, 1.1378877617225462, 0.8832013029143476, 1.201559376424596, 1.776947138147142, 0.12617161470204966, 0.0]"
B00006L9LC,"[284.0988363678077, 303.64623032148575, 253.7229805997225, 205.9940872953787, 306.93293482821844, 290.589325071184, 314.69269606480617, 294.31704891942286, 211.73961420151693, 0.0]"
B00021DJ32,"[1.4762554530073126, 2.2464756893589537, 2.5674007878388045, 1.9897356105750734, 1.4762554530073126, 1.091145334831492, 2.0539206302710435, 2.5674007878388045, 1.732995531791193, 0.0]"
B0006O10P4,"[3.378016951947542, 6.843609601139998, 3.995988561714678, 2.635871347520517, 6.71860970881178, 6.9686094934682155, 6.843609601139998, 6.090488605089792, 2.7889751643990657, 0.0]"
B0009RF9DW,"[318.54397156088487, 338.43404272939745, 308.7689181952811, 250.78440658981665, 341.6588491037402, 334.11151970712797, 351.4409145049512, 340.5174119203017, 249.71625731753602, 0.0]"
B000FI4S1E,"[338.25042298355186, 361.42130256623403, 333.5711949606627, 271.7264724203448, 370.076893868523, 354.3129359111649, 373.6753851262395, 357.7954358699815, 270.48946162634917, 0.0]"
B000FOI48G,"[16.307292966219386, 17.432500799538158, 11.8201485216829, 6.28577049624246, 16.207783626653647, 12.869509644490968, 17.69796600145217, 20.668097090699366, 8.176009407367852, 0.0]"
B000FTYALG,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
B000GLRREU,"[14.305809015514942, 15.681016759150552, 9.351345575667095, 2.5769788378662692, 14.518799563845247, 11.305525738556758, 16.07148191622298, 18.91661305031176, 4.537278134314862, 0.0]"
B000LIBUBY,"[7.8119368945444325, 7.8119368945444325, 7.687718093688138, 4.698889285573427, 7.252952290691111, 7.8119368945444325, 7.128733489834818, 7.128733489834818, 6.12718082455074, 0.0]"
B000NKJIXM,"[13.00112197809106, 14.68595176390177, 12.165490759303413, 13.052832629156466, 12.726488573297935, 9.747103704634004, 10.805516330362966, 11.854898847140245, 13.955985607772977, 0.0]"
B000PKKAGO,"[-2.118602757599751, -1.3251368749188386, -1.5049253572365806, -2.6236700422408115, -1.2577818604896573, -0.7025761908678847, -0.4573590388279818, -2.304736442551624, -4.186613188339011, 0.0]"
B000URXP6E,"[679.6672625278729, 713.9110844202194, 617.5542935752933, 501.3381129723441, 705.7659707249005, 687.1538361688196, 723.8394160546829, 705.4440625182831, 505.69456322805377, 0.0]"
B000V5Z4J6,"[1.8341069308189957, 2.6991585330359777, 0.08815132405438941, 1.994047093490516, 2.7809499023763355, 2.016950610911869, 2.898314498675338, 2.636398163499855, 2.851264101337659, 0.0]"
B000VUXCGI,"[0.2600863881018647, 0.3339089725390446, 2.062479450716425, 0.6996072095814789, 1.3089280882835053, 0.4440737350042374, 0.4534438366065294, 0.9315832928764675, -1.0945539798119448, 0.0]"
B000VV1YOY,"[10.626841226740275, 10.488611287388292, 10.432566978791519, 8.345124244319996, 10.985486736199455, 10.737049011793875, 10.875278951145859, 10.626841226740275, 7.301402877084236, 0.0]"
B000W0C07Y,"[5.374270728967632, 5.374270728967632, 4.568130119622487, 2.1497082915870527, 5.374270728967632, 5.374270728967632, 5.374270728967632, 5.374270728967632, 2.4184218280354344, 0.0]"
B000WR2HB6,"[1.1460883139506721, 4.839039547791726, 5.093725839780765, 1.4007746059397104, 2.674206065884902, 3.692951233841055, 2.674206065884902, 2.2921766279013442, 4.329666963813651, 0.0]"
B000X7ST9Y,"[5.0312613111795335, 5.0312613111795335, 5.0312613111795335, 5.0312613111795335, 5.0312613111795335, 5.0312613111795335, 5.0312613111795335, 5.0312613111795335, 4.653916712841069, 0.0]"
B000YB70PS,"[0.7560191170434175, 0.6872901064031068, 0.41237406384186415, 0.13745802128062137, 0.4811030744821748, 0.41237406384186415, 0.8247481276837283, 0.41237406384186415, 0.20618703192093207, 0.0]"
B0010ZBORW,"[62.18064755989746, 64.25149067697512, 57.32295468963527, 35.06746191671064, 60.608180277544434, 62.655973427219564, 64.11258401101429, 59.4327760615902, 51.38954605062278, 0.0]"
B00120VWTK,"[2.5078076197124606, 2.5078076197124606, 2.5078076197124606, 2.5078076197124606, 2.5078076197124606, 2.5078076197124606, 2.5078076197124606, 2.5078076197124606, 2.5078076197124606, 0.0]"
B00126LYJM,"[0.31445309497124074, 0.6289061899424815, 0.6289061899424815, 0.31445309497124074, 0.31445309497124074, 0.6289061899424815, 0.6289061899424815, 0.31445309497124074, 0.31445309497124074, 0.0]"
B0012XPRO8,"[7.442730456164945, 7.442730456164945, 6.695854479456058, 1.6778680165026039, 7.442730456164945, 7.442730456164945, 7.442730456164945, 7.442730456164945, 4.400795677880835, 0.0]"
B0012Y0ZG2,"[1388.0343362620665, 1476.6807074928547, 1281.3482635042342, 1038.733010081847, 1480.0236318443438, 1418.7367139885732, 1511.5497453020005, 1452.1513609647347, 1047.6663855553986, 0.0]"
B0013NB7DW,"[11.152317905370806, 12.741190760409433, 10.906357935879498, 9.33924502106289, 12.758758763137648, 12.293165677513482, 14.331442579480694, 10.71010735037532, 9.353494173466622, 0.0]"
B0014SQQ3M,"[0.5062497145291228, 0.5062497145291228, 0.2531248572645614, 0.2531248572645614, 0.2531248572645614, 0.5062497145291228, 0.5062497145291228, 0.5062497145291228, 0.2531248572645614, 0.0]"
B00157OBRU,"[1.4004806944372354, 1.4004806944372354, 1.4004806944372354, 1.4004806944372354, 1.4004806944372354, 1.4004806944372354, 1.4004806944372354, 1.4004806944372354, 0.7002403472186177, 0.0]"
B0017TZD7S,"[-6.9722067636049125, -9.442269038446021, -9.444613104043428, -10.55425285265735, -9.81284349260545, -10.183678398497921, -6.271469982859703, -9.313633151704982, -10.55530613917541, 0.0]"
B001E5PLCM,"[5.114302449441132, 5.114302449441132, 5.049461331321517, 4.012003441407673, 5.114302449441132, 5.114302449441132, 5.114302449441132, 5.114302449441132, 3.7340012216941747, 0.0]"
B001E96LUO,"[6.819516583311924, 6.7585788477175015, 4.364827635951951, 4.0867073546400166, 7.246080732472885, 6.697641112123079, 6.453890169745387, 6.392952434150964, 3.271864513314933, 0.0]"
B001ET7FZE,"[12.366502828925396, 9.855855141123675, 11.42861512770645, 4.764596885463421, 9.591260826280225, 8.550652696724395, 9.636513760104355, 9.902874455973038, 11.597285732435843, 0.0]"
B001F51RAG,"[4.7436934932915635, 6.626453540225215, 6.400925485749715, 5.296491077383649, 6.38009800592964, 5.6994961646438025, 6.4970275291314055, 5.378118276883714, 5.16706506628984, 0.0]"
B001LNODUS,"[32.85232486058039, 36.12206096101345, 28.177435635910214, 19.164619899204933, 34.63138807091607, 32.664157172480806, 35.63491874059054, 34.61652521808736, 21.913067241077854, 0.0]"
B001OHV1H4,"[323.15456042202953, 340.1807970974369, 288.6839159688904, 225.08950317388462, 339.63213795244474, 330.27388532150076, 349.0134550523007, 331.4084238495163, 232.925669534554, 0.0]"
B001QY8QXM,"[0.8113288696639045, 0.7476571106569972, 0.5613286900436726, 0.18867184881702326, 0.9363289594740205, 0.9363289594740205, 0.9363289594740205, 0.6226570208468812, 0.18867184881702326, 0.0]"
B002GP80EU,"[11.743132978426729, 12.482718698531023, 5.398845744873885, 3.0851512878400404, 9.909917120340962, 12.248332411973577, 11.757449744040333, 11.069818868508428, 4.196221553445943, 0.0]"
B002RZZXYE,"[2.5507617613449445, 2.5507617613449445, 2.5507617613449445, 2.5507617613449445, 2.5507617613449445, 2.5507617613449445, 2.5507617613449445, 2.5507617613449445, 2.5507617613449445, 0.0]"
B004CALFE4,"[10.447656222203225, 10.317591671218352, 9.53992612013301, 8.20437333919243, 9.999234680815903, 10.321674303454191, 10.317591671218352, 10.317591671218352, 8.467038494648314, 0.0]"
B004KEJ65C,"[1.3390214804983775, 1.336294540550115, 0.39256338807391916, 0.6367020004681514, 1.0905884402976758, 1.0206765329291312, 0.7718475622899363, 1.279253811271321, 0.1960826691668706, 0.0]"
B006IB5T4W,"[5.4938102420747486, 4.7423775772736825, 2.110257149401078, -1.4074007371974537, 3.3427814370145366, 4.1169853058801555, 4.492506650619438, 5.117638938464632, 0.820439419805919, 0.0]"
B006WYJM8Y,"[4.007514850586722, 4.777735086938364, 5.098660185418215, 4.520995008154483, 4.007514850586722, 3.6224047324109017, 4.585180027850454, 5.098660185418215, 4.264254929370603, 0.0]"
B007R6UXNY,"[3.4418053941341995, 4.001574197581045, 1.6304709928203724, 0.9339891316821044, 3.385161532083817, 3.500010945090626, 4.751576542957607, 4.25469835718532, 1.003126504980838, 0.0]"
B007V6JNE0,"[18.292217878367914, 18.107061364991406, 17.921904851614897, 14.959400637590726, 18.292217878367914, 18.107061364991406, 19.40315695862698, 18.847687418497447, 17.551591824861873, 0.0]"
B008YQM4A6,"[7.8397175403747035, 8.839404615583762, 7.432264660012573, 7.892320126797621, 8.970238819636469, 8.206591121325953, 9.16649012571553, 9.297324329768237, 7.4415806989258755, 0.0]"
B0091OCA86,"[0.743223740355015, -0.945921124088201, -0.27026317831091456, -0.6756579457772864, 0.4053947674663718, -0.945921124088201, -0.27026317831091456, 0.06756579457772864, 0.4053947674663718, 0.0]"
B00AKP21KM,"[5.166562239767778, 5.166562239767778, 5.166562239767778, 5.166562239767778, 5.166562239767778, 5.166562239767778, 5.166562239767778, 5.166562239767778, 5.166562239767778, 0.0]"
B00B7V273E,"[-0.24687581881491014, 1.1109411846670956, 0.4937516376298203, -0.061718954703727534, 0.4937516376298203, -0.802346411148458, 0.4937516376298203, 0.925784320555913, 0.12343790940745507, 0.0]"
B00B9V9ASM,"[5.44913860938858, 5.44913860938858, 5.44913860938858, 4.254217210419164, 5.44913860938858, 5.44913860938858, 5.44913860938858, 5.44913860938858, 4.936255884018529, 0.0]"
B00BSE3III,"[0.534152986222071, 2.29109946716674, 1.2775427937562043, 1.6496281270708746, 2.29109946716674, 1.9844584118383364, 2.5977405224951435, 1.1871950702665999, 1.0172940445169973, 0.0]"
B00CQ0LN80,"[2.1990147852717485, 2.668424540046303, 2.3208891118812236, 1.0787813878219308, 2.546550213436828, 2.668424540046303, 2.3208891118812236, 2.546550213436828, 1.7553147974820285, 0.0]"
B00CZH3K1C,"[-0.02383530496569497, -0.02383530496569497, -0.02383530496569497, 2.8920491467112215, -0.02383530496569497, -0.02383530496569497, -0.02383530496569497, -0.02383530496569497, 1.053774166306209, 0.0]"
B00DY59MB6,"[12.013438310720417, 12.18986352664533, 8.183144228241943, 3.0400005295052015, 11.961121320735659, 13.40039865607048, 13.400006546478972, 11.504950316440828, 6.142897353396528, 0.0]"
B00EF1QRMU,"[5.641900605060071, 5.8932674956401785, 5.393073548731545, 3.829137146919913, 6.1475649642028785, 6.839361185928315, 5.9573302924446185, 5.2622127490055775, 4.013977235557255, 0.0]"
B00EYZY6LQ,"[12.186499475002131, 11.621009655223874, 12.23762889283659, 6.972482333210826, 10.558359361823333, 13.740040124108392, 11.68864991086035, 10.172947577980253, 8.241754121787256, 0.0]"
B00HLXEXDO,"[3.966386976422676, 3.225764342357159, 3.225764342357159, 2.423423155452849, 3.966386976422676, 4.707009610488193, 4.583572504810606, 3.966386976422676, 2.4851417082916423, 0.0]"
B00IJHY54S,"[13.743091279436253, 13.868872577585691, 12.08724053434196, 10.345880312880317, 13.43840008931587, 13.867310654069353, 14.49426477369722, 13.805200966752803, 11.398176594293131, 0.0]"
B00JF2GVWK,"[10.250974496182122, 10.115445841661263, 6.458502322135862, 5.149086607633363, 9.071022311709386, 9.863893814780042, 9.56402879402616, 10.316986625371715, 2.604138783445824, 0.0]"
B00L1I1VMG,"[7.21464657978758, 5.569880431989864, 8.628156452494313, 5.968809589905511, 7.916589176624473, 7.187526177231289, 8.814094146013622, 6.675566827931874, 2.7997741385518427, 0.0]"
B00MTR49IG,"[4.964453143653236, 4.964453143653236, 4.462109152679938, 2.7941408495894127, 4.964453143653236, 4.901953143653236, 4.964453143653236, 4.964453143653236, 3.3507822496867625, 0.0]"
B00N2WQ2IW,"[10.932175828590093, 9.571031917128742, 10.156462667982243, 2.937205487849, 8.891901295634286, 8.555643173525219, 10.90620570895597, 11.049104583011635, 7.720209071696544, 0.0]"
B00NT0AR7E,"[2.55073193915815, 2.55073193915815, 2.55073193915815, 0.44637808935267625, 2.55073193915815, 2.55073193915815, 2.55073193915815, 2.55073193915815, -0.3826097908737225, 0.0]"
B00QXW95Q4,"[11.199682695593221, 10.833274116461666, 9.64772309778298, 9.099669974784321, 11.199682695593221, 10.840301760440298, 10.403972656101532, 11.400849607665243, 8.607435432304992, 0.0]"
B00RZYW4RG,"[10.593585050090887, 10.173435996503596, 8.340429482260934, 6.12542013231988, 9.842411426531292, 9.7643048380148, 9.65237226301562, 10.15139795456492, 5.031667428819933, 0.0]"
B00UWB35UY,"[1.1203012129193426, 1.4390510789509712, 3.954675217316651, 3.0046761114247023, 2.759753751592953, 1.6863166440516206, 2.696863148133811, 1.4390510789509712, 3.1328005236118868, 0.0]"
B00VARTPKS,"[1.6975445109146001, 1.5678602610489478, 0.1529827751878925, 1.2436496363848168, 1.1256146491802848, 2.3459657602428616, 1.5678602610489478, 2.55214139770246, 0.46554413719090315, 0.0]"
B00VG1AV5Q,"[5.151799581283407, 5.470936078816008, 4.890869456674866, 3.016693933781128, 5.601401141120277, 5.0248470520330555, 5.862331265728818, 5.7318662034245484, 3.5233313862308333, 0.0]"
B00W259T7G,"[163.22902186027625, 180.0013452915556, 164.3099838280888, 127.80578405827349, 181.9119863255114, 172.1730589513092, 178.2313613156834, 178.100011546903, 119.72734607440296, 0.0]"
B016V8YWBC,"[8.867985916887337, 9.748452361298641, 9.371109599408083, 4.991399448332502, 9.808997983151025, 9.496890520038269, 9.434000059723175, 9.245328678777897, 7.789845556712676, 0.0]"
B019809F9Y,"[6.929169701535921, 9.905931581626449, 8.512120842150923, 6.1496920567319036, 9.169202946965004, 8.401265863767323, 8.967279231621363, 7.8662561608541255, 5.956915791930073, 0.0]"
B019FWRG3C,"[34.78914079539616, 36.97308320184632, 32.743029372738874, 22.400892762827116, 36.50134484619462, 34.732094547145124, 37.01307629189553, 35.905699135696345, 22.12630072050419, 0.0]"
B019LAI4HU,"[4.562818721845243, 4.106224744993341, 2.749673098513182, 3.1495969100357772, 4.579935672425295, 4.298017492863406, 3.896536411745638, 4.388142924555231, 1.8108097189393006, 0.0]"
B019V2KYZS,"[6.25879027575736, 6.807230575458629, 4.735344998809393, 3.1603668002597254, 6.165032336771428, 6.502541520069036, 6.807230575458629, 6.807230575458629, 3.727734745438325, 0.0]"
B01BNEYGQU,"[20.13002509092729, 16.17888183587656, 18.177163234508242, 7.97798640733912, 17.044886937845334, 15.385396451855652, 16.780243721232676, 14.618933151026575, 17.36412345092053, 0.0]"
B01DLR9IDI,"[22.11699784952495, 25.567503606253403, 18.016811560432302, 18.42037633651549, 23.141263350763225, 20.10891398803639, 23.61596231620136, 26.76080479584752, 15.799295761912875, 0.5031290313581352]"
B01E7UKR38,"[25.10204310845201, 25.718708451573043, 20.43485585699549, 14.711777824995872, 23.653511939323955, 24.895488077542005, 25.185621573632275, 26.97647593947297, 16.921461019166586, 0.0]"
