Key,Array
B00006L9LC,"[34.60234326415421, 19.855858619987966, 57.30821364999373, 43.67344818161803, 48.341050180089276, 44.50390634215294, 42.683398313991, 56.57579111898203, 60.13321119902357, 63.035167006881096]"
B0006O10P4,"[-0.12695260159323346, 0.0, 0.6347630079661672, 0.12695260159323346, 0.06347630079661673, 0.1904289023898502, 0.12695260159323346, 0.5712867071695505, 0.8251919103560175, 0.952144511949251]"
B0009RF9DW,"[42.5872784495055, 19.978286357945137, 59.008087606984596, 44.75301332908727, 54.535825388330665, 40.74598351574662, 46.88665815269453, 58.81863453088288, 57.44714993546847, 59.19285339905733]"
B000FI4S1E,"[42.51207658602421, 22.949767754945963, 60.16471424978387, 42.81276794648447, 55.826040822568935, 38.441542489113914, 48.39382484759527, 57.98307322125896, 57.59245263530653, 59.28697962192514]"
B000GLRREU,"[5.48958359990597, 3.243229307381708, 4.23958359990597, 4.36458359990597, 4.80208359990597, 4.55208359990597, 4.98958359990597, 4.36458359990597, 5.17708359990597, 4.67708359990597]"
B000NKJIXM,"[1.8068356513360604, 1.8068356513360604, 2.492187105291118, 2.492187105291118, 1.9314450066006164, 2.492187105291118, 2.492187105291118, 2.42988242765884, 2.492187105291118, 2.492187105291118]"
B000URXP6E,"[71.96267348320112, 36.46499452829708, 103.56934021096781, 81.42112977870242, 95.33968406018519, 77.4888972098517, 83.64438696026512, 105.34282358927001, 99.80728681115082, 105.18299397978888]"
B0010ZBORW,"[0.5027349813684592, 0.19081949810387522, -0.8107374006473114, -0.8621106527990618, -0.563083891876822, -1.60625302742561, -0.295900905058415, -0.1890579012928777, -3.1343692105607155, -1.560346304753181]"
B0011FYB5I,"[1.1875, 1.1875, 1.1875, 1.1875, 1.1875, 2.375, 1.1875, 1.375, 1.375, 1.375]"
B00126LYJM,"[0.0, 0.0, 0.6210937165818624, 0.0, 0.3105468582909312, 0.0, 0.3105468582909312, 0.0, 0.3105468582909312, 0.6210937165818624]"
B0012XPRO8,"[1.3721356363059853, 0.8108074214535368, 2.4947920660108824, 1.060286628054625, 1.5592450412568015, 0.7484376198032647, 0.8108074214535368, 2.4947920660108824, 2.4947920660108824, 2.4947920660108824]"
B0012Y0ZG2,"[155.12138887072274, 57.45574529617219, 233.9724569768173, 158.25058638152137, 203.178113068591, 160.1827183726147, 180.63857276126402, 234.00742371238618, 229.25117449891508, 235.0405171796457]"
B0013NB7DW,"[-0.055470202381073364, -0.6265629975009366, -0.2406267128029289, -1.3187499766572257, 0.07421677677521576, -1.6218760183446475, -1.2523441606936516, -0.6156267128029289, -0.30468903918835855, -1.1218760183446475]"
B0014SQQ3M,"[0.27336612991238857, 0.0, 0.5467322598247771, 1.2301475846057486, 0.27336612991238857, 0.27336612991238857, 0.27336612991238857, 0.5467322598247771, 0.5467322598247771, 0.8884399222152628]"
