Key,Array
A10JB7YPWZGRF4,"[8.4375, 6.875, 2.1875, 0.0, 7.8125, 4.375, 9.6875, 10.0, 0.0, 0.0]"
A10M2MLE2R0L6K,"[0.637139560263219, 0.06609845218709343, -0.24229110601692194, 0.3998969751340765, 0.4418790600087672, -0.7596826111715378, 0.3871400425279462, 0.44885859074300005, 0.2772412099227331, 0.0]"
A10P0NAKKRYKTZ,"[4.4171512381955065, 2.378466051336042, 4.07737037371893, 4.07737037371893, 3.397808644765774, 2.378466051336042, 2.378466051336042, 2.378466051336042, 1.3591234579063096, 0.0]"
A1118RD3AJD5KH,"[2.2781160919175427, 2.2781160919175427, 2.2781160919175427, 1.1390580459587714, 2.2781160919175427, 1.1390580459587714, 2.2781160919175427, 2.2781160919175427, 2.2781160919175427, 0.0]"
A115LE3GBAO8I6,"[1.614848073216983, 2.4843816511030505, 2.4843816511030505, 1.614848073216983, 2.4843816511030505, 1.614848073216983, 2.4843816511030505, 2.4843816511030505, 1.4906289906618304, 0.0]"
A11AZPF8R6A1F8,"[8.247471731976118, 8.247471731976118, 8.247471731976118, 5.360856625784477, 8.247471731976118, 8.247471731976118, 8.247471731976118, 8.247471731976118, 8.041284938676714, 0.0]"
A11L1TI883AOSV,"[7.593740689693595, 5.125774965543177, 2.847652758635098, -1.7085916551810592, 7.593740689693595, 5.695305517270196, 7.593740689693595, 7.593740689693595, 3.986713862089138, 0.0]"
A11QGZ39A7ZF0X,"[13.381170749971018, 15.350701205241645, 13.321028034989101, 11.562039347987634, 14.722189997100026, 13.333124786085655, 15.040548220897909, 15.486246661775983, 11.247192112161542, 0.5031290313581352]"
A1210QJT54O8T0,"[5.746910439523539, 9.09417312161683, 7.000430815065139, 7.628165061606303, 8.4676148542488, 7.50784810014172, 7.018004244197393, 6.632848597076222, 7.498494412683659, 0.0]"
A125PSVY71Q7KZ,"[3.7837144920233836, 3.7837144920233836, 1.8918572460116918, 1.6215919251528788, 5.405306417176262, 5.405306417176262, 5.270173756746855, 4.189112473311603, 1.486459264723472, 0.0]"
A125TMC44CJBKK,"[9.616878508261182, 9.616878508261182, 3.289984752826194, 10.12303000869598, 9.616878508261182, 9.616878508261182, 9.616878508261182, 9.616878508261182, 3.289984752826194, 0.0]"
A12B5Y225ADJWE,"[9.654406600297634, 6.001387886671502, 0.26092990811615224, -0.5218598162323045, 6.001387886671502, 6.523247702903806, 9.654406600297634, 8.08882715160072, 1.3046495405807612, 0.0]"
A12BLGAAZBUU96,"[2.2425092414634733, 3.46569610044355, 2.038644764966794, 2.038644764966794, 3.26183162394687, 2.4463737179601526, 2.4463737179601526, 3.46569610044355, 2.038644764966794, 0.0]"
A12HTKLZWLEAF5,"[2.847716769285055, 4.746194615475091, 4.746194615475091, 1.898477846190037, 4.746194615475091, 3.796955692380074, 7.593911384760148, 6.644672461665129, 2.847716769285055, 0.0]"
A12HWYJ6G58FGV,"[6.375, 6.375, 6.1875, 0.0, 6.375, 6.1875, 6.375, 6.375, 3.0, 0.0]"
A12I397MEWA1VB,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A12X146LZM6KM0,"[0.0, 0.0, 0.0, 0.3867130640313865, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A12X3J7IITW1J6,"[8.108094920573567, 8.108094920573567, 8.108094920573567, 5.270261698372819, 8.108094920573567, 8.108094920573567, 8.108094920573567, 8.108094920573567, 7.905392547559228, 0.0]"
A132O42MLTHYSX,"[7.5, 7.5, 7.3125, 1.125, 7.5, 7.5, 7.5, 7.5, 0.9375, 0.0]"
A13B2J5IBGS8Y2,"[3.8670713456805585, 3.480364211112503, 3.8670713456805585, 4.253778480248615, 3.480364211112503, 3.480364211112503, 3.480364211112503, 3.480364211112503, 2.1268892401243074, 0.0]"
A13PKMKQ0177SH,"[-0.487503571876096, -1.21875892969024, -0.487503571876096, -0.487503571876096, -1.21875892969024, -0.487503571876096, -0.243751785938048, -0.243751785938048, -0.487503571876096, 0.0]"
A149WHPACMTSLO,"[-1.7609399213161667, -1.5093770754138571, -1.0062513836092382, -0.7546885377069286, -2.5156284590230955, -1.2578142295115478, -2.2640656131207857, -1.7609399213161667, -0.7546885377069286, 0.0]"
A14BV6AW987ZDN,"[5.124751059732154, 5.124751059732154, 5.124751059732154, 0.0, 10.249502119464308, 5.124751059732154, 10.249502119464308, 5.124751059732154, 10.249502119464308, 0.0]"
A14QBW6X0Q1YSD,"[8.061411207924351, 6.046058405943265, 5.03838200495272, 6.247593686141373, 8.061411207924351, 8.061411207924351, 8.061411207924351, 8.061411207924351, 3.6276350435659586, 0.0]"
A14R11HV2H7AVW,"[5.125018775723234, 5.125018775723234, 5.125018775723234, 1.9218820408962125, 5.125018775723234, 5.125018775723234, 5.125018775723234, 5.125018775723234, 5.125018775723234, 0.0]"
A14SJT4M0BP298,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A14Y0FPHPBKBAF,"[12.265821698247048, 12.265821698247048, 6.746201934035875, 6.746201934035875, 4.599683136842643, 12.265821698247048, 12.265821698247048, 10.732593985966169, 2.759809882105586, 0.0]"
A14YENXHLKG9WL,"[5.962504215919065, 9.937507026531776, 4.471878161939299, 2.732814432296238, 9.937507026531776, 8.695318648215304, 9.937507026531776, 9.937507026531776, 0.4968753513265888, 0.0]"
A150XCEZV6KF5G,"[7.5, 7.5, 7.5, 7.5, 7.5, 7.5, 7.5, 7.5, 7.5, 0.0]"
A153D6FAV4L389,"[5.155368657026386, 5.155368657026386, 5.155368657026386, 5.155368657026386, 5.155368657026386, 5.155368657026386, 5.155368657026386, 5.155368657026386, 5.155368657026386, 0.0]"
A154MPHVRSZVQN,"[-6.665626548970051, -0.7406251721077834, -5.184376204754485, 1.8515629302694587, -3.3328132744850256, -4.4437510326467, -2.407031809350296, -3.1476569814580797, 1.6664066372425128, 0.0]"
A1577W1CXJ2WI9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A157AUOFPJQ46Q,"[8.346792260546586, 8.837417609077036, 9.508514513753099, 5.159335521258708, 10.431949991801005, 7.3655415634856825, 9.450699294740101, 9.450699294740101, 4.414021911522404, 0.0]"
A15IDG691XH2XI,"[3.3539192722212454, 3.105480807612264, 3.3539192722212454, 1.117973090740415, 3.478138504525736, 3.229700039916755, 4.34767313065717, 4.47189236296166, 1.117973090740415, 0.0]"
A15IKO3Q6RSA1V,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A15NM9DLEOB4XI,"[1.230161037102111, 1.230161037102111, 0.820107358068074, 0.410053679034037, 0.6150805185510555, 1.230161037102111, 1.230161037102111, 1.230161037102111, 0.820107358068074, 0.0]"
A15T9G38F589KM,"[6.790450547179071, 7.86740007172561, 6.022097866859715, 2.506161890950347, 6.216626200159107, 7.739666646768324, 7.419357019087289, 7.558803227498427, 2.3702394124450814, 0.0]"
A15TMUEDCVMOBF,"[-1.0124989688478856, -0.7593742266359143, -0.7593742266359143, -0.2531247422119714, 0.0, -0.7593742266359143, 0.5062494844239428, 0.0, -1.0124989688478856, 0.0]"
A15ZAILX1XGI0A,"[10.249935581383589, 10.249935581383589, 10.249935581383589, 10.249935581383589, 10.249935581383589, 10.249935581383589, 10.249935581383589, 10.249935581383589, 10.249935581383589, 0.0]"
A165FHUTQU6L2Z,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A173YMJ9XFVRSY,"[2.8308181383393523, 2.247239801891692, 2.247239801891692, 2.393134386003607, 2.393134386003607, 3.8520802271227583, 2.393134386003607, 2.393134386003607, 2.393134386003607, 0.0]"
A177B2VPWX4P55,"[22.727793100801634, 22.727793100801634, 22.727793100801634, 12.408918321418788, 22.727793100801634, 22.727793100801634, 22.727793100801634, 22.727793100801634, 19.720724928744364, 0.0]"
A17ZAS11CK1HG8,"[6.912475885552333, 6.912475885552333, 6.912475885552333, 7.899972440631238, 6.912475885552333, 6.912475885552333, 6.912475885552333, 6.912475885552333, 4.937482775394524, 0.0]"
A181EKCGC3RGHL,"[7.827861766508135, 7.827861766508135, 7.436468678182727, 7.827861766508135, 7.827861766508135, 7.827861766508135, 7.827861766508135, 7.827861766508135, 6.262289413206507, 0.0]"
A1888H788ZLJUQ,"[3.000003777700634, 3.000003777700634, 3.000003777700634, 0.0, 3.000003777700634, 3.000003777700634, 3.000003777700634, 3.000003777700634, 3.000003777700634, 0.0]"
A18E4UPIBMJNVZ,"[0.35626644010367176, 0.17813322005183588, 0.0, 0.0, 0.5343996601555077, 0.35626644010367176, 0.17813322005183588, 0.35626644010367176, 0.0, 0.0]"
A18EJ6MMSR1GGA,"[10.0, 10.0, 8.0, 1.75, 10.0, 10.0, 10.0, 10.0, 6.5, 0.0]"
A18HENNBJ25817,"[-12.699501331112273, -10.159601064889818, -5.079800532444909, -2.5399002662224546, -7.619700798667363, -12.699501331112273, -10.159601064889818, -10.159601064889818, -2.5399002662224546, 0.0]"
A18KOO6VMJJ70S,"[4.875018191519176, 4.875018191519176, 4.265640917579279, 3.656263643639382, 4.875018191519176, 4.875018191519176, 4.875018191519176, 4.875018191519176, 2.437509095759588, 0.0]"
A190ENIBZ72LMF,"[10.312281061874856, 10.312281061874856, 8.249824849499884, 4.124912424749942, 10.312281061874856, 10.312281061874856, 10.312281061874856, 10.312281061874856, 8.249824849499884, 0.0]"
A1929HU28OJ7D8,"[5.706968102792741, 4.755806752327284, -1.5852689174424281, -3.487591618373342, 2.8534840513963706, 2.536430267907885, 2.8534840513963706, 5.389914319304255, 0.9511613504654568, 0.0]"
A193RG4GIJ5OLM,"[8.836049776323536, 8.836049776323536, 7.007901546739356, 4.57037057396045, 8.836049776323536, 7.007901546739356, 7.007901546739356, 7.007901546739356, 4.57037057396045, 0.0]"
A19AWUK1MWTJEN,"[1.038550398374166, 1.038550398374166, 1.038550398374166, 0.9585979806563185, 1.7744831462420414, 1.038550398374166, 1.7744831462420414, 1.038550398374166, 0.7703167885980748, 0.0]"
A19BNMVUQDMFGK,"[10.810621088858237, 10.810621088858237, 10.810621088858237, 5.405310544429119, 10.810621088858237, 10.810621088858237, 10.810621088858237, 10.810621088858237, 10.270090034415325, 0.0]"
A19EIBWOIY3U1R,"[10.312229746110402, 10.312229746110402, 10.312229746110402, 10.312229746110402, 10.312229746110402, 10.312229746110402, 10.312229746110402, 10.312229746110402, 10.312229746110402, 0.0]"
A19GO5VNH8D1TF,"[5.498575506027972, 9.56274001048343, 8.367397509173001, 5.737644006290058, 9.56274001048343, 9.56274001048343, 9.56274001048343, 7.88926050864883, 0.23906850026208576, 0.0]"
A19KLUZ1XD3SRN,"[1.523430080497218, 1.6507729823389987, 0.5070292365650475, 1.2023400599570109, 0.8281192571052545, 1.7765543036460627, 0.7007763552634736, 1.7765543036460627, 1.0124968925953777, 0.0]"
A19Q4TR24DNXB5,"[0.9843346493853236, 2.624892398360863, 0.9843346493853236, 0.6562230995902157, 7.5465656452874805, 3.281115497951079, 4.921673246926618, 2.624892398360863, 0.0, 0.0]"
A19XMHRB3G4DIR,"[1.7326072569484934, 2.2298793015943836, 1.3019560043671092, 1.3029366167811247, 1.549611414276039, 1.9810471567886354, 1.4222535046311187, 2.726759101274668, 1.5507881491728575, 0.0]"
A1A6EANMBA02NW,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1A7LP8GUKEPZM,"[0.0, 1.5523640648214276, 1.5523640648214276, 1.5523640648214276, 1.5523640648214276, 1.5523640648214276, 1.5523640648214276, 1.5523640648214276, 1.5523640648214276, 0.0]"
A1AEPMPA12GUJ7,"[9.852438902771372, 10.029404097395378, 9.791891797848347, 6.853921559344753, 9.792671247442525, 9.912206558100216, 9.852438902771372, 10.031741868757907, 6.669942473213156, 0.0]"
A1AFK6DIZFYQ2V,"[4.968725434623199, 4.968725434623199, 4.720289162892039, 1.9874901738492796, 4.968725434623199, 4.720289162892039, 4.968725434623199, 4.968725434623199, 1.3663994945213798, 0.0]"
A1AFSSJ58HYER7,"[7.687381601859508, 7.687381601859508, 7.687381601859508, 7.687381601859508, 7.687381601859508, 7.687381601859508, 7.687381601859508, 7.687381601859508, 7.687381601859508, 0.0]"
A1AG4CEH4EYXIT,"[-2.099909012240317, -1.8374203857102773, -0.2624886265300396, 0.2624886265300396, -1.8374203857102773, -2.887374891830436, -1.3124431326501982, -2.3623976387703567, 0.5249772530600793, 0.0]"
A1AIIT0GCPBL2M,"[9.915382286027437, 8.871657834866655, 1.3046555639509785, 3.9139666918529357, 8.349795609286263, 9.915382286027437, 9.915382286027437, 9.915382286027437, 4.174897804643131, 0.0]"
