Key,Array
A115LE3GBAO8I6,"[1.6148441028290805, 0.6832032742738418, 2.4843755428139698, 1.490625325688382, 1.490625325688382, 1.6148441028290805, 1.6148441028290805, 2.1117192113918746, 2.4843755428139698, 2.4843755428139698]"
A11AZPF8R6A1F8,"[1.875, 0.0, 5.0, 1.875, 3.625, 5.0, 3.0, 5.0, 5.0, 5.0]"
A11L1TI883AOSV,"[0.621093671133136, 0.8074217724730768, 2.4222653174192303, 1.863281013399408, 1.7390622791727808, 0.9937498738130176, 1.6148435449461536, 2.484374684532544, 2.4222653174192303, 2.049609114739349]"
A11QGZ39A7ZF0X,"[1.676953551803908, 0.0, 2.4843756323020862, 1.4906253793812516, 2.4843756323020862, 1.3664065977661473, 0.6832032988830736, 2.4843756323020862, 2.4843756323020862, 2.4843756323020862]"
A125PSVY71Q7KZ,"[1.3664061393438813, 0.0, 4.0992184180316436, 4.596093377793055, 2.7328122786877627, 3.105468498508821, 1.3664061393438813, 4.968749597614114, 3.105468498508821, 3.850780938150938]"
A12BLGAAZBUU96,"[0.9375001040712031, 0.0, 0.7500000832569624, 1.5000001665139249, 0.7500000832569624, 0.3750000416284812, 0.31250003469040105, 1.0625001179473634, 0.6875000763188823, 1.0625001179473634]"
A12I397MEWA1VB,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A12X3J7IITW1J6,"[2.0851629025662004, 0.8585964892919649, 2.4531328265484706, 1.9011779405750648, 2.4531328265484706, 1.6558646579202179, 2.3304761852210474, 2.4531328265484706, 2.4531328265484706, 2.4531328265484706]"
A13PKMKQ0177SH,"[-0.125, -0.125, -0.125, -0.125, -0.125, -0.125, -0.125, 0.0, -0.125, -0.125]"
A14QBW6X0Q1YSD,"[4.596094118633378, 1.2421875996306424, 4.96875039852257, 3.8507815588549916, 4.96875039852257, 4.96875039852257, 3.1054689990766065, 4.96875039852257, 4.96875039852257, 4.96875039852257]"
A14SJT4M0BP298,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A153D6FAV4L389,"[2.484374759407435, 1.987499807525948, 2.484374759407435, 2.484374759407435, 2.484374759407435, 2.484374759407435, 2.484374759407435, 2.484374759407435, 2.484374759407435, 2.484374759407435]"
A15IDG691XH2XI,"[1.1179684581705165, 0.0, 3.8507802448095565, 1.36640589331952, 3.602342809660553, 0.8695310230215128, 1.36640589331952, 3.3539053745115495, 3.3539053745115495, 4.471873832682066]"
A15NM9DLEOB4XI,"[0.062109380943079065, 0.12421876188615813, 0.3726562856584744, 0.062109380943079065, 0.12421876188615813, 0.062109380943079065, 0.062109380943079065, 0.24843752377231626, 0.43476566660155347, 0.3726562856584744]"
A15TMUEDCVMOBF,"[-0.06171877250140297, 0.0, 0.06171877250140297, -0.06171877250140297, 0.0, -0.30859386250701487, -0.12343754500280595, 0.06171877250140297, -0.2468750900056119, -0.2468750900056119]"
A173YMJ9XFVRSY,"[0.5613281220719745, 0.375, 0.43515624414394893, 0.0625, 0.8101562441439489, 0.8113281220719745, 0.24882812207197447, 0.7464843662159234, 0.8101562441439489, 1.1828124882878979]"
A17ZAS11CK1HG8,"[1.304296610026526, 0.0, 1.7390621467020346, 0.5589842614399397, 0.5589842614399397, 1.055859160497664, 1.9874995962308968, 1.7390621467020346, 1.7390621467020346, 1.7390621467020346]"
A181EKCGC3RGHL,"[2.2980458546368308, 1.304296295874958, 2.484373896904682, 2.1117178123689797, 2.484373896904682, 2.3601552020594476, 1.9874991175237455, 2.484373896904682, 2.484373896904682, 2.484373896904682]"
A18KOO6VMJJ70S,"[7.5, 0.9375, 7.5, 3.75, 6.375, 3.9375, 5.625, 7.5, 7.5, 7.5]"
A19BNMVUQDMFGK,"[3.25, 2.25, 5.0, 4.75, 5.0, 4.5, 5.0, 5.0, 5.0, 5.0]"
A19GO5VNH8D1TF,"[0.0, 0.06210938285926556, 2.4843753143706224, 0.7453125943111867, 1.4285158057631078, 1.4285158057631078, 0.8074219771704523, 2.4843753143706224, 2.111719017215029, 2.4843753143706224]"
A19KLUZ1XD3SRN,"[-0.498437386560671, 0.0, 0.062304673320083874, 1.2460934664016774, 0.6853514065209226, -0.18691401996025162, 0.6230467332008387, 0.5607420598807549, 0.5607420598807549, 1.8068355262824323]"
A19XMHRB3G4DIR,"[1.1285156059390937, -0.06269531144106076, 2.068945277555005, 0.12539062288212152, 1.0658202944980328, 0.37617186864636454, 0.6896484258516684, 2.0062499661139443, 1.2539062288212153, 1.9435546546728837]"
A1AFK6DIZFYQ2V,"[0.6875, 0.0, 2.5, 1.6875, 2.0625, 0.6875, 1.6875, 2.5, 2.5, 2.5]"
A1AFSSJ58HYER7,"[2.4999989830141227, 2.4999989830141227, 2.4999989830141227, 2.4999989830141227, 2.4999989830141227, 2.4999989830141227, 2.4999989830141227, 2.4999989830141227, 2.4999989830141227, 2.4999989830141227]"
A1AKH1GJBE5CX5,"[2.484374647278619, 2.484374647278619, 2.484374647278619, 2.484374647278619, 2.484374647278619, 2.484374647278619, 2.484374647278619, 2.484374647278619, 2.484374647278619, 2.484374647278619]"
A1AWB5QE4T9LPM,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1B5D7AI4KYG98,"[0.7453125491885424, 0.7453125491885424, 1.4906250983770848, 0.7453125491885424, 0.7453125491885424, 0.7453125491885424, 1.4906250983770848, 1.4906250983770848, 1.4906250983770848, 1.4906250983770848]"
A1BRNOD64VZ1GP,"[4.223437138017622, 0.0, 4.968749574138379, 3.7265621806037843, 4.968749574138379, 3.7265621806037843, 4.347655877371082, 4.968749574138379, 4.968749574138379, 4.968749574138379]"
A1BS75OBCJN3EA,"[2.2980463395687196, 0.9316404079332647, 2.4843744211553727, 2.4843744211553727, 2.4843744211553727, 2.4843744211553727, 2.4843744211553727, 2.4843744211553727, 2.4843744211553727, 2.4843744211553727]"
A1C13KVGOWMI6A,"[1.0686515235870815, 1.0686515235870815, 1.0686515235870815, 2.137303047174163, 1.0686515235870815, 1.0686515235870815, 1.0686515235870815, 1.0686515235870815, 1.0686515235870815, 1.0686515235870815]"
A1C3SRDH9HVEI2,"[0.9375, 0.625, 1.875, 0.875, 1.1875, 0.875, 0.8125, 1.875, 1.5625, 1.625]"
A1C8LL1BBQ7GTO,"[0.0, 0.6210937344613544, 1.2421874689227088, 0.0, 1.8632812033840631, 1.8632812033840631, 0.6210937344613544, 1.2421874689227088, 0.6210937344613544, 1.2421874689227088]"
A1CEDYAX0NG4BU,"[0.0, 0.0, -0.434765646164338, -0.18632813407043058, 0.0, -0.6832031582582454, -0.18632813407043058, -0.434765646164338, -0.434765646164338, -0.6832031582582454]"
A1CJRTU646COUL,"[0.9937499631069764, 0.9937499631069764, 2.484374907767441, 1.9874999262139528, 1.9874999262139528, 1.1800780811895344, 1.9874999262139528, 2.484374907767441, 2.484374907767441, 2.484374907767441]"
A1CRH843D61QTZ,"[0.9937499915328633, 0.9937499915328633, 0.9937499915328633, 0.9937499915328633, 0.9937499915328633, 0.9937499915328633, 0.9937499915328633, 0.9937499915328633, 0.9937499915328633, 0.9937499915328633]"
A1D3RMFWUWRASV,"[0.0, -0.18632805866162805, 0.8074215875337215, 0.0, 0.0, 0.0, 0.0, -0.18632805866162805, 0.6832028817593028, 0.8074215875337215]"
A1D82V07WELVCE,"[0.0, 1.4906252042798225, 0.0, 2.235937806419734, 0.0, 0.0, 0.7453126021399112, 0.7453126021399112, 1.4906252042798225, 0.7453126021399112]"
A1E9D6RGEDFT2O,"[0.1234375123448495, 0.0, 0.9257813425863712, 0.0, 0.18515626851727424, 0.493750049379398, 0.246875024689699, 0.9257813425863712, 0.740625074069097, 2.160156466034866]"
A1EGCED01USBA9,"[-0.5625000704054477, 0.0, -0.37500004693696515, -0.37500004693696515, -0.18750002346848257, -0.5625000704054477, -0.37500004693696515, -0.18750002346848257, -0.7500000938739303, -1.6250002033935156]"
A1F1B2NU2TQAJV,"[1.9496087973451635, 0.0, 2.5156242546389205, 2.5156242546389205, 2.3898430419069747, 1.0691403082215414, 1.9496087973451635, 2.5156242546389205, 2.5156242546389205, 2.5156242546389205]"
A1F4BVHEE78OVF,"[0.0, 0.0, 0.0, 0.0, 0.0, -1.3125, 0.0, 0.0, 0.0, 0.0]"
A1F8L7H54H5WFZ,"[0.06210938116423004, 0.06210938116423004, 0.1863281434926901, 0.06210938116423004, 0.12421876232846008, 0.12421876232846008, 0.06210938116423004, 0.24843752465692015, 0.12421876232846008, 0.12421876232846008]"
A1FEQTQIVZKAY,"[0.8804683905239638, 1.0062495891702443, 2.2011709763099097, 1.1320307878165248, 0.8175777912008235, 0.8175777912008235, 1.1949213871396651, 1.3207025857859456, 1.5722649830785067, 1.635155582401647]"
A1FPB20OAZLA3T,"[0.3125, 0.0, 1.3125, 0.375, 1.125, 0.5, 0.6875, 1.4375, 1.3125, 1.625]"
A1GO71H0UB95WN,"[2.5052082054478735, 0.5636718462257716, 2.5052082054478735, 2.5052082054478735, 2.5052082054478735, 2.5052082054478735, 2.5052082054478735, 2.5052082054478735, 2.5052082054478735, 2.5052082054478735]"
A1GTSEGAXWRSO8,"[2.497395946122226, 1.061393277101946, 2.497395946122226, 2.497395946122226, 2.497395946122226, 2.497395946122226, 2.497395946122226, 2.497395946122226, 2.497395946122226, 2.497395946122226]"
A1GVT488CKU6ZB,"[0.0, 0.0, 0.13435692250878975, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13435692250878975, 0.2687138450175795]"
A1GVTXX0S7ANZ8,"[0.9316404870736044, 0.1863280974147209, 2.0496090715619295, 0.8074217554637905, 2.4843746321962783, 0.8074217554637905, 0.9937498528785114, 1.4285154135128602, 2.1117184373668367, 1.4285154135128602]"
