Key,Array
A115LE3GBAO8I6,"[-5.421010862427522e-20, 1.6940658945086007e-21, 8.470329472543003e-22, 0.0, -3.3881317890172014e-21, -1.6940658945086007e-21, 0.0, -8.470329472543003e-22, 0.0, 1.3552527156068805e-20, 3.3881317890172014e-21, 0.0, 0.0, 2.6469779601696886e-23, 8.470329472543003e-22, 0.0, -1.0587911840678754e-22, 8.470329472543003e-22, -6.617444900424222e-24, 2.6469779601696886e-23]"
A11AZPF8R6A1F8,"[0.0, 0.0, 2.168404344971009e-19, 0.0, 0.0, -1.3552527156068805e-20, 1.3552527156068805e-20, 5.421010862427522e-20, 0.0, 1.0842021724855044e-19, 0.0, 5.293955920339377e-23, -2.6469779601696886e-23, 0.0, 4.235164736271502e-22, 1.6543612251060553e-24, 0.0, 5.293955920339377e-23, 2.117582368135751e-22, -2.117582368135751e-22]"
A11L1TI883AOSV,"[0.0, 0.0, 5.421010862427522e-20, 0.0, -1.3552527156068805e-20, 0.0, -6.776263578034403e-21, -2.710505431213761e-20, 0.0, 2.710505431213761e-20, -3.308722450212111e-24, 0.0, 0.0, -8.470329472543003e-22, -5.293955920339377e-23, 1.0587911840678754e-22, 5.293955920339377e-23, 5.169878828456423e-26, -1.0587911840678754e-22, 0.0]"
A11QGZ39A7ZF0X,"[5.293955920339377e-23, 0.0, 8.470329472543003e-22, -1.3552527156068805e-20, 5.421010862427522e-20, 0.0, 0.0, -2.117582368135751e-22, 0.0, 0.0, -1.0587911840678754e-22, 0.0, 6.617444900424222e-24, 0.0, 0.0, 0.0, 5.293955920339377e-23, 4.235164736271502e-22, 0.0, 5.293955920339377e-23]"
A125PSVY71Q7KZ,"[1.6940658945086007e-21, 0.0, -1.3552527156068805e-20, 2.168404344971009e-19, 0.0, 6.776263578034403e-21, 0.0, 0.0, 1.0842021724855044e-19, -1.0842021724855044e-19, -2.117582368135751e-22, 0.0, 0.0, 3.308722450212111e-24, 0.0, 0.0, -5.293955920339377e-23, 0.0, 0.0, -2.6469779601696886e-23]"
A12BLGAAZBUU96,"[-8.470329472543003e-22, 0.0, 4.235164736271502e-22, 0.0, 3.3881317890172014e-21, 0.0, 0.0, 0.0, 0.0, 3.3881317890172014e-21, 8.470329472543003e-22, 2.117582368135751e-22, 2.117582368135751e-22, 1.3234889800848443e-23, -1.0587911840678754e-22, 8.470329472543003e-22, 8.470329472543003e-22, 0.0, 0.0, 0.0]"
A12I397MEWA1VB,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.293955920339377e-23, 0.0, 0.0, 0.0, 1.6940658945086007e-21, 0.0, 1.6940658945086007e-21, -1.6940658945086007e-21, 4.235164736271502e-22]"
A12X3J7IITW1J6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.117582368135751e-22, 0.0, 0.0, 8.470329472543003e-22, 0.0, 1.3234889800848443e-23, 1.0587911840678754e-22, 1.6940658945086007e-21, -3.3881317890172014e-21, 0.0, -1.6543612251060553e-24, 0.0, 0.0, 2.5849394142282115e-26]"
A13PKMKQ0177SH,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.235164736271502e-22, 0.0, 0.0, 0.0, -4.235164736271502e-22, 2.6469779601696886e-23, -1.0587911840678754e-22, 2.6469779601696886e-23]"
A14QBW6X0Q1YSD,"[0.0, 0.0, 0.0, -5.421010862427522e-20, -2.117582368135751e-22, -1.6940658945086007e-21, 0.0, 1.0842021724855044e-19, 0.0, -1.0842021724855044e-19, 1.0587911840678754e-22, -4.235164736271502e-22, 2.6469779601696886e-23, -1.3234889800848443e-23, 0.0, 0.0, -5.293955920339377e-23, -1.0587911840678754e-22, -3.3881317890172014e-21, 1.0587911840678754e-22]"
A14SJT4M0BP298,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -6.617444900424222e-24, 2.6469779601696886e-23, 0.0, 0.0, 0.0, 2.6469779601696886e-23, 3.3881317890172014e-21, 0.0, -2.6469779601696886e-23]"
A153D6FAV4L389,"[2.710505431213761e-20, 0.0, 5.421010862427522e-20, -1.6940658945086007e-21, 0.0, -1.3552527156068805e-20, 0.0, 5.421010862427522e-20, 0.0, 0.0, -6.617444900424222e-24, 0.0, -3.308722450212111e-24, 0.0, 0.0, 0.0, 8.271806125530277e-25, -1.3234889800848443e-23, 0.0, 0.0]"
A15IDG691XH2XI,"[-3.3881317890172014e-21, 0.0, 5.421010862427522e-20, 0.0, 0.0, 0.0, 1.3552527156068805e-20, -6.776263578034403e-21, 0.0, 0.0, -1.3234889800848443e-23, -1.3234889800848443e-23, 0.0, -4.235164736271502e-22, -4.235164736271502e-22, -5.293955920339377e-23, 0.0, 0.0, 0.0, 0.0]"
A15NM9DLEOB4XI,"[1.3234889800848443e-23, -1.3234889800848443e-23, 0.0, 0.0, 0.0, 0.0, -6.617444900424222e-24, 0.0, -1.3234889800848443e-23, 0.0, 2.6469779601696886e-23, -5.293955920339377e-23, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -5.293955920339377e-23, 0.0]"
A15TMUEDCVMOBF,"[-3.308722450212111e-24, 0.0, 0.0, -6.617444900424222e-24, 0.0, 2.6469779601696886e-23, 0.0, -1.6543612251060553e-24, 5.293955920339377e-23, 5.293955920339377e-23, 0.0, 4.235164736271502e-22, 0.0, 6.617444900424222e-24, -1.3234889800848443e-23, 0.0, -1.3234889800848443e-23, 1.0587911840678754e-22, 0.0, -8.470329472543003e-22]"
A173YMJ9XFVRSY,"[-4.235164736271502e-22, -1.3234889800848443e-23, 1.0587911840678754e-22, 0.0, 4.235164736271502e-22, -1.6940658945086007e-21, 0.0, 0.0, 2.117582368135751e-22, -5.293955920339377e-23, 0.0, 1.6940658945086007e-21, 4.235164736271502e-22, 0.0, 0.0, 1.0339757656912846e-25, -5.293955920339377e-23, -5.293955920339377e-23, -1.3234889800848443e-23, 0.0]"
A17ZAS11CK1HG8,"[0.0, 0.0, 0.0, -4.235164736271502e-22, 0.0, 6.776263578034403e-21, 0.0, 2.710505431213761e-20, -3.3881317890172014e-21, 6.776263578034403e-21, 0.0, 0.0, 0.0, 8.470329472543003e-22, -5.293955920339377e-23, 1.0339757656912846e-25, 0.0, 0.0, 4.235164736271502e-22, 0.0]"
A181EKCGC3RGHL,"[0.0, 3.3881317890172014e-21, 0.0, 0.0, 0.0, 6.776263578034403e-21, -2.710505431213761e-20, 8.470329472543003e-22, 2.710505431213761e-20, 0.0, 2.117582368135751e-22, 0.0, 0.0, 0.0, 4.235164736271502e-22, 8.470329472543003e-22, 0.0, 4.235164736271502e-22, -2.6469779601696886e-23, 1.0587911840678754e-22]"
A18KOO6VMJJ70S,"[0.0, 8.470329472543003e-22, 0.0, 0.0, -2.168404344971009e-19, 0.0, 0.0, 2.710505431213761e-20, -2.710505431213761e-20, 4.336808689942018e-19, -3.3881317890172014e-21, 0.0, 0.0, -1.6940658945086007e-21, 1.0587911840678754e-22, 0.0, -8.470329472543003e-22, 0.0, -1.6543612251060553e-24, 0.0]"
A19BNMVUQDMFGK,"[-5.421010862427522e-20, -1.3552527156068805e-20, -4.235164736271502e-22, 6.776263578034403e-21, 0.0, 3.3881317890172014e-21, 0.0, -2.710505431213761e-20, 0.0, 1.3552527156068805e-20, 0.0, 6.776263578034403e-21, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0587911840678754e-22, 0.0, 0.0]"
A19GO5VNH8D1TF,"[0.0, -6.617444900424222e-24, 6.776263578034403e-21, 8.470329472543003e-22, 0.0, -1.6940658945086007e-21, 0.0, 0.0, -5.421010862427522e-20, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0587911840678754e-22, 0.0, 0.0, 0.0]"
