Key,Array
B0000530HU,"[0.6308580735102483, 1.3289026058286952, 0.507029688212298, 0.2546864588081986, 1.1378877617225462, 0.8832013029143476, 1.201559376424596, 1.776947138147142, 0.12617161470204966, 0.0, 0.34809223672001727, 0.2881137159532832, 0.585548616521062, 0.22186206577399184, 0.22291495855857, 0.04234049775328926, 0.38930308426906685, 0.3400136454152751, 0.3259303834714013, 0.09809353621317443]"
B00006L9LC,"[284.0988363678077, 303.64623032148575, 253.7229805997225, 205.9940872953787, 306.93293482821844, 290.589325071184, 314.69269606480617, 294.31704891942286, 211.73961420151693, 0.0, 1.4026649993936906, 1.3962380784835293, 1.0000517849696193, 1.103303641389688, 1.2457322742564638, 1.2709844109697501, 1.3208097406719674, 1.2640408911338123, 1.2607998675018546, 1.3685347191506434]"
B00021DJ32,"[1.4762554530073126, 2.2464756893589537, 2.5674007878388045, 1.9897356105750734, 1.4762554530073126, 1.091145334831492, 2.0539206302710435, 2.5674007878388045, 1.732995531791193, 0.0, 0.5765130922039885, 0.35512402281157773, 0.3651789235155869, 0.035761496023036916, 0.29407145676320073, 0.5425131851303555, 0.14320457837497633, 0.44397058812859946, 0.5491230338273689, 0.2826216291890824]"
B0006O10P4,"[3.378016951947542, 6.843609601139998, 3.995988561714678, 2.635871347520517, 6.71860970881178, 6.9686094934682155, 6.843609601139998, 6.090488605089792, 2.7889751643990657, 0.0, 0.18242172982970994, 0.30799609684446133, 0.25315297515126484, 0.24258840274747467, 0.15770027878927448, 0.3755230300422864, 0.2722725667461814, 0.47168926384487764, 0.12857826507759304, 0.377573210863873]"
B0009RF9DW,"[318.54397156088487, 338.43404272939745, 308.7689181952811, 250.78440658981665, 341.6588491037402, 334.11151970712797, 351.4409145049512, 340.5174119203017, 249.71625731753602, 0.0, 1.5152209694545293, 0.9049054521338875, 1.0070138810286127, 1.055299716415556, 1.1141992110703938, 1.4105203620156472, 1.2461913197039844, 1.5664959646198957, 1.272804161218798, 0.9347572442265799]"
B000FI4S1E,"[338.25042298355186, 361.42130256623403, 333.5711949606627, 271.7264724203448, 370.076893868523, 354.3129359111649, 373.6753851262395, 357.7954358699815, 270.48946162634917, 0.0, 1.1401419455405284, 1.5013445139276231, 1.2476856388942117, 1.0912890428896067, 1.3281667659865979, 0.960862690746237, 1.098227463697755, 1.363534238780581, 1.386026975443353, 1.0872988939190076]"
B000FOI48G,"[16.307292966219386, 17.432500799538158, 11.8201485216829, 6.28577049624246, 16.207783626653647, 12.869509644490968, 17.69796600145217, 20.668097090699366, 8.176009407367852, 0.0, 0.5588567452660712, 0.5353535357696824, 0.6284480836825496, 0.6340787665687486, 0.3173324001109773, 0.0729362707484462, 0.32737662681427787, 0.30857273956900855, 0.2405206644157809, 0.5784873795849405]"
B000FTYALG,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16992282989990073, 0.035938519120244684, 0.36294551576973205, 0.3193500141145818, 0.21565931294430524, 0.34259767557294496, 0.4262059136141186, 0.5234190471152682, 0.10853152075849905, 0.08643159549609235]"
B000GLRREU,"[14.305809015514942, 15.681016759150552, 9.351345575667095, 2.5769788378662692, 14.518799563845247, 11.305525738556758, 16.07148191622298, 18.91661305031176, 4.537278134314862, 0.0, 0.10266902647047653, 0.4108485975200081, 0.48775324189503244, 0.11326509938438122, 0.6207861210411756, 0.6124327246923463, 0.39316045074146994, 0.15789518156673743, 0.2807247674839351, 0.05554124241400719]"
B000LIBUBY,"[7.8119368945444325, 7.8119368945444325, 7.687718093688138, 4.698889285573427, 7.252952290691111, 7.8119368945444325, 7.128733489834818, 7.128733489834818, 6.12718082455074, 0.0, 0.2879658603289859, 0.344952231471469, 0.534355248958289, 0.5423435412668172, 0.07205955093130086, 0.30608600261999586, 0.12306491253658264, 0.5237768136422354, 0.19264785212432933, 0.17642275983956768]"
