Key,Array
B00006L9LC,"[34.60234326415421, 19.855858619987966, 57.30821364999373, 43.67344818161803, 48.341050180089276, 44.50390634215294, 42.683398313991, 56.57579111898203, 60.13321119902357, 63.035167006881096, 0.9128068468954539, 1.5971524100650774, 1.144247728272424, 1.2230711127434588, 1.4400303938433312, 0.8926191803836111, 1.3641006806206832, 1.2916963555285226, 0.9811072690863825, 1.066298931104455]"
B0006O10P4,"[-0.12695260159323346, 0.0, 0.6347630079661672, 0.12695260159323346, 0.06347630079661673, 0.1904289023898502, 0.12695260159323346, 0.5712867071695505, 0.8251919103560175, 0.952144511949251, 0.2344480963914507, 0.09654720621446285, 0.6076950640454363, 0.3137807199712302, 0.4195569611440372, 0.11309339136082426, 0.42250797185028777, 0.4086767439472825, 0.3333634739442218, 0.005186468220101808]"
B0009RF9DW,"[42.5872784495055, 19.978286357945137, 59.008087606984596, 44.75301332908727, 54.535825388330665, 40.74598351574662, 46.88665815269453, 58.81863453088288, 57.44714993546847, 59.19285339905733, 1.5600346255674462, 1.1330635993300797, 0.948094166310094, 1.0283963478332796, 0.9599398456179116, 0.9446488785949051, 1.1620490610324874, 1.4779559670870808, 0.8946375583404464, 1.0430569868441146]"
B000FI4S1E,"[42.51207658602421, 22.949767754945963, 60.16471424978387, 42.81276794648447, 55.826040822568935, 38.441542489113914, 48.39382484759527, 57.98307322125896, 57.59245263530653, 59.28697962192514, 1.2875412193219529, 1.4346234238198734, 1.2614650445436857, 1.396634885723279, 1.00559659253846, 0.850425991434388, 1.2515786447417254, 1.163656825552362, 1.1181237884617439, 1.0691171263853974]"
B000GLRREU,"[5.48958359990597, 3.243229307381708, 4.23958359990597, 4.36458359990597, 4.80208359990597, 4.55208359990597, 4.98958359990597, 4.36458359990597, 5.17708359990597, 4.67708359990597, 0.3853558115116043, 0.5621845439517625, 0.1799735431563971, 0.2675771812803087, 0.6271069253544161, 0.43631021341293247, 0.31355269044182926, 0.6688928942561646, 0.23018947072711696, 0.42216829798919603]"
B000NKJIXM,"[1.8068356513360604, 1.8068356513360604, 2.492187105291118, 2.492187105291118, 1.9314450066006164, 2.492187105291118, 2.492187105291118, 2.42988242765884, 2.492187105291118, 2.492187105291118, 0.5788529203499321, 0.5491584196602726, 0.1777640877012124, 0.16064841920687056, 0.4062032160169952, 0.0715625214792948, 0.5686607015522858, 0.2879153838104774, 0.1770608567227032, 0.12521105551498277]"
B000URXP6E,"[71.96267348320112, 36.46499452829708, 103.56934021096781, 81.42112977870242, 95.33968406018519, 77.4888972098517, 83.64438696026512, 105.34282358927001, 99.80728681115082, 105.18299397978888, 1.3043544971592513, 1.3133058864386922, 1.2884933139409496, 1.3312467692723244, 1.4583658848826926, 1.6044203600522602, 1.2413312442975464, 1.1850830899922324, 1.1204686724591202, 1.5877575029128368]"
B0010ZBORW,"[0.5027349813684592, 0.19081949810387522, -0.8107374006473114, -0.8621106527990618, -0.563083891876822, -1.60625302742561, -0.295900905058415, -0.1890579012928777, -3.1343692105607155, -1.560346304753181, 0.5262848591079697, 0.5947483665614589, 0.5486172553605508, 0.313398302926161, 0.6836609422656709, 0.5473838882412759, 0.2859527315936279, 0.19350043564519376, 0.6711852408621016, 0.25353061813058664]"
B0011FYB5I,"[1.1875, 1.1875, 1.1875, 1.1875, 1.1875, 2.375, 1.1875, 1.375, 1.375, 1.375, 0.5258530420433174, 0.3616684470339462, 0.04501577669571206, 0.2411270197212173, 0.017398986699865598, 0.4926262270474876, 0.2906126176854474, 0.26889078762931656, 0.46120128107904895, 0.5715720046417089]"
B00126LYJM,"[0.0, 0.0, 0.6210937165818624, 0.0, 0.3105468582909312, 0.0, 0.3105468582909312, 0.0, 0.3105468582909312, 0.6210937165818624, 0.5435344012481721, 0.11879424655963881, 0.29972415083228143, 0.3569825885187536, 0.36085686412671647, 0.41375410680943087, 0.3227385298830281, 0.11765312660870343, 0.4596971374924032, 0.5247940065266753]"
B0012XPRO8,"[1.3721356363059853, 0.8108074214535368, 2.4947920660108824, 1.060286628054625, 1.5592450412568015, 0.7484376198032647, 0.8108074214535368, 2.4947920660108824, 2.4947920660108824, 2.4947920660108824, 0.6034538257585051, 0.3219630567144111, 0.06460598484688156, 0.33478040914151014, 0.14359026350751627, 0.40362291219175, 0.29765162794616806, 0.19874336648482518, 0.20299147261990272, 0.5417502066362176]"
B0012Y0ZG2,"[155.12138887072274, 57.45574529617219, 233.9724569768173, 158.25058638152137, 203.178113068591, 160.1827183726147, 180.63857276126402, 234.00742371238618, 229.25117449891508, 235.0405171796457, 1.6189579785157064, 1.1618494641158572, 1.6226628091544844, 1.4587039411913596, 1.646332421084989, 1.2771033777632192, 1.465372495839588, 1.1997686059267672, 1.4257196376366001, 1.486806834798221]"
B0013NB7DW,"[-0.055470202381073364, -0.6265629975009366, -0.2406267128029289, -1.3187499766572257, 0.07421677677521576, -1.6218760183446475, -1.2523441606936516, -0.6156267128029289, -0.30468903918835855, -1.1218760183446475, 0.6344339229888446, 0.7585064463257309, 0.62586210801051, 0.5302617791786478, 0.3380544940620878, 0.20914504439023196, 0.793896107806275, 0.4560663656873256, 0.653623256914132, 0.6920231910588832]"
B0014SQQ3M,"[0.27336612991238857, 0.0, 0.5467322598247771, 1.2301475846057486, 0.27336612991238857, 0.27336612991238857, 0.27336612991238857, 0.5467322598247771, 0.5467322598247771, 0.8884399222152628, 0.36276744598290894, 0.21540587021215585, 0.5912796389721969, 0.6041100870317613, 0.6106703968076828, 0.16162308693660876, 0.37007549952733343, 0.42759031547638726, 0.5119410069476292, 0.35913543462292424]"
B00155Z6V2,"[2.04960902722495, 1.8632809338408636, 2.484374578454485, 1.2421872892272425, 2.484374578454485, 1.987499662763588, 1.055859195843156, 2.484374578454485, 2.484374578454485, 2.484374578454485, 0.09879672760714324, 0.4193839954222687, 0.6667718338848416, 0.4607339926462472, 0.36219130441555836, 0.18444785714455142, 0.06140647719773524, 0.09420997878584945, 0.24310682309460796, 0.4356289667133905]"
B001E96LUO,"[0.3765625873887902, -0.4285153808879498, 0.9394532809299925, 2.926953079889056, 2.9890624486065267, 3.113281186041468, 0.8152345434950512, 1.4984375993872292, 0.8152345434950512, 0.5667970686251682, 0.6483391710894749, 0.2194044326113957, 0.08916835604816647, 0.3855799015294691, 0.2123526835255561, 0.25812368387673845, 0.16301007308971235, 0.2790499164279864, 0.04154388410234795, 0.3432392943883238]"
B001ET7FZE,"[1.4208340120138914, 0.8061199373542159, 3.601823152786228, 2.611328052477108, 4.0384115753706755, 1.856641245738379, 1.1121098941791245, 3.414713828821465, 3.4182291786912833, 4.4749999979551225, 0.41762418191169054, 0.48880570721365085, 0.14696862522451096, 0.15255052785040013, 0.20223793622165828, 0.4162738977257343, 0.5879655863016702, 0.5894768920380233, 0.4085409052541601, 0.40726186959468225]"
B001LNODUS,"[2.492187500464221, 1.1214843752088994, 2.492187500464221, 2.492187500464221, 2.492187500464221, 1.5576171877901381, 2.492187500464221, 2.492187500464221, 2.492187500464221, 2.492187500464221, 0.1583067977465038, 0.5177972194510231, 0.6373743669100006, 0.3750938902639574, 0.39544761736321515, 0.5442755529603756, 0.19319149960207155, 0.18206846106219507, 0.4284409249519666, 0.16025984147070232]"
B001OHV1H4,"[29.855885232703464, 14.048853723737562, 56.13315618760931, 34.881886671408566, 40.16108656164989, 34.720923333339165, 31.228149247776656, 56.68882064669342, 55.64116450735477, 57.72307075344896, 1.0752314564102905, 1.0689459907291516, 1.0756953627691532, 1.4395203657087354, 0.9700673372769997, 1.3875075065302633, 1.418080627224919, 1.2848449779476285, 1.1345835280056926, 1.302460498671715]"
