Key,Array
A10JB7YPWZGRF4,"[8.4375, 6.875, 2.1875, 0.0, 7.8125, 4.375, 9.6875, 10.0, 0.0, 0.0, 0.2341285711119468, 0.3906347871694174, 0.20343600494386546, 0.4440337738281189, 0.39948355871264857, 0.058041255608145534, 0.4871366645967785, 0.2497511145227359, 0.29337107948909813, 0.19820797870873005]"
A10M2MLE2R0L6K,"[0.637139560263219, 0.06609845218709343, -0.24229110601692194, 0.3998969751340765, 0.4418790600087672, -0.7596826111715378, 0.3871400425279462, 0.44885859074300005, 0.2772412099227331, 0.0, 0.49352294030998617, 0.34916520364926984, 0.4011167064418007, 0.5537394752810612, 0.31660852436162823, 0.30329512373571105, 0.18603807370013603, 0.1134985069744171, 0.07781172716433064, 0.5029629776711922]"
A10P0NAKKRYKTZ,"[4.4171512381955065, 2.378466051336042, 4.07737037371893, 4.07737037371893, 3.397808644765774, 2.378466051336042, 2.378466051336042, 2.378466051336042, 1.3591234579063096, 0.0, 0.5310271705826005, 0.36918414063947685, 0.24016424373765266, 0.47228054727998126, 0.2730084564443788, 0.03787672174959379, 0.30006979884733714, 0.597507910723479, 0.2610096377512188, 0.5256077592163907]"
A1118RD3AJD5KH,"[2.2781160919175427, 2.2781160919175427, 2.2781160919175427, 1.1390580459587714, 2.2781160919175427, 1.1390580459587714, 2.2781160919175427, 2.2781160919175427, 2.2781160919175427, 0.0, 0.3379357684646114, 0.15491504660826524, 0.5332578969513211, 0.28825702624633615, 0.3148446114699237, 0.2234464570212303, 0.6277427052045563, 0.100039684118854, 0.4418675220954517, 0.4239978747482483]"
A115LE3GBAO8I6,"[1.614848073216983, 2.4843816511030505, 2.4843816511030505, 1.614848073216983, 2.4843816511030505, 1.614848073216983, 2.4843816511030505, 2.4843816511030505, 1.4906289906618304, 0.0, 0.08930601558388976, 0.1063234071704013, 0.3904861633919118, 0.32979820620384664, 0.23408930829329877, 0.2223889875619517, 0.22198423598968933, 0.2185515282232422, 0.2915330656001519, 0.4135409791426441]"
A11AZPF8R6A1F8,"[8.247471731976118, 8.247471731976118, 8.247471731976118, 5.360856625784477, 8.247471731976118, 8.247471731976118, 8.247471731976118, 8.247471731976118, 8.041284938676714, 0.0, 0.25638245610254906, 0.28522722247863774, 0.5628378489767674, 0.22434039188800672, 0.09301879985383547, 0.2862190733817016, 0.5548589628041035, 0.3488979171885754, 0.46374137566101636, 0.33867129124950146]"
A11L1TI883AOSV,"[7.593740689693595, 5.125774965543177, 2.847652758635098, -1.7085916551810592, 7.593740689693595, 5.695305517270196, 7.593740689693595, 7.593740689693595, 3.986713862089138, 0.0, 0.04817877342485837, 0.08796565677203778, 0.29584480491271503, 0.3483025498481164, 0.5343633085818185, 0.3927828174431615, 0.15272886220656762, 0.31015295664990744, 0.4174976141152378, 0.11338156784517345]"
A11QGZ39A7ZF0X,"[13.381170749971018, 15.350701205241645, 13.321028034989101, 11.562039347987634, 14.722189997100026, 13.333124786085655, 15.040548220897909, 15.486246661775983, 11.247192112161542, 0.5031290313581352, 0.1376918232909414, 0.26514127331301385, 0.07920148331688308, 0.25703023678811654, 0.6344312754887501, 0.5100367650590594, 0.22696380041513675, 0.14151624441612196, 0.08936122360446823, 0.09238761535531309]"
A1210QJT54O8T0,"[5.746910439523539, 9.09417312161683, 7.000430815065139, 7.628165061606303, 8.4676148542488, 7.50784810014172, 7.018004244197393, 6.632848597076222, 7.498494412683659, 0.0, 0.4098059829321243, 0.43196470568242906, 0.5796728019107712, 0.4998164362444609, 0.21396548443451843, 0.25344826241794305, 0.6387235624033444, 0.1466758050838824, 0.4464614137523378, 0.10155125297127887]"
A125PSVY71Q7KZ,"[3.7837144920233836, 3.7837144920233836, 1.8918572460116918, 1.6215919251528788, 5.405306417176262, 5.405306417176262, 5.270173756746855, 4.189112473311603, 1.486459264723472, 0.0, 0.5408148719350571, 0.5919436717995012, 0.38893287358898865, 0.17225512673824328, 0.5901944515235938, 0.07131569258693836, 0.06867245965485899, 0.025349827416955188, 0.015993926077811384, 0.5881647070654238]"
