Key,Array
A115LE3GBAO8I6,"[1.6148441028290805, 0.6832032742738418, 2.4843755428139698, 1.490625325688382, 1.490625325688382, 1.6148441028290805, 1.6148441028290805, 2.1117192113918746, 2.4843755428139698, 2.4843755428139698, 0.5454444894870286, 0.5230450907526101, 0.487298741557906, 0.13877104100571777, 0.5964477855245489, 0.12605064086390663, 0.4135101275475047, 0.5055383766600229, 0.1882735384382541, 0.4667145349012587]"
A11AZPF8R6A1F8,"[1.875, 0.0, 5.0, 1.875, 3.625, 5.0, 3.0, 5.0, 5.0, 5.0, 0.21819553591696075, 0.5217599725634963, 0.4439810227022805, 0.5104257899654931, 0.47879238028891624, 0.22418434070895077, 0.4853012408231949, 0.17082553490140337, 0.26557338787827595, 0.6287955437395708]"
A11L1TI883AOSV,"[0.621093671133136, 0.8074217724730768, 2.4222653174192303, 1.863281013399408, 1.7390622791727808, 0.9937498738130176, 1.6148435449461536, 2.484374684532544, 2.4222653174192303, 2.049609114739349, 0.08189273193210823, 0.5918777924156121, 0.5965716567026333, 0.25518917215321063, 0.6403413822157374, 0.28347148384851817, 0.3844667917617587, 0.07218305196192044, 0.30976176806975514, 0.5607613371611322]"
A11QGZ39A7ZF0X,"[1.676953551803908, 0.0, 2.4843756323020862, 1.4906253793812516, 2.4843756323020862, 1.3664065977661473, 0.6832032988830736, 2.4843756323020862, 2.4843756323020862, 2.4843756323020862, 0.3360076090780218, 0.18748836904907887, 0.5289417612278451, 0.17797926469318867, 0.5957867470685103, 0.23355527139994883, 0.17732833077446894, 0.13162660717646815, 0.3143065553638073, 0.17141783017842968]"
A125PSVY71Q7KZ,"[1.3664061393438813, 0.0, 4.0992184180316436, 4.596093377793055, 2.7328122786877627, 3.105468498508821, 1.3664061393438813, 4.968749597614114, 3.105468498508821, 3.850780938150938, 0.5092369415997533, 0.5725594241089736, 0.566693801430725, 0.14777691845880783, 0.3768382650604421, 0.1636841450497912, 0.5911821064455376, 0.6385058019637854, 0.5699205089885522, 0.08774116565609553]"
A12BLGAAZBUU96,"[0.9375001040712031, 0.0, 0.7500000832569624, 1.5000001665139249, 0.7500000832569624, 0.3750000416284812, 0.31250003469040105, 1.0625001179473634, 0.6875000763188823, 1.0625001179473634, 0.4140550190862706, 0.556860355375706, 0.231444751064654, 0.4869397537583648, 0.0821143985868965, 0.26723509430651937, 0.6385588221019448, 0.555696184276984, 0.2872332657603168, 0.5749054547519643]"
A12I397MEWA1VB,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3321910658146723, 0.1251785349598734, 0.2976807149861871, 0.4281383813012271, 0.2568735072887572, 0.4174855040519255, 0.05848779742012829, 0.5392542926789131, 0.5205109956623013, 0.4364770953861427]"
A12X3J7IITW1J6,"[2.0851629025662004, 0.8585964892919649, 2.4531328265484706, 1.9011779405750648, 2.4531328265484706, 1.6558646579202179, 2.3304761852210474, 2.4531328265484706, 2.4531328265484706, 2.4531328265484706, 0.2547779899421505, 0.3631142267823288, 0.4032205823608256, 0.5462951445317801, 0.5852469857618677, 0.4062342946249134, 0.5465361606534831, 0.3570881871135355, 0.29001344595190026, -0.003438947335848445]"
A13PKMKQ0177SH,"[-0.125, -0.125, -0.125, -0.125, -0.125, -0.125, -0.125, 0.0, -0.125, -0.125, 0.16513362822615357, 0.551383525456852, 0.44831857328554187, 0.21822272910675095, 0.29748778823615235, 0.6345697885616972, 0.4650075032340389, 0.3292183261655693, 0.32753773876618286, 0.11942062225993422]"
A14QBW6X0Q1YSD,"[4.596094118633378, 1.2421875996306424, 4.96875039852257, 3.8507815588549916, 4.96875039852257, 4.96875039852257, 3.1054689990766065, 4.96875039852257, 4.96875039852257, 4.96875039852257, 0.18777969869973796, 0.3748351654932893, 0.23320340549948604, 0.15883994053098444, 0.22659006697661463, 0.3103924943581635, 0.49806385193268343, 0.5986319863125426, 0.4818664034170352, 0.30412677854438686]"
A14SJT4M0BP298,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08807101890180764, 0.6483689317965077, 0.3618486437999644, 0.6370314360769471, 0.3601941796164464, 0.5645885820267487, 0.26025673830421514, 0.6081636257076658, 0.3903942384919917, 0.14144338166151516]"
A153D6FAV4L389,"[2.484374759407435, 1.987499807525948, 2.484374759407435, 2.484374759407435, 2.484374759407435, 2.484374759407435, 2.484374759407435, 2.484374759407435, 2.484374759407435, 2.484374759407435, 0.1109451772467006, 0.4836868282762798, 0.09809221293929495, 0.6520424886529799, 0.5497526866823289, 0.3797594420103366, 0.16980789994396905, 0.1011647627976682, 0.4234214719745016, 0.5214264111489443]"
A15IDG691XH2XI,"[1.1179684581705165, 0.0, 3.8507802448095565, 1.36640589331952, 3.602342809660553, 0.8695310230215128, 1.36640589331952, 3.3539053745115495, 3.3539053745115495, 4.471873832682066, 0.2000138745108031, 0.49785613748758684, 0.5329752240187356, 0.20670896932625635, 0.41698901725548404, 0.31867907767848574, 0.30448658545795426, 0.6394453981423789, 0.6264220706074448, 0.23019997128495218]"
A15NM9DLEOB4XI,"[0.062109380943079065, 0.12421876188615813, 0.3726562856584744, 0.062109380943079065, 0.12421876188615813, 0.062109380943079065, 0.062109380943079065, 0.24843752377231626, 0.43476566660155347, 0.3726562856584744, 0.07598696116215134, 0.3781696155501479, 0.5665486727949054, 0.4738870949653844, 0.48996375272459763, 0.41730245700129825, 0.41340978099762354, 0.6104394316603255, 0.10371517196348803, 0.5840209165722612]"
A15TMUEDCVMOBF,"[-0.06171877250140297, 0.0, 0.06171877250140297, -0.06171877250140297, 0.0, -0.30859386250701487, -0.12343754500280595, 0.06171877250140297, -0.2468750900056119, -0.2468750900056119, 0.4138213322389985, 0.4210293272864033, 0.46741308177763036, 0.3104042474304984, 0.11025368591722304, 0.16707057004803044, 0.0883330701102774, 0.2495694168722393, 0.5088923299552645, 0.24975480654842458]"
A173YMJ9XFVRSY,"[0.5613281220719745, 0.375, 0.43515624414394893, 0.0625, 0.8101562441439489, 0.8113281220719745, 0.24882812207197447, 0.7464843662159234, 0.8101562441439489, 1.1828124882878979, 0.610072653993037, 0.4300238327707066, 0.19995767331598438, 0.5473931059911527, 0.21629886198201426, 0.08134297208143168, 0.2080292883233723, 0.3659491452949071, 0.08420093970886079, 0.4443582772286451]"
