reviewerID,itemID,overall,fine_feature,coarse_feature
A3CIUOJXQ5VDQ2,B0000530HU,5,[-0.125 -0.125 -0.125 -0.125 -0.125 -0.125 -0.125 -0.125 -0.125 -0.25 ],0.5218557657842299
A3H7T87S984REU,B0000530HU,5,[0.    0.    0.    0.    0.    0.    0.    5.    4.875 0.   ],0.5000040781344969
A3J034YH7UG4KT,B0000530HU,1,[0.    0.    0.    0.    0.    0.625 0.    0.    0.    0.375],0.47190727517835174
A2UEO5XR3598GI,B0000530HU,5,[0. 0. 5. 0. 0. 5. 0. 5. 5. 5.],0.5343206828496379
A325V83PQAIH80,B00006L9LC,5,[0.    0.    0.    0.    3.125 0.    0.    0.    0.    0.   ],0.4812703943274686
A193RG4GIJ5OLM,B00006L9LC,5,[0.   0.   0.   0.   0.   0.   0.   0.   4.75 0.  ],0.49060833115413066
A18EJ6MMSR1GGA,B00006L9LC,5,[ 0.   0.   0.   0.   0.   0.  -3.5  0.  -3.   0. ],0.5156124814581932
AB4T4E0AGMKRA,B00006L9LC,5,[0.    0.    0.    2.75  0.    5.    0.    0.    4.125 5.   ],0.49371869445510674
A39JMSWQA06ZN6,B00006L9LC,5,[0.75  1.125 1.125 1.125 1.125 1.125 0.75  1.125 1.125 1.125],0.5590821956284024
ATCQ2K4QG03T4,B00006L9LC,5,[0. 0. 0. 0. 0. 0. 0. 0. 5. 0.],0.49687165078133144
A3IYF2TNOC0XYO,B00006L9LC,5,[-0.25  -0.25  -0.25  -0.25  -0.25  -0.25  -0.25  -1.375 -0.25  -0.25 ],0.4999944943734408
A1ZH9XEBQIPLWT,B00006L9LC,5,[2.75  2.75  2.75  2.75  1.375 2.75  2.75  2.75  2.75  2.75 ],0.5249435686851786
A1BR2MY80R6CX4,B00006L9LC,5,[4.625 4.375 4.375 5.    4.625 4.375 2.75  5.    4.375 5.   ],0.4968760230257937
A2SU85PYAB6M67,B00006L9LC,5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.5031229717872401
A3DLYCA3TUHOZM,B00006L9LC,5,[0.   0.   0.   0.   0.   0.   0.   2.75 0.   0.  ],0.5031280654085659
ARZQ7AEFUXNPN,B00006L9LC,5,[5. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.5031268945398967
A2EAXA5O0FMMNV,B00006L9LC,5,[0. 0. 0. 0. 0. 5. 0. 0. 0. 5.],0.51251305351429
A1J7I5095JBHH,B00006L9LC,1,[0. 0. 0. 5. 0. 0. 0. 0. 0. 5.],0.5093708993562933
A1IMRCSU4F0409,B00006L9LC,5,[0. 0. 0. 0. 0. 0. 5. 0. 0. 0.],0.5343413365077698
AOG134B92MGKO,B00006L9LC,4,[5.   3.25 5.   5.   5.   5.   5.   5.   5.   5.  ],0.49999827219302817
AHQFK3PX6EKQH,B00006L9LC,5,[0.    0.    0.    3.625 0.    0.    0.    0.    0.    0.   ],0.5
ACDH4NYWRB1PR,B00006L9LC,5,[0.    0.125 0.125 0.125 0.125 0.    0.    0.    0.    0.   ],0.5123040818876612
A29C6ZBT7HP13Q,B00006L9LC,5,[0.    0.    0.    3.375 0.    0.    0.    3.375 0.    0.   ],0.49999876757521383
AJZGMDK1NA990,B00006L9LC,4,[0.    0.    0.    0.    0.    0.    0.    0.    0.    4.875],0.49687891369171705
A1T81NJLOGPL3P,B00006L9LC,5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.5156423821013519
AYY463Q7V3LTU,B00006L9LC,5,[0.   0.   0.   0.   3.25 0.   0.   0.   0.   0.  ],0.5218587181263367
A23S9B3XGR5CMX,B00006L9LC,5,[ 0.     0.     0.     0.     0.     0.    -2.125  0.     0.     0.   ],0.5187716477046282
