Key,Array
B0000530HU,"[-0.06523197072302873, -0.06523197072302873, 2.6063714435251604, -0.06523197072302873, -0.06523197072302873, 2.9013134905116305, -0.06523197072302873, 5.106391834197645, 5.043891324430833, 2.718104700994014]"
B00006L9LC,"[65.47803386513722, 43.47024231865839, 68.18911628652101, 175.57990175395076, 116.48462997919339, 82.8642678010802, 64.65063304019917, 90.33953127757843, 133.72353205644467, 90.16102479049434]"
B00021DJ32,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8750105170565372, 0.0]"
B0002JHI1I,"[0.0, 0.0, 5.156196721947049, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
B0006O10P4,"[0.0, 0.0, 7.281334363419514, 2.3751054833500183, 0.0, 2.3751054833500183, 0.0, 0.0, 0.0, 2.453107814672475]"
B0009RF9DW,"[46.83228219429012, 36.04272463097104, 77.20429963071169, 204.40694213221232, 120.04053874006651, 109.04800585383938, 47.44010411030099, 91.10978054918334, 128.98216057912478, 66.78740206344818]"
B000FI4S1E,"[50.936487009206395, 31.04196105948009, 72.33686404891021, 208.8356615089598, 125.67819470014314, 109.40224133589027, 51.19686795144643, 103.21357729429947, 116.27369785485291, 75.9690416953197]"
B000FOI48G,"[0.1898432875645402, 0.0, 0.0, 2.800744990473858, 0.0, 6.790932667552908, 0.0, 1.7500026153340849, 14.08000081630708, 2.0155730019165787]"
B000FTYALG,"[-0.06523197072302873, -0.06523197072302873, -0.06523197072302873, -0.06523197072302873, -0.06523197072302873, -0.06523197072302873, -0.06523197072302873, -0.06523197072302873, -0.06523197072302873, -0.13046394144605747]"
B000GLRREU,"[0.0, 0.0, 0.0, 2.4687265875617634, 0.0, 4.275354441803935, 0.0, 2.129689190463165, 9.04879681633627, 4.531198776138415]"
B000LIBUBY,"[0.0, 0.0, 2.5156750647817794, 0.0, 0.0, 7.8278445142666095, 0.0, 2.515612913795251, 2.5156750647817794, 0.0]"
B000NKJIXM,"[0.0, 0.0, 0.0, 0.6115967058168994, 0.0, 16.565600978519612, 0.0, 10.382813202041614, 17.532422948537658, 5.957697640502856]"
B000PKKAGO,"[0.0, 0.0, 0.0, -0.7042959993681785, 0.0, -0.19414259770309827, 0.0, 1.0824157556043585, -1.7285243681343103, -2.424613985931645]"
B000URXP6E,"[116.67810790559186, 69.20523836106648, 142.11622984987468, 396.5358801460858, 257.27974472337877, 186.05649518085283, 102.61678748624786, 195.013899870093, 262.7100339774846, 152.1147428686741]"
B000V5Z4J6,"[0.0, 0.0, 2.4687638257327977, 4.528135662668437, 0.0, 8.522297152688797, 0.0, 2.4687638257327977, 9.465660914040068, 8.459406235265376]"
B000VUXCGI,"[0.0, 0.0, 1.7768574455719268, -5.312054220452449, -5.312054220452449, 0.0, 0.0, 0.0, -2.9201307360287014, 0.0]"
B000VV1YOY,"[0.0, 0.0, 4.96874202656171, 0.0, 0.0, 10.03125052016153, 0.0, 1.6757580751856147, 10.031231647969822, 0.0]"
B000W0C07Y,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.906251129993409, 0.0, 0.0]"
B000WR2HB6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.098463559392638, 0.0, 0.0]"
B000X2FPXC,"[0.0, 0.0, 0.0, -0.11953685319628007, 0.0, 0.0, -2.1516633575330415, 0.0, 0.0, 0.0]"
B000X7ST9Y,"[0.0, 0.0, 0.0, 0.0, 4.968786720415551, 0.0, 0.0, 0.0, 4.968786720415551, 0.0]"
B000YB70PS,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7432180300585876, 0.0]"
B0010ZBORW,"[0.0, 0.0, -2.3632170306300315, 3.6960629849645135, 0.0, 26.564403763503748, 2.6539419623040628, 4.830957674075118, 34.01453645055028, 5.605815786798068]"
B0011FYB5I,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.44570729389232566, 0.0, 0.0]"
B00120VWTK,"[0.0, 0.0, 2.5312273823206395, 2.5312273823206395, 0.0, 0.0, 0.0, 0.0, 2.5312273823206395, 2.5312273823206395]"
B00126LYJM,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.7546875979633074, 0.0, 0.0, 0.0, 0.0]"
B0012XPRO8,"[0.0, 0.0, 5.681732050215301, 1.2245720109869105, 0.0, 5.875085525634287, 0.0, 0.0, 6.712950585783225, 4.843866990066362]"
B0012Y0ZG2,"[253.39389758393983, 176.88757285919928, 312.5688464276992, 836.8247572522088, 533.3482670929886, 438.3305884650203, 250.88320978423735, 409.6900380244146, 563.5975986587113, 363.0238490613537]"
B0013NB7DW,"[4.791471324825883, 0.19793292955439135, -11.219949512363495, 8.97909136732617, 0.49872402838028485, 5.431550144928033, 0.19793292955439135, 6.832263122104647, -1.672991724627966, -0.347518223402833]"
B0014SQQ3M,"[0.0, 0.0, 0.0, 0.0, 0.7499376036838032, 0.0, 0.0, 0.0, 0.7499376036838032, 0.0]"
B00157OBRU,"[1.340286935489309, 1.340286935489309, 1.340286935489309, 1.340286935489309, 1.340286935489309, 1.340286935489309, 1.340286935489309, 1.340286935489309, 1.340286935489309, 1.340286935489309]"
B0017TZD7S,"[0.0, 0.0, -2.499995405133894, 0.0, 0.0, -7.749896476811922, 0.0, 0.0, 2.499996484025283, 4.999991889159177]"
B001E5PLCM,"[0.0, 0.0, 2.406243828689834, 0.0, 0.0, 0.0, 0.0, 1.0125175043672596, 0.0, 0.0]"
B001E96LUO,"[0.0, 0.0, 0.0, 0.07815541987213548, 0.0, 2.5937687966522316, 0.0, 0.0, 0.07815541987213548, -5.031244843055628]"
B001ET7FZE,"[0.0, 0.0, 0.0, 1.0898514048624144, 0.0, 2.7087688144531215, 0.0, 0.9687568043221462, 2.5312379362739206, -0.6039072816330701]"
B001F51RAG,"[0.0, 0.0, 0.0, 0.0, 0.0, 6.381358103601877, 0.0, 0.8074266160870197, 3.493075902117033, 0.9316460954850228]"
