Key,Array
B00006L9LC,"[13.24882779008717, 13.634375004952021, 27.84218761579568, 15.281250109974417, 12.505468971635814, 17.860156925876442, 11.113672835467609, 15.583984943445058, 19.4570310937018, 23.110933076745457]"
B0006O10P4,"[0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
B0009RF9DW,"[9.431632548537749, 17.18436649889269, 27.835928257137336, 13.504288174374024, 11.38826531538728, 13.686704675483876, 10.184366233090868, 17.83631936621889, 23.07030243750472, 29.991397206399498]"
B000FI4S1E,"[10.28358202854377, 14.11990530194589, 20.879284507196132, 16.153894482526134, 16.01326927983809, 15.037866782491784, 13.086706966617381, 18.778113124153826, 25.990221574722415, 41.04800546318971]"
B000GLRREU,"[0.0, 2.5, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 0.9375003359822106]"
B000NKJIXM,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5]"
B000URXP6E,"[14.749606516721528, 32.29452865393114, 42.99726046343371, 26.53554233795867, 34.65272882292056, 24.637105782519395, 21.148822385482706, 28.499213868494728, 46.525384186076266, 42.960542159773]"
B0010ZBORW,"[0.0, 0.7546873293075274, 2.375, 2.5, 0.0, 0.0, -0.125, -3.35624916268263, 0.0, -1.1249994373792398]"
B0011FYB5I,"[1.3578123507329203, 1.3578123507329203, 1.3578123507329203, 1.3578123507329203, 1.3578123507329203, 1.3578123507329203, 1.3578123507329203, 1.3578123507329203, 1.3578123507329203, 1.3578123507329203]"
B00126LYJM,"[0.0, 0.7453124798442807, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
B0012XPRO8,"[0.0, 1.4285159292981164, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1800783763767049, 0.0, 0.0]"
B0012Y0ZG2,"[18.55228522312613, 36.995251903783256, 78.25617907422695, 35.113213327258926, 59.46437375652851, 59.97610730190749, 36.366743015917734, 65.08308171249296, 59.379227158186715, 85.23585620705924]"
B0013NB7DW,"[0.18124992276139018, 0.8687499227613902, 0.8687499227613902, 0.18124992276139018, 0.8687499227613902, 0.24374992276139018, 0.24374992276139018, 0.6812499227613902, 0.8687499227613902, 0.8687499227613902]"
B0014SQQ3M,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3921863308717672, 0.0]"
B00155Z6V2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.25, 0.0]"
B001E96LUO,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5156242596701386, 4.9999989242692955, 0.0, 2.5156242596701386]"
B001ET7FZE,"[0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.75, 0.0]"
B001LNODUS,"[0.0, 2.5624871960887425, 2.5624871960887425, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
B001OHV1H4,"[13.343746927697872, 10.860933741798144, 17.987887179449928, 10.976558248259348, 12.840620981431613, 18.371080655668244, 14.542573350866249, 19.06444864634671, 13.09452738841801, 18.917965060096765]"
B002GP80EU,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9375, 2.0625, 0.0]"
B004CALFE4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0]"
