Key,Array
A105A034ZG9EHO,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A10JB7YPWZGRF4,"[0.0, 0.0, 0.0, 6.488665726928646, 5.898787024480587, 0.0, 0.0, 0.0, 0.0, 0.0]"
A10M2MLE2R0L6K,"[0.0, 0.0, 0.07968683102921803, -1.0492135085918788, 0.0, -0.23046784601905745, 0.0, 1.6757580751856147, 1.7499909280370975, 0.0]"
A10P0NAKKRYKTZ,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2656186361573287]"
A10ZJZNO4DAVB,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1118RD3AJD5KH,"[1.1601015442861624, 1.1601015442861624, 2.320203088572325, 2.320203088572325, 2.320203088572325, 2.320203088572325, 2.320203088572325, 2.320203088572325, 2.320203088572325, 2.320203088572325]"
A115LE3GBAO8I6,"[0.0, 0.0, 0.0, 2.7336896353146614, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A11AZPF8R6A1F8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.780999373231305, 7.780999373231305, 0.0]"
A11L1TI883AOSV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.863216653599046, 0.0]"
A11QGZ39A7ZF0X,"[4.5156172178314815, 0.0, 0.0, 8.529963039757803, 7.3752417289831484, 1.3663447252140903, 0.0, 1.6405689737430496, 5.74370353540063, 1.5918471124168558]"
A1210QJT54O8T0,"[2.3125, 0.0, 7.67335997248665, 2.147652641023218, 0.0, 0.0, 0.0, -0.25624665902004556, 6.358545297457793, 4.6406209407363965]"
A121C9UWQFW5W6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A125PSVY71Q7KZ,"[0.0, 0.0, 0.0, 4.905997612275847, 4.905997612275847, 3.6794982092068853, 0.0, 4.292747910741366, 0.0, 0.0]"
A125TMC44CJBKK,"[0.0, 0.0, 0.0, 0.0, 6.055050895595537, 6.055050895595537, 0.0, 0.0, 0.0, 0.0]"
A12B5Y225ADJWE,"[0.0, 0.0, 0.0, 0.0, 0.0, 5.809291157495331, 0.0, 0.0, 0.0, 0.0]"
A12BLGAAZBUU96,"[0.0, 0.0, 0.0, 0.0, 2.3062451932871277, 0.0, 0.0, 0.0, 0.0, 0.0]"
A12HTKLZWLEAF5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.962747065408147, 0.0, 0.0]"
A12HWYJ6G58FGV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.3328283688209757, 0.0, 0.0, 0.0]"
A12I397MEWA1VB,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A12X146LZM6KM0,"[0.0, -0.3773523372775228, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A12X3J7IITW1J6,"[0.0, 0.0, 0.0, 0.0, 7.312551056670086, 0.0, 0.0, 7.312551056670086, 0.0, 0.0]"
A132O42MLTHYSX,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.359470598178117]"
A13B2J5IBGS8Y2,"[0.0, 0.0, 0.0, 0.0, 1.320631874889335, 0.0, 0.0, 0.0, 0.0, 0.0]"
A13PKMKQ0177SH,"[0.0, 0.0, 0.0, -1.5187269820182028, 0.0, 0.0, 0.0, 0.0, -2.784332800366705, 0.0]"
A149WHPACMTSLO,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.264062564885994]"
A14BV6AW987ZDN,"[9.998915341624159, 4.999457670812079, 4.999457670812079, 4.999457670812079, 9.998915341624159, 4.999457670812079, 4.999457670812079, 4.999457670812079, 4.999457670812079, 4.999457670812079]"
A14QBW6X0Q1YSD,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.734200808306501, 0.0]"
A14R11HV2H7AVW,"[5.156217114305769, 3.8671628357293266, 5.156217114305769, 5.156217114305769, 5.156217114305769, 5.156217114305769, 5.156217114305769, 5.156217114305769, 5.156217114305769, 5.156217114305769]"
A14SJT4M0BP298,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A14Y0FPHPBKBAF,"[0.0, 0.0, 0.0, 0.0, 12.265547707971255, 0.0, 0.0, 0.0, 0.0, 0.0]"
A14YENXHLKG9WL,"[0.0, 0.0, 0.0, 4.687915385982719, 0.0, 0.0, 0.0, 9.375830771965438, 9.375830771965438, 0.0]"
A150XCEZV6KF5G,"[0.0, 0.0, 0.0, 7.546887475403382, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A153D6FAV4L389,"[5.156614997809018, 5.156614997809018, 5.156614997809018, 5.156614997809018, 5.156614997809018, 5.156614997809018, 5.156614997809018, 5.156614997809018, 5.156614997809018, 5.156614997809018]"
A154MPHVRSZVQN,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.45467671537073, 6.834363580980773]"
A156IOMOA59X7N,"[0.9375, 0.9375, 0.9375, 0.9375, 0.375, 1.3125, 1.3125, 0.9375, 0.9375, 0.375]"
A1577W1CXJ2WI9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A157AUOFPJQ46Q,"[0.0, 0.0, 2.406243828689834, -0.6367279930885538, 4.968786720415551, 0.0, 0.0, 0.0, 3.5679851356207326, 0.0]"
A15IDG691XH2XI,"[0.0, 0.0, 0.0, 0.0, 4.125, 0.0, 0.0, 0.0, 0.0, 0.0]"
A15IKO3Q6RSA1V,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A15NM9DLEOB4XI,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.38671582969188334, 0.0, 0.0]"
A15T9G38F589KM,"[0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 9.999942714324025, 0.0]"
A15TMUEDCVMOBF,"[0.0, 0.0, 1.2656250728610243, 0.0, 0.0, 1.7718751020054342, 0.0, 0.0, 0.0, 0.0]"
A15ZAILX1XGI0A,"[0.0, 0.0, 0.0, 10.062510686710178, 0.0, 0.0, 0.0, 10.062510686710178, 0.0, 0.0]"
A165FHUTQU6L2Z,"[-0.4999632395347111, -0.7499448593020667, -0.4999632395347111, -0.4999632395347111, -0.4999632395347111, -0.4999632395347111, -0.4999632395347111, -0.4999632395347111, -0.4999632395347111, -0.7499448593020667]"
A173YMJ9XFVRSY,"[0.0, 0.0, 1.6609939859235132, 2.453145434304879, 0.0, 2.453145434304879, 0.0, 0.0, 0.0, -2.1124038623503085]"
A177B2VPWX4P55,"[0.0, 0.0, 0.0, 9.68766988358538, 0.0, 20.3736947026296, 0.0, 0.0, 0.0, 0.0]"
A17B1H60A6A96P,"[4.906221636193991, 3.679666227145493, 3.679666227145493, 4.906221636193991, 4.906221636193991, 4.906221636193991, 4.906221636193991, 4.906221636193991, 4.906221636193991, 4.906221636193991]"
A17ZAS11CK1HG8,"[0.0, 0.0, 0.0, 0.0, 5.151586106887143, 0.0, 0.0, 7.604722348261973, 0.0, 0.0]"
A181EKCGC3RGHL,"[0.0, 0.0, 0.0, 7.359408837759682, 0.0, 0.0, 0.0, 0.0, 7.359408837759682, 0.0]"
A1888H788ZLJUQ,"[2.943195669591491, 2.943195669591491, 2.943195669591491, 2.943195669591491, 2.943195669591491, 2.943195669591491, 2.943195669591491, 2.943195669591491, 2.943195669591491, 2.943195669591491]"
A18E4UPIBMJNVZ,"[0.18164240326548017, 0.18164240326548017, 0.18164240326548017, 0.18164240326548017, 0.18164240326548017, 0.36328480653096035, 0.0, 0.18164240326548017, 0.36328480653096035, 0.18164240326548017]"
A18EJ6MMSR1GGA,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -7.218574740414704, 0.0, -6.1873497774983175, 0.0]"
A18HENNBJ25817,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -11.619754786613639, 0.0, 0.0, 0.0]"
A18KOO6VMJJ70S,"[0.0, 0.0, 4.968761194896489, 4.968761194896489, 0.0, 0.0, 0.0, 0.0, 4.968761194896489, 0.0]"
A190ENIBZ72LMF,"[0.0, 0.0, 0.0, 0.0, 9.812704467784366, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1929HU28OJ7D8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13.202150691621481, 0.0]"
A193RG4GIJ5OLM,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 11.651947864910602, 0.0]"
A19AWUK1MWTJEN,"[-1.471936890075471, -0.7359684450377355, -2.2079053351132063, 1.0749217938298785, -2.2079053351132063, -1.471936890075471, -0.7359684450377355, 1.0749217938298785, -1.471936890075471, 1.810890238867614]"
A19BNMVUQDMFGK,"[0.0, 0.0, 10.312319320704104, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.312319320704104]"
A19EIBWOIY3U1R,"[0.0, 0.0, 0.0, 9.56253995376858, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A19GO5VNH8D1TF,"[0.0, 0.0, 0.0, 0.0, 0.0, 9.750048136462903, 0.0, 0.0, 0.0, 0.0]"
A19KLUZ1XD3SRN,"[0.0, 0.0, 2.5468792406502363, 0.0, 0.0, 2.5468792406502363, 2.5468792406502363, 0.0, 0.0, 0.0]"
A19Q4TR24DNXB5,"[0.0, 0.0, 0.0, 7.687371910011567, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A19XMHRB3G4DIR,"[0.0, 0.0, 2.4999947100965554, 0.0, 0.0, 2.5780812202523413, 2.4491771592397242, 1.4999968260579333, 0.0, 0.0]"
A1A6EANMBA02NW,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1A7LP8GUKEPZM,"[1.6014382090270303, 0.0, 0.0, 1.6014382090270303, 1.6014382090270303, 1.6014382090270303, 1.6014382090270303, 1.6014382090270303, 1.6014382090270303, 1.6014382090270303]"
A1AEPMPA12GUJ7,"[0.0, 0.0, 7.640632242298052, 0.0, 0.0, 2.5468853547245383, 0.0, 0.0, 4.656237221524885, 0.0]"
A1AFK6DIZFYQ2V,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.374064149461319, 0.0, 0.0]"
A1AFSSJ58HYER7,"[0.0, 0.0, 0.0, 0.0, 7.875492831332743, 7.875492831332743, 0.0, 0.0, 0.0, 0.0]"
A1AG4CEH4EYXIT,"[0.0, 0.0, 0.0, 5.2481915594362665, 2.281822417146203, 0.0, 0.0, 0.0, 0.0, 0.6275011647152058]"
A1AIIT0GCPBL2M,"[0.0, 0.0, 0.0, 0.0, 0.0, 9.5, 9.5, 0.0, 0.0, 0.0]"
A1AKH1GJBE5CX5,"[0.0, 0.0, 0.0, 9.624821034722986, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1AN9A2FNOYHTX,"[0.0, 0.0, 0.0, 10.062462115321333, 0.0, 0.0, 0.0, 0.0, 10.062462115321333, 10.062462115321333]"
A1ANGX1BIKKJL1,"[0.0, 0.0, 0.0, 0.0, 11.305806408804402, 0.0, 0.0, 0.0, 11.305806408804402, 0.0]"
A1AWB5QE4T9LPM,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1B1HM7OZLXFO2,"[0.0, 0.0, 0.0, 0.0, 3.3730845037481516, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1B5D7AI4KYG98,"[3.00021668025357, 3.00021668025357, 6.00043336050714, 6.00043336050714, 6.00043336050714, 6.00043336050714, 6.00043336050714, 3.00021668025357, 6.00043336050714, 3.00021668025357]"
A1BAZK7LSPBPEJ,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.4531288584062425, 0.0]"
A1BK60GZ4QME6I,"[0.0, 0.0, 0.0, 0.0, 0.0, 8.771458048420628, 0.0, 4.875035332117133, 4.875035332117133, 0.0]"
A1BR2MY80R6CX4,"[9.192206425977183, 8.69533040295139, 8.69533040295139, 9.937520460515874, 9.192206425977183, 8.69533040295139, 5.465636253283731, 9.937520460515874, 8.69533040295139, 9.937520460515874]"
A1BRNOD64VZ1GP,"[0.0, 0.0, 0.0, 7.546982053716076, 0.0, 0.0, 7.546982053716076, 0.0, 0.0, 0.0]"
A1BS75OBCJN3EA,"[0.0, 0.0, 0.0, 5.0312873271982195, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1C03381HL8SWG,"[3.415901198285474, 3.415901198285474, 3.415901198285474, 3.415901198285474, 3.415901198285474, 3.415901198285474, 3.415901198285474, 3.415901198285474, 3.415901198285474, 3.415901198285474]"
A1C13KVGOWMI6A,"[4.125052189051722, 4.125052189051722, 4.125052189051722, 8.250104378103444, 4.125052189051722, 4.125052189051722, 4.125052189051722, 4.125052189051722, 4.125052189051722, 4.125052189051722]"
A1C3SRDH9HVEI2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.976783019288196, 0.0]"
A1C8LL1BBQ7GTO,"[0.9140662684209964, 0.30468875614033214, 0.6093775122806643, 0.6093775122806643, 0.6093775122806643, 0.6093775122806643, 0.30468875614033214, 0.6093775122806643, 0.6093775122806643, 0.6093775122806643]"
A1CEDYAX0NG4BU,"[0.0, 0.0, 0.0, -9.812522650073412, 0.0, 0.0, 0.0, 0.0, -1.9011762634517235, 0.0]"
A1CF9LS3PV9ZOR,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.937143895102134, 0.0, 0.0]"
A1CJRTU646COUL,"[8.367136646212295, 9.56244188138548, 9.56244188138548, 9.56244188138548, 9.56244188138548, 9.56244188138548, 9.56244188138548, 9.56244188138548, 9.56244188138548, 9.56244188138548]"
A1CRH843D61QTZ,"[3.850168291518728, 3.850168291518728, 3.850168291518728, 3.850168291518728, 3.850168291518728, 3.850168291518728, 3.850168291518728, 3.850168291518728, 3.850168291518728, 3.850168291518728]"
A1CURM7FGX5UJP,"[0.0, 0.0, 0.0, 3.0374548965850496, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1D18EJF6LHYDV,"[0.0, 0.0, 0.0, 0.0, 0.0, 9.812697202497086, 0.0, 0.0, 0.0, 0.0]"
A1D3G0HL756T8B,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1D3RMFWUWRASV,"[0.0, 0.0, 0.0, 0.7828054658642872, 0.0, 0.0, 0.0, 0.0, 0.0, 1.761312298194646]"
A1D82V07WELVCE,"[4.584335994780037, 0.0, 2.2921679973900186, 2.2921679973900186, 6.876503992170056, 2.2921679973900186, 0.0, 6.876503992170056, 0.0, 0.0]"
A1DAE86MWE6OMW,"[-0.306647318564452, -0.306647318564452, -0.306647318564452, -0.306647318564452, -0.306647318564452, -0.306647318564452, -0.306647318564452, -0.306647318564452, -0.306647318564452, -0.613294637128904]"
A1DFI14L1LBOPJ,"[-12.73435936404768, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1DFZPQPCHBYTY,"[0.0, 0.0, 0.0, 0.0, 0.0, 4.9676304335075905, 0.0, 0.0, 0.0, 0.0]"
A1E9D6RGEDFT2O,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.5, 0.0]"
A1EGCED01USBA9,"[0.0, 0.0, 3.2781285354826073, 0.38905300015949346, 2.5000225351636205, 0.0, 0.0, -0.18632807864751308, 0.0, 0.0]"
A1EPD7UQU3MXBT,"[0.0, 0.0, 11.564322241786176, 11.564322241786176, 0.0, 0.0, 0.0, 11.564322241786176, 11.564322241786176, 0.0]"
A1ETRNNK4BOVDE,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1EVV74UQYVKRY,"[0.0, 0.0, 4.562550654672047, 2.1250381704033816, 0.0, 4.906281272520552, 0.0, 2.437517178702962, 9.843838663146137, 2.437517178702962]"
A1F1B2NU2TQAJV,"[0.0, 0.0, 0.0, 9.313750575374659, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1F4BVHEE78OVF,"[-1.4436056598597637, -1.4436056598597637, -0.26247375633813885, -0.13123687816906943, -1.4436056598597637, -2.8872113197195275, -1.4436056598597637, -2.8872113197195275, -2.318605494212922, -1.4436056598597637]"
A1F7YU6O5RU432,"[0.0, 0.0, 0.0, 0.0, 0.0, 3.976543451065065, 0.0, 2.5312474591572824, 5.078108484176347, 0.0]"
A1F8L7H54H5WFZ,"[1.0715558311700475, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1FEQTQIVZKAY,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.581348148544233, 0.0, 0.0, 0.0]"
A1FFGS17PQWUI8,"[0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1FFSRBOERRDLB,"[0.0, 0.0, 0.0, 7.172305245895862, 0.0, 0.0, 0.0, 0.0, 0.0, 7.172305245895862]"
A1FPB20OAZLA3T,"[0.0, 0.0, 3.8265578398219753, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1FWFCJU2G7TRA,"[0.0, 0.0, 1.7768574455719268, -5.312054220452449, -5.312054220452449, 2.515612913795251, 0.0, 2.515612913795251, -2.9201307360287014, 0.0]"
A1GO71H0UB95WN,"[0.0, 0.0, 0.0, 0.0, 0.0, 9.87507837983869, 0.0, 9.87507837983869, 0.0, 0.0]"
A1GTSEGAXWRSO8,"[0.0, 0.0, 7.7343167688244066, 0.0, 0.0, 7.7343167688244066, 7.7343167688244066, 0.0, 0.0, 0.0]"
A1GVT488CKU6ZB,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -5.812471673695696, 0.0, 0.0, 0.0]"
A1GVTXX0S7ANZ8,"[0.0, 0.0, 0.0, 12.343798287750946, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1HK1OQ6LRT0AX,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.19671136260294, 0.0, 0.0]"
A1HPJKECRYBG6V,"[0.0, 0.0, 0.0, 7.874563134137192, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1I03N0S6W4AVL,"[0.0, 0.0, 0.0, 0.0, 4.415690017706373, 0.0, 0.0, 4.90632224189597, 0.0, 4.90632224189597]"
A1IGBEWKIVXYFL,"[0.0, 0.0, 0.0, 9.562575980238758, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1IMRCSU4F0409,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13.358533412694245, 0.0, 0.0, 0.0]"
A1IP4AIXPHF55Y,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.937978707730243, 0.0]"
A1IT5WIUU0FKAV,"[0.0, 0.0, 0.0, 5.20400263657816, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1IT72Y6VZX1JV,"[0.0, 0.0, 0.0, 0.0, 12.656224075126456, 12.656224075126456, 0.0, 0.0, 0.0, 0.0]"
A1IW22SHMMASQ6,"[0.0, 0.0, 0.0, 9.563072944174477, 9.563072944174477, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1IYXUF0KPKOS1,"[7.045021389831414, 0.0, 0.0, 5.870851158192845, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1J7I5095JBHH,"[0.0, 0.0, 0.0, 10.187417987125865, 0.0, 0.0, 0.0, 0.0, 0.0, 10.187417987125865]"
A1JCF83VYDAIC7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.578103890862398, 0.0]"
A1JDBXPK20HBUW,"[0.0, 0.0, 0.0, 0.0, 0.0, -2.4687467045147002, 0.0, 0.0, -2.2218720340632303, -2.4687467045147002]"
A1JDG0KTCUW9BT,"[0.0, 0.0, 0.0, 0.0, 3.4956840012800914, 0.0, 0.0, 0.0, 0.0, 3.3117006327916654]"
A1JJBKKS6FCOQJ,"[0.0, 0.0, 0.0, 0.0, 2.25, 0.0, 0.0, 0.0, 0.0, 5.0625]"
A1JL5CJJDECOH4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1JQIYKCPYFKG2,"[4.71914922781658, 4.71914922781658, 4.71914922781658, 7.078723841724869, 7.078723841724869, 7.078723841724869, 4.71914922781658, 7.078723841724869, 7.078723841724869, 4.71914922781658]"
A1JR5CZCFXPQMC,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.4687970408762823, 0.0]"
A1K85CL9XZYRV7,"[0.0, 0.0, 0.0, 0.0, 3.396067306860591, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1KEYDA4M5GDSH,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.749983736635533, 0.0, 0.0]"
A1KJ2M8NY458CE,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1L0QECT7J93ZP,"[0.0, 0.0, 0.0, 2.56249379209873, 0.0, 0.0, 0.0, 0.0, 3.9606800621242835, 0.0]"
A1L4ZAG36ZO15M,"[0.0, 0.0, 0.0, 3.023010322277253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1L887BYCTVXH6,"[1.4812711162781147, 2.221906674417172, 2.221906674417172, 2.221906674417172, 2.221906674417172, 2.221906674417172, 2.221906674417172, 2.221906674417172, 2.221906674417172, 2.221906674417172]"
A1LA3IVNDE22NW,"[0.0, 0.0, 0.0, 7.546517883284646, 0.0, 0.0, 0.0, 0.0, 7.546517883284646, 0.0]"
A1LCFO492L6K6G,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.265666017302443, 7.265666017302443, 0.0]"
A1LHAXBM5GBJS2,"[0.0, 0.0, 1.5917739919980765, 0.0, 0.0, -2.2879979181961456, 0.0, 2.2812374632341883, -0.133236681050096, 0.7799909249549111]"
A1LJIF7G9T0PTW,"[0.0, 0.0, 0.0, 6.665639759031195, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1LNES65GKVL0C,"[0.0, 0.0, 0.0, 12.57812682069154, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1LNWQUWXMMZNG,"[0.0, 0.0, 0.0, 11.409286099699525, 0.0, 11.409286099699525, 0.0, 0.0, 11.409286099699525, 0.0]"
A1LV8TM9ICX1IX,"[0.0, 0.0, 0.0, 12.343646267702312, 0.0, 0.0, 0.0, 0.0, 0.0, 12.343646267702312]"
A1M1Y5UGONAW06,"[0.0, 0.0, 3.301573013520972, -2.453137860089287, 0.0, -2.453137860089287, 0.0, 3.486730399910183, 4.906270362227464, 2.4531325021381774]"
A1M54T56FE4B86,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3207080421873727, 0.0]"
A1M5UWJ8H1SYHG,"[0.0, 0.0, 0.0, 4.30323833992947, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1MAI0TUIM3R2X,"[0.0, 0.0, 2.4999732345938255, 0.0, 0.0, 2.4999732345938255, 0.0, 4.285190593364009, 2.46874929498979, 2.46874929498979]"
A1MAJCTEK9HZHD,"[6.700476171377867, 6.700476171377867, 6.700476171377867, 6.700476171377867, 6.700476171377867, 6.700476171377867, 6.700476171377867, 6.700476171377867, 6.700476171377867, 6.700476171377867]"
A1MBLC4ZSP4QEB,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1MCIV8P5COBQZ,"[2.9812434063636992, 0.0, 2.9812434063636992, 2.9812434063636992, 0.0, 1.4906217031818496, 0.0, 1.4906217031818496, 0.0, 1.4906217031818496]"
A1MDYWL5DLS9SS,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.18736542345604, 0.0, 0.0]"
A1MF4IEANGZ0OB,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1MHFSMKSOED47,"[0.3774487041048194, 0.7548974082096388, 0.7548974082096388, 0.3774487041048194, 0.3774487041048194, 0.3774487041048194, 0.7548974082096388, 0.7548974082096388, 0.7548974082096388, 0.3774487041048194]"
A1MZIY3MPR5LRS,"[6.704298462790447, 6.704298462790447, 6.704298462790447, 6.704298462790447, 6.704298462790447, 6.704298462790447, 6.704298462790447, 6.704298462790447, 6.704298462790447, 6.704298462790447]"
A1MZL91Z44RN06,"[0.0, 0.0, 4.953132777909263, 2.5, 0.0, 3.499994767038863, 0.0, 2.5, 0.5874546542304917, 2.5]"
A1N1FL81IAC7IR,"[7.25, 2.75, 2.75, 7.25, 9.0, 9.0, 2.75, 7.25, 2.75, 7.25]"
A1N3KXBQ1A53IP,"[0.0, 0.0, 0.0, 7.5, 0.0, 0.0, 0.0, 0.0, 7.5, 0.0]"
A1N4MVSWIRSMIT,"[2.794079580979866, 1.862719720653244, 1.397039790489933, 1.397039790489933, 1.397039790489933, 2.794079580979866, 1.397039790489933, 1.397039790489933, 1.397039790489933, 1.397039790489933]"
A1NKYTRBYXO4TG,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1NO7CJ510NQWC,"[0.0, 0.0, 0.0, 6.093833345197062, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1NP1AD8FGSA71,"[0.0, 0.0, 0.0, 0.0, 0.7546771400365918, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1NP222Y17P9N3,"[0.0, 0.0, 0.0, 0.0, -0.7406301805512843, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1NVH7LUS2AVWW,"[0.0, 0.0, -3.48043213091729, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
