Key,Array
A10ZJZNO4DAVB,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A115LE3GBAO8I6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.4843751362101365]"
A11AZPF8R6A1F8,"[4.968749209060061, 0.0, 0.0, 4.968749209060061, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A11L1TI883AOSV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5]"
A11QGZ39A7ZF0X,"[0.0, 0.0, 0.0, 0.0, 2.484374925737152, 0.0, 0.0, 0.0, 0.0, 0.0]"
A125PSVY71Q7KZ,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.968749829321149, 0.0]"
A12BLGAAZBUU96,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0558594050261323, 0.0, 0.0]"
A12I397MEWA1VB,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A12X3J7IITW1J6,"[0.0, 2.5, 2.5, 0.0, 2.5, 0.0, 0.0, 0.0, 2.5, 0.0]"
A13PKMKQ0177SH,"[0.0, 0.0, -0.9375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A14QBW6X0Q1YSD,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.968750425338766, 0.0, 0.0, 0.0]"
A14SJT4M0BP298,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A153D6FAV4L389,"[2.4843748538404093, 2.4843748538404093, 2.4843748538404093, 2.4843748538404093, 2.4843748538404093, 2.4843748538404093, 2.4843748538404093, 2.4843748538404093, 2.4843748538404093, 2.4843748538404093]"
A156IOMOA59X7N,"[0.12421874764190415, 0.43476561674666453, 0.31054686910476037, 0.31054686910476037, 0.43476561674666453, 0.31054686910476037, 0.31054686910476037, 0.43476561674666453, 0.43476561674666453, 0.43476561674666453]"
A15IDG691XH2XI,"[0.0, 0.0, 4.22343694216677, 0.0, 0.0, 0.0, 0.0, 0.0, 4.22343694216677, 0.0]"
A15NM9DLEOB4XI,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.06210936425871255, 0.0, 0.0, 0.0, 0.0]"
A15TMUEDCVMOBF,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6832029716309214, 0.0, 0.12421872211471298]"
A173YMJ9XFVRSY,"[0.0, 0.5625, 0.75, 0.0, 0.0, 0.0, 0.0, 0.6210937180007705, 0.0, 0.0]"
A17B1H60A6A96P,"[0.9784900986231106, 1.3046534648308141, 1.3046534648308141, 1.3046534648308141, 1.3046534648308141, 1.3046534648308141, 1.3046534648308141, 1.3046534648308141, 1.3046534648308141, 1.3046534648308141]"
A17ZAS11CK1HG8,"[0.0, 0.0, 1.9874998578153515, 0.0, 0.0, 0.0, 0.0, 1.9253904872586218, 0.0, 1.9874998578153515]"
A181EKCGC3RGHL,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.4843749262968666, 0.0, 0.0]"
A18KOO6VMJJ70S,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.5, 0.0, 0.0]"
A19BNMVUQDMFGK,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0]"
A19GO5VNH8D1TF,"[0.0, 0.0, 0.0, 0.0, 2.484374567465284, 0.0, 0.0, 0.0, 0.0, 0.0]"
A19KLUZ1XD3SRN,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9375, 2.0625, 0.0]"
A19XMHRB3G4DIR,"[0.0, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1AFK6DIZFYQ2V,"[0.0, 0.0, 0.0, 0.0, 0.0, 2.4843754993163483, 0.0, 0.0, 0.0, 0.0]"
A1AFSSJ58HYER7,"[0.0, 0.0, 0.0, 0.0, 2.4843747973119616, 2.4843747973119616, 0.0, 0.0, 0.0, 0.0]"
A1AKH1GJBE5CX5,"[0.0, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5]"
A1AWB5QE4T9LPM,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1B5D7AI4KYG98,"[0.7453124256149847, 1.4906248512299693, 0.7453124256149847, 1.4906248512299693, 1.4906248512299693, 0.7453124256149847, 1.4906248512299693, 1.4906248512299693, 0.7453124256149847, 1.4906248512299693]"
A1BRNOD64VZ1GP,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.968749771381654, 0.0, 0.0]"
A1BS75OBCJN3EA,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.4843748111873385, 0.0]"
A1C13KVGOWMI6A,"[1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0]"
