Key,Array
B0000530HU,"[-0.06523197072302873, -0.06523197072302873, 2.6063714435251604, -0.06523197072302873, -0.06523197072302873, 2.9013134905116305, -0.06523197072302873, 5.106391834197645, 5.043891324430833, 2.718104700994014, 0.13669194398468681, 0.2889156525928634, 0.11280028087368119, 0.37059399304948265, 0.1824417891731984, 0.3878607240634899, 0.3697520623433152, 0.09858018495264631, 0.3359036254979126, 0.5954716576166128]"
B00006L9LC,"[65.47803386513722, 43.47024231865839, 68.18911628652101, 175.57990175395076, 116.48462997919339, 82.8642678010802, 64.65063304019917, 90.33953127757843, 133.72353205644467, 90.16102479049434, 1.4395490927911563, 1.2418070878372367, 0.9839939676736695, 1.1745402331534445, 1.3649216085410065, 1.5417064621591332, 1.3435170228874065, 1.248255152238997, 1.3348840122776, 1.2320980600658347]"
B00021DJ32,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8750105170565372, 0.0, 0.32384044458316985, 0.11156407987401823, 0.2786214912536958, 0.33589442433169014, 0.2962590599864722, 0.18322390352828113, 0.31568272473603737, 0.06862088476509866, 0.5594782344385577, 0.12878021125819447]"
B0002JHI1I,"[0.0, 0.0, 5.156196721947049, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5033612022666929, 0.5376705038136401, 0.16873596641798333, 0.01816827601752338, 0.36919098902067976, 0.4026276930910625, 0.13714142291082296, 0.09090383954247655, 0.11721946203050804, 0.0722696637720495]"
B0006O10P4,"[0.0, 0.0, 7.281334363419514, 2.3751054833500183, 0.0, 2.3751054833500183, 0.0, 0.0, 0.0, 2.453107814672475, 0.2954078817737619, 0.07488389660545774, 0.5989300289122236, 0.48455954304758625, 0.4492095370203714, 0.413272993776811, 0.2993366766618564, 0.04046663498822012, 0.48446740933774046, 0.34473897277589455]"
B0009RF9DW,"[46.83228219429012, 36.04272463097104, 77.20429963071169, 204.40694213221232, 120.04053874006651, 109.04800585383938, 47.44010411030099, 91.10978054918334, 128.98216057912478, 66.78740206344818, 1.144972843621299, 1.1134039862537009, 1.13720946185836, 1.4211570797529929, 1.3711322690480396, 1.0047307908168839, 1.2189996147736537, 1.3992769933242517, 1.1988799644058596, 1.3854028777470981]"
B000FI4S1E,"[50.936487009206395, 31.04196105948009, 72.33686404891021, 208.8356615089598, 125.67819470014314, 109.40224133589027, 51.19686795144643, 103.21357729429947, 116.27369785485291, 75.9690416953197, 1.4928508589197826, 1.1278323247303592, 1.2906992001787596, 1.0937120703375016, 1.070570165149253, 1.3895674450838453, 1.3626829569632353, 1.2786017271004106, 1.4516574976669043, 1.1288896235674815]"
B000FOI48G,"[0.1898432875645402, 0.0, 0.0, 2.800744990473858, 0.0, 6.790932667552908, 0.0, 1.7500026153340849, 14.08000081630708, 2.0155730019165787, 0.43327507418222994, 0.4621664412330979, 0.4409217819908437, 0.4258027205100765, 0.1862503877777196, 0.6319647158323679, 0.26150632083908065, 0.11211232986390955, 0.44490456799920775, 0.6072093463429813]"
B000FTYALG,"[-0.06523197072302873, -0.06523197072302873, -0.06523197072302873, -0.06523197072302873, -0.06523197072302873, -0.06523197072302873, -0.06523197072302873, -0.06523197072302873, -0.06523197072302873, -0.13046394144605747, 0.5215818273917711, 0.09299621986277026, 0.551868431066364, 0.07670468507695816, 0.47941579419148517, 0.11864345693304024, 0.28709943387876874, 0.35629838431805977, 0.218310493151252, 0.24980276737591522]"
B000GLRREU,"[0.0, 0.0, 0.0, 2.4687265875617634, 0.0, 4.275354441803935, 0.0, 2.129689190463165, 9.04879681633627, 4.531198776138415, 0.23090329002368032, 0.5138016473613434, 0.053686620480136164, 0.35763075131479105, 0.5963533443892188, 0.20322302902310613, 0.08449137421285235, 0.6242932763173527, 0.6465634071936257, 0.5039659522258089]"
B000LIBUBY,"[0.0, 0.0, 2.5156750647817794, 0.0, 0.0, 7.8278445142666095, 0.0, 2.515612913795251, 2.5156750647817794, 0.0, 0.042721754284102194, 0.40389211375342, 0.21192697068158026, 0.020387843158043772, 0.5179783083693614, 0.2548511954836967, 0.5742808662477071, 0.45871270295489414, 0.4269076276025109, 0.37295720692245343]"
B000NKJIXM,"[0.0, 0.0, 0.0, 0.6115967058168994, 0.0, 16.565600978519612, 0.0, 10.382813202041614, 17.532422948537658, 5.957697640502856, 0.307917010960298, 0.6254913058153219, 0.33177157270989605, 0.26635476051676993, 0.49019754655528613, 0.5661607229236828, 0.5795720129467824, 0.0905863433755262, 0.3166001411444376, 0.0940833793602136]"
B000PKKAGO,"[0.0, 0.0, 0.0, -0.7042959993681785, 0.0, -0.19414259770309827, 0.0, 1.0824157556043585, -1.7285243681343103, -2.424613985931645, 0.3485389763493807, 0.3775552152756016, 0.27680425245953644, 0.28067285596917346, 0.27634733240341086, 0.028969613917586304, 0.10975086420954477, 0.08806469365629933, 0.241199185969734, 0.0297325105897835]"
B000URXP6E,"[116.67810790559186, 69.20523836106648, 142.11622984987468, 396.5358801460858, 257.27974472337877, 186.05649518085283, 102.61678748624786, 195.013899870093, 262.7100339774846, 152.1147428686741, 1.6908582010812017, 1.2679885782858602, 1.4133631072645405, 1.2588128901852527, 1.423047231274362, 1.5899619772745874, 1.2539387616478206, 1.5043799258134902, 1.6035583231450221, 1.4596556891030554]"
B000V5Z4J6,"[0.0, 0.0, 2.4687638257327977, 4.528135662668437, 0.0, 8.522297152688797, 0.0, 2.4687638257327977, 9.465660914040068, 8.459406235265376, 0.43390897216841046, 0.32237864041699127, 0.16438764027452257, 0.38438780846490045, 0.49757800777382666, 0.233372638227425, 0.4528468633192494, 0.4066865702413616, 0.5637679964283255, 0.35087277352939017]"
B000VUXCGI,"[0.0, 0.0, 1.7768574455719268, -5.312054220452449, -5.312054220452449, 0.0, 0.0, 0.0, -2.9201307360287014, 0.0, 0.39521811359429265, 0.592282850459842, 0.5121739497188682, 0.2892532284144338, 0.36482603202481856, 0.1819245916324332, 0.1479085291072064, 0.231401090729228, 0.43467783604661314, 0.594602044674936]"
B000VV1YOY,"[0.0, 0.0, 4.96874202656171, 0.0, 0.0, 10.03125052016153, 0.0, 1.6757580751856147, 10.031231647969822, 0.0, 0.5592235079597148, 0.5090895008702228, 0.55147274175191, 0.4517724388460741, 0.315683288294169, 0.36776973338001573, 0.20471915034377774, 0.12310271180591123, 0.13764748524295228, 0.16022127475169315]"
