Key,Array
B00006L9LC,"[13.24882779008717, 13.634375004952021, 27.84218761579568, 15.281250109974417, 12.505468971635814, 17.860156925876442, 11.113672835467609, 15.583984943445058, 19.4570310937018, 23.110933076745457, 1.4164385249214906, 1.4721901238512702, 1.1693124032478328, 1.5565217064043646, 0.9004684945254529, 1.2278399573480994, 1.399066035252418, 0.9875624121694648, 1.0986963096860953, 1.1324014165564602]"
B0006O10P4,"[0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3713836859147532, 0.19201064778489146, 0.05665065205048338, 0.1644854071247274, 0.3561893718707122, 0.6115106631442353, 0.40753059157869415, 0.36015310376688026, 0.5175652210282653, 0.09980984452222151]"
B0009RF9DW,"[9.431632548537749, 17.18436649889269, 27.835928257137336, 13.504288174374024, 11.38826531538728, 13.686704675483876, 10.184366233090868, 17.83631936621889, 23.07030243750472, 29.991397206399498, 1.2423079922083444, 1.1820557758859969, 1.2791721716553146, 1.0408519216177228, 0.8999004060656872, 1.3265244784360215, 0.954336323283375, 1.1169874754086726, 1.2953256023423183, 1.3219039176584229]"
B000FI4S1E,"[10.28358202854377, 14.11990530194589, 20.879284507196132, 16.153894482526134, 16.01326927983809, 15.037866782491784, 13.086706966617381, 18.778113124153826, 25.990221574722415, 41.04800546318971, 1.1992248288573109, 1.4943850544015984, 1.3546124719768677, 1.3607206468770183, 1.5296948244860913, 1.3431046537444484, 0.960478032665915, 1.0982074482680446, 1.08338832880569, 0.925696940330677]"
B000GLRREU,"[0.0, 2.5, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 0.9375003359822106, 0.7692869953841889, 0.15780803214450986, 0.23209117725022266, 0.16699829386220336, 0.19303355260777108, 0.2750155896709067, 0.3009555199903601, 0.6497801568695866, 0.5951454030750637, 0.570607687554687]"
B000NKJIXM,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 0.007812682620082527, 0.6211682432883385, 0.2262619303686856, 0.5812595685016676, 0.43547073313426254, 0.043987049616729085, 0.1307888836593696, 0.2856058828604717, 0.3853109354533968, 0.5700585014418734]"
B000URXP6E,"[14.749606516721528, 32.29452865393114, 42.99726046343371, 26.53554233795867, 34.65272882292056, 24.637105782519395, 21.148822385482706, 28.499213868494728, 46.525384186076266, 42.960542159773, 1.1685930967699807, 1.4615475696753348, 1.56415231572171, 1.5660976297705276, 1.1662183876974772, 1.0912116700187284, 1.448868144916343, 1.3556645675847692, 1.5371238700947334, 1.6352015412208651]"
B0010ZBORW,"[0.0, 0.7546873293075274, 2.375, 2.5, 0.0, 0.0, -0.125, -3.35624916268263, 0.0, -1.1249994373792398, 0.22965635639455978, 0.7200321916871602, 0.42938481108679594, 0.6633147847372952, 0.2805759903987287, 0.776388941031536, 0.6564007945142081, 0.573803095092922, 0.3911808595785893, 0.5188175231649629]"
B0011FYB5I,"[1.3578123507329203, 1.3578123507329203, 1.3578123507329203, 1.3578123507329203, 1.3578123507329203, 1.3578123507329203, 1.3578123507329203, 1.3578123507329203, 1.3578123507329203, 1.3578123507329203, 0.18760676319604422, 0.1213844253116542, 0.16071580439500044, 0.5028621428231612, 0.05442461276853074, 0.4590662390267465, 0.4961494064060463, 0.2563695059404637, 0.1282688070511707, 0.3712502187365352]"
B00126LYJM,"[0.0, 0.7453124798442807, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5351469296035406, 0.5400055253859399, 0.1316866628949427, 0.10353257081084576, 0.46638694478029663, 0.14784649367621797, 0.3700686639582134, 0.12214602928009766, 0.4986612732676031, 0.45545957134028486]"
B0012XPRO8,"[0.0, 1.4285159292981164, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1800783763767049, 0.0, 0.0, 0.5289974199773071, 0.5755590065427776, 0.4776785007707755, 0.19852092587699946, 0.33956578840367857, 0.24164793224029507, 0.5126635484483301, 0.23965665455076318, 0.3654686390887777, 0.03149468242384657]"
B0012Y0ZG2,"[18.55228522312613, 36.995251903783256, 78.25617907422695, 35.113213327258926, 59.46437375652851, 59.97610730190749, 36.366743015917734, 65.08308171249296, 59.379227158186715, 85.23585620705924, 1.23292509818674, 1.3234257080479446, 1.4520353742367893, 1.294752366941171, 1.67237738582285, 1.3921773760628153, 1.5357212042834354, 1.3714721404395678, 1.5383864041277338, 1.7387850467824253]"
B0013NB7DW,"[0.18124992276139018, 0.8687499227613902, 0.8687499227613902, 0.18124992276139018, 0.8687499227613902, 0.24374992276139018, 0.24374992276139018, 0.6812499227613902, 0.8687499227613902, 0.8687499227613902, 0.6133261948684713, 0.37080707213424074, 0.32228665923756744, 0.20571386275874937, 0.712647736028373, 0.36386288071684664, 0.4480874925564992, 0.3957387617103803, 0.5216681063578281, 0.7383744764046479]"
B0014SQQ3M,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3921863308717672, 0.0, 0.12813517726911466, 0.11470489075814691, 0.22242865921380434, 0.33179013892922077, 0.6154279220333594, 0.3791686610585034, 0.2944989545853305, 0.34804258066666377, 0.2934998880846546, 0.43745102757127513]"
B00155Z6V2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.25, 0.0, 0.5555219041735865, 0.17799045012867648, 0.5125752598661122, 0.3842544100645079, 0.2745200808607817, 0.3325157401688704, 0.37992589344892824, 0.6002360269453044, 0.6617647796176379, 0.3535486304122481]"
B001E96LUO,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5156242596701386, 4.9999989242692955, 0.0, 2.5156242596701386, 0.40612553560299797, 0.32532205421432175, 0.2976164456884104, 0.4369993795714427, 0.4726140869031055, 0.5358821977097022, 0.19943288773256518, 0.2947927838407401, 0.10389450044952016, 0.14849276011177376]"
B001ET7FZE,"[0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.75, 0.0, 0.6890478934737793, 0.13876196755806386, 0.19752570500028754, 0.28551398933706007, 0.3441299246726297, 0.6577424909109278, 0.09839712891146425, 0.10839020839498353, 0.17771468670282028, 0.6326794888641468]"
B001LNODUS,"[0.0, 2.5624871960887425, 2.5624871960887425, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00479996101268906, 0.3483098135164395, 0.14677298724770368, 0.3662208955871963, 0.6108654117883487, 0.4698425275963182, 0.18811125402212986, 0.3627793291821869, 0.5104878531637891, 0.3533393485088411]"
B001OHV1H4,"[13.343746927697872, 10.860933741798144, 17.987887179449928, 10.976558248259348, 12.840620981431613, 18.371080655668244, 14.542573350866249, 19.06444864634671, 13.09452738841801, 18.917965060096765, 1.1974808993328376, 1.0898134670250985, 1.4064251459454817, 1.4178626105928276, 1.4781875781575746, 1.2087852497279377, 1.116072527002225, 1.022360199745284, 1.285949857254308, 1.3963066763723122]"
