Key,Array
A105A034ZG9EHO,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3627291513419979, 0.34354913785958613, 0.3604979453482806, 0.3248786505815323, 0.2230215270454568, 0.5761175449940957, 0.0812450811775578, 0.4352029190169515, 0.518545135422108, 0.39882789256985574]"
A10JB7YPWZGRF4,"[0.0, 0.0, 0.0, 6.488665726928646, 5.898787024480587, 0.0, 0.0, 0.0, 0.0, 0.0, 0.542184637447235, 0.1997519347770005, 0.35592287914313325, 0.569059679162322, 0.2544076269693244, 0.35666812523414326, 0.05927123222563825, 0.5607625348116282, 0.08097971113019498, 0.2018612560821788]"
A10M2MLE2R0L6K,"[0.0, 0.0, 0.07968683102921803, -1.0492135085918788, 0.0, -0.23046784601905745, 0.0, 1.6757580751856147, 1.7499909280370975, 0.0, 0.2681949363223364, 0.05495182756177744, 0.45811876195209145, 0.17166970595432912, 0.20396297042420672, 0.47001234972356287, 0.5045760012660645, 0.2822152925134311, 0.2854750521061376, 0.39263857983682304]"
A10P0NAKKRYKTZ,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2656186361573287, 0.5585334499072142, 0.5631222685787126, 0.4209592759038848, 0.252762427386181, 0.4628820892576832, 0.05230664176326437, 0.36995176946439073, 0.2423652801419391, 0.5640778336938596, 0.30535290860720893]"
A10ZJZNO4DAVB,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.45467701628138907, 0.4447572369193112, 0.43881413735515007, 0.02434156575543018, 0.5893022133750156, 0.38319380708794365, 0.592454170356317, 0.5880846176324136, 0.5301440052480705, 0.04892475355119087]"
A1118RD3AJD5KH,"[1.1601015442861624, 1.1601015442861624, 2.320203088572325, 2.320203088572325, 2.320203088572325, 2.320203088572325, 2.320203088572325, 2.320203088572325, 2.320203088572325, 2.320203088572325, 0.5268443339513817, 0.23872701870621263, 0.3724235783107011, 0.11120136338499075, 0.11065860415197525, 0.5013533085996701, 0.11905638051526317, 0.5169513675190807, 0.08076508696701282, 0.5296654080181891]"
A115LE3GBAO8I6,"[0.0, 0.0, 0.0, 2.7336896353146614, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.042623968561920404, 0.5201915253295568, 0.48822115389429505, 0.17621443014450294, 0.1642337856825172, 0.14968910198491414, 0.42233812888961203, 0.2912856451687045, 0.2298467430523202, 0.15241686505648425]"
A11AZPF8R6A1F8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.780999373231305, 7.780999373231305, 0.0, 0.04277227366266678, 0.036525794889892056, 0.5395986541209064, 0.20213817515725693, 0.44899308694554424, 0.6194215144772932, 0.2893428229787968, 0.3896166031948617, 0.13093625788048088, 0.19040484840913566]"
A11L1TI883AOSV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.863216653599046, 0.0, 0.3183594222508413, 0.4365366792024838, 0.3500532896478863, 0.45341268180490674, 0.5793243416376761, 0.4483121199059575, 0.4979945211477062, 0.4619672656828917, 0.22177038739628896, 0.5216901653725001]"
A11QGZ39A7ZF0X,"[4.5156172178314815, 0.0, 0.0, 8.529963039757803, 7.3752417289831484, 1.3663447252140903, 0.0, 1.6405689737430496, 5.74370353540063, 1.5918471124168558, 0.16088118627290895, 0.1650309882823354, 0.49758111538242383, 0.5693115148333744, 0.329067830577046, 0.20713970968051212, 0.475421318250407, 0.5546810049056118, 0.433595805529066, 0.22225238669822667]"
A1210QJT54O8T0,"[2.3125, 0.0, 7.67335997248665, 2.147652641023218, 0.0, 0.0, 0.0, -0.25624665902004556, 6.358545297457793, 4.6406209407363965, 0.3000274093705971, 0.5617277979851506, 0.4230313402055033, 0.2643901417996177, 0.17677186161155353, 0.5659051849029975, 0.06196340051643927, 0.06618049700413366, 0.31681735511391923, 0.41057662834307046]"
A121C9UWQFW5W6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5660622377849415, 0.3394044432686364, 0.45544184279169614, 0.521475415107059, 0.13308249428572366, 0.4375808066276018, 0.07377778474205558, 0.25539541174025343, 0.4761323598033489, 0.126698333573863]"
A125PSVY71Q7KZ,"[0.0, 0.0, 0.0, 4.905997612275847, 4.905997612275847, 3.6794982092068853, 0.0, 4.292747910741366, 0.0, 0.0, 0.4789869958800966, 0.5262712913522819, 0.46375751377965313, 0.2972198697694655, 0.29831102190686654, 0.1694790374994816, 0.588811533669283, 0.07573020960227304, 0.023611092432351558, 0.07617664130687442]"
A125TMC44CJBKK,"[0.0, 0.0, 0.0, 0.0, 6.055050895595537, 6.055050895595537, 0.0, 0.0, 0.0, 0.0, 0.5997684631064548, 0.5777961717368414, 0.31752998647250863, 0.5573333048355867, 0.028021107015456303, 0.5594845818373122, 0.27544380617045705, 0.26389306638713667, 0.2633615467730253, 0.055699190146091544]"
A12B5Y225ADJWE,"[0.0, 0.0, 0.0, 0.0, 0.0, 5.809291157495331, 0.0, 0.0, 0.0, 0.0, 0.2829125052880146, 0.28903416373116, 0.42452911187494585, 0.44450052213871627, 0.2755911784318747, 0.5270168524118698, 0.16889308551397259, 0.25823810571463457, 0.507422404359112, 0.4861673119960573]"
A12BLGAAZBUU96,"[0.0, 0.0, 0.0, 0.0, 2.3062451932871277, 0.0, 0.0, 0.0, 0.0, 0.0, 0.46851307352118543, 0.5273075953031849, 0.2615756177289919, 0.30721051262381927, 0.49056446730709474, 0.3878223504673587, 0.03925621289392288, 0.11102131702556153, 0.32897663322510207, 0.4221268083773384]"
A12HTKLZWLEAF5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.962747065408147, 0.0, 0.0, 0.22351051862347704, 0.21416548551998968, 0.448181349634681, 0.5408176286446998, 0.235370999166079, 0.5691861482416332, 0.08167511248958964, 0.4657550330882219, 0.036974928684050036, 0.5929963937396863]"
A12HWYJ6G58FGV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.3328283688209757, 0.0, 0.0, 0.0, 0.026890598958899916, 0.22194954531492497, 0.030621609081253033, 0.31067089281505605, 0.5004613537056909, 0.3943309690656169, 0.42459720333111994, 0.6113445209557966, 0.3057129184566181, 0.4139796830480929]"
A12I397MEWA1VB,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.38406737631393, 0.21716770936659807, 0.10211570675407171, 0.35637548625840054, 0.11839224522507005, 0.42783326754178325, 0.5002408981406903, 0.2599438059625277, 0.519410190319391, 0.24239650582181224]"
