Key,Array
A10ZJZNO4DAVB,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.380123045172387, 0.22730740361735804, 0.12026119138883334, 0.44980259854931615, 0.14126628906152103, 0.4771023688897638, 0.1855648844940372, 0.226189496667257, 0.11134349179912956, 0.3183884126632677]"
A115LE3GBAO8I6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.4843751362101365, 0.007212448333666417, 0.4521392000265487, 0.5486924196113668, 0.34702206151512605, 0.17862153023205715, 0.564122419307321, 0.41580686780108184, 0.14275418188034195, 0.4188967261709773, 0.564686105583991]"
A11AZPF8R6A1F8,"[4.968749209060061, 0.0, 0.0, 4.968749209060061, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.34206610441809265, 0.5234318712203863, 0.5377545218505306, 0.39620346173637616, 0.37701236211102956, 0.1471869742291928, 0.11039244190568272, 0.17449680264870043, 0.5473968113511847, 0.6685932290956231]"
A11L1TI883AOSV,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.20300024420976537, 0.16527083814242735, 0.6539498400015984, 0.12170412246904282, 0.46284065786918155, 0.6394675530662279, 0.2548292126842362, 0.33068983073448044, 0.14502313514675888, 0.1302663580219804]"
A11QGZ39A7ZF0X,"[0.0, 0.0, 0.0, 0.0, 2.484374925737152, 0.0, 0.0, 0.0, 0.0, 0.0, 0.44581345755806445, 0.5287386022337173, 0.37202972937015366, 0.5752828014313452, 0.557614293648358, 0.4909608840497889, 0.5328129567998299, 0.11318697774954704, 0.42426892463900856, 0.4845344937135904]"
A125PSVY71Q7KZ,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.968749829321149, 0.0, 0.3543485885258159, 0.34452185117069695, 0.5959375106580419, 0.17337416243045886, 0.6643469311924879, 0.47418565691819264, 0.10947492679830555, 0.1577459143703158, 0.660987072334784, 0.40207880561332393]"
A12BLGAAZBUU96,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0558594050261323, 0.0, 0.0, 0.47960342954525687, 0.33886071257855727, 0.3384509329142257, 0.5765783048668183, 0.10025516819628762, 0.07645974838282371, 0.5201576277093323, 0.1899889071571521, 0.3623567978812712, 0.10762930010648421]"
A12I397MEWA1VB,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3453698533059016, 0.25032633874141924, 0.42407508387744597, 0.41367910776207106, 0.09728447844777495, 0.3831921509871976, 0.5211606260472433, 0.43493686304200707, 0.5269989049909368, 0.46816449222645734]"
A12X3J7IITW1J6,"[0.0, 2.5, 2.5, 0.0, 2.5, 0.0, 0.0, 0.0, 2.5, 0.0, 0.5233742929851801, 0.2801045598672889, 0.6408056454014507, 0.5121507093091836, 0.2194741697620129, 0.0816128362592076, 0.19684201829861603, 0.3099597786497224, 0.23270826444704049, 0.21659070103552652]"
A13PKMKQ0177SH,"[0.0, 0.0, -0.9375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16169294217865596, 0.26871117257210836, 0.634434442647683, 0.13420878468343492, 0.11780134531614003, 0.27528261649301394, 0.46254835802202454, 0.20420522528174664, 0.5701125868330712, 0.3597753756944471]"
A14QBW6X0Q1YSD,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.968750425338766, 0.0, 0.0, 0.0, 0.519180447171546, 0.32310479355171506, 0.518212510529608, 0.3933218891205625, 0.609740450817978, 0.3080480272541918, 0.11132868119335283, 0.2179825859313749, 0.17911046266592362, 0.24602844662614587]"
A14SJT4M0BP298,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10959356888203294, 0.6926203490587243, 0.25758853361736367, 0.38029730701849745, 0.234791495399934, 0.18050971296092014, 0.3314704391495472, 0.08440982225986965, 0.12912109926388812, 0.36077028496783364]"
A153D6FAV4L389,"[2.4843748538404093, 2.4843748538404093, 2.4843748538404093, 2.4843748538404093, 2.4843748538404093, 2.4843748538404093, 2.4843748538404093, 2.4843748538404093, 2.4843748538404093, 2.4843748538404093, 0.29947047588131315, 0.5465882095370084, 0.38170784763532517, 0.36147598282136495, 0.03904535269945822, 0.20815121761631614, 0.5572752870920484, 0.6235003185344182, 0.5668016374706762, 0.11221867631534362]"
A156IOMOA59X7N,"[0.12421874764190415, 0.43476561674666453, 0.31054686910476037, 0.31054686910476037, 0.43476561674666453, 0.31054686910476037, 0.31054686910476037, 0.43476561674666453, 0.43476561674666453, 0.43476561674666453, 0.2016388604952207, 0.15392121317609397, 0.336334754080892, 0.27157097461332497, 0.6098330055865615, 0.07314152643027967, 0.26182152158157873, 0.5223547625821163, 0.27704837669351556, 0.6019069172039888]"
A15IDG691XH2XI,"[0.0, 0.0, 4.22343694216677, 0.0, 0.0, 0.0, 0.0, 0.0, 4.22343694216677, 0.0, 0.17803535645664806, 0.13712684620395585, 0.3720978110809579, 0.37935803627382025, 0.6136544482063409, 0.26231993935475234, 0.5764203543600687, 0.4900708808828851, 0.5175845273654294, 0.24084983055760348]"
A15NM9DLEOB4XI,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.06210936425871255, 0.0, 0.0, 0.0, 0.0, 0.3319690512805985, 0.5402339635216546, 0.41257580826643303, 0.6363786634831469, 0.08536651371074623, 0.17112964433576888, 0.4196365435592041, 0.5180389420655065, 0.14045679843146647, 0.5522784782610959]"
