reviewerID,asin,overall,overall_new,reviewText,filteredReviewText
39,1,1,1.0,"So watered down, I didn't feel like it was actually shampoo. I tried twice then threw it away.","So watered down , I did n't feel like it was actually shampoo ."
19,1,5,5.0,"I bought this for my husband. Hed been having issues with dandruff, but most dandruff shampoos cause skin issues. He loves it. Its just great for his hair and skin aside from helping with the dandruff. It smells good, too. Great product. I highly recommend it and would buy it again if it were still available on the site!","He d been having issues with dandruff , but most dandruff shampoos cause skin issues . He loves it . Its just great for his hair and skin aside from helping with the dandruff . It smells good , too . Great product . I highly recommend it and would buy it again if it were still available on the site !"
3,1,5,5.0,Great product,Great product
43,1,5,5.0,"Was skeptical at first. The liquid is kind of runny. However, it is absolutely awesome performance wise. Hands down the best shampoo out there. Smells great, cleans hair great and stopped me from scratching my head after using this product for a couple of times.","Was skeptical at first . The liquid is kind of runny . However , it is absolutely awesome performance wise . Hands down the best shampoo out there . Smells great , cleans hair great and stopped me from scratching my head after using this product for a couple of times ."
18,1,5,5.0,Love this shampoo. Just wish Axe still made it.,Love this shampoo . Just wish Axe still made it .
20,1,5,5.0,"If you know the scent of Diva, you'll LOVE this body cream....everyone says ""who smells so good in here!""","If you know the scent of Diva , you 'll LOVE this body cream .... everyone says "" who smells so good in here ! """
10,1,5,5.0,"I weirdly got this at a Dave & Buster's in Culver City with game tickets the first time I tried it. I had never worn powder before. That was two years ago, and I continue to wear this powder every day. It makes my complexion look so even and hides the redness I get after drinking too much coffee. Highly recommend!",I weirdly got this at a Dave & Buster 's in Culver City with game tickets the first time I tried it . I had never worn powder before . and hides the redness I get after drinking too much coffee . Highly recommend !
46,1,5,5.0,My scalp randomly starts hating any kind of product being on it and retaliates by going crazy with eczema like symptoms that seems to last forever. This is the only shampoo and conditioner that I have found that doesn't make my scalp cranky...It's a good product!,My scalp randomly starts hating any kind of product being on it and retaliates by going crazy with eczema like symptoms that seems to last forever . and conditioner that I have found that does n't make my scalp cranky ... It 's a good product !
36,1,2,2.0,Doesnt smell,Doesnt smell
60,1,1,1.0,"Made my hair brittle and dull looking, didn't do anything for the itch or dandruff.","Made my hair brittle and dull looking , did n't do anything for the itch or dandruff ."
35,1,5,5.0,Came on time. She will love it!,She will love it !
38,1,1,1.0,My product was not sealed and either used or something.. attached are pictures. Would like a refund please.,Would like a refund please .
21,1,2,2.0,No change my scalp still itches like crazy. It doesnt lather at all so its very hard to move around the hair and scalp. It does smell good and my hair feels clean.,No change my scalp still itches like crazy . so its very hard to move around the hair It does smell good and my hair feels clean .
